scenario_generator,communication_profile,seed,method,objective,video
radius_sweep_balanced_push,harsh_4m_35loss_400ms,8800,classic_centralized_global_mpc,Show AMR relay/connectivity while transporting payload around obstacles and moving groups.,results\sp7\SP7_MC_communication_robustness\videos\sp7_radius-sweep-balanced-push_harsh-4m-35loss-400ms_classic-centralized-global-mpc_seed8800.mp4
radius_sweep_balanced_push,harsh_4m_35loss_400ms,8800,ours_connectivity_wrench_game,Show AMR relay/connectivity while transporting payload around obstacles and moving groups.,results\sp7\SP7_MC_communication_robustness\videos\sp7_radius-sweep-balanced-push_harsh-4m-35loss-400ms_ours-connectivity-wrench-game_seed8800.mp4
