scenario_generator,communication_profile,method,method_label,active_control_messages_mean,active_control_messages_std,assigned_robots_mean,assigned_robots_std,attempted_messages_mean,attempted_messages_std,base_connected_time_ratio_mean,base_connected_time_ratio_std,coalition_connected_time_ratio_mean,coalition_connected_time_ratio_std,collision_rate_mean,collision_rate_std,communication_outage_count_mean,communication_outage_count_std,completion_time_s_mean,completion_time_s_std,control_packet_ratio_mean,control_packet_ratio_std,delay_violation_rate_mean,delay_violation_rate_std,delivered_messages_mean,delivered_messages_std,direct_clique_time_ratio_mean,direct_clique_time_ratio_std,disconnected_time_ratio_mean,disconnected_time_ratio_std,energy_proxy_wh_mean,energy_proxy_wh_std,final_orientation_error_deg_mean,final_orientation_error_deg_std,final_position_error_m_mean,final_position_error_m_std,formation_broken_rate_mean,formation_broken_rate_std,formation_integrity_rate_mean,formation_integrity_rate_std,idle_robots_mean,idle_robots_std,longest_outage_s_mean,longest_outage_s_std,mean_active_link_count_mean,mean_active_link_count_std,mean_algebraic_connectivity_mean,mean_algebraic_connectivity_std,mean_component_count_mean,mean_component_count_std,mean_largest_component_ratio_mean,mean_largest_component_ratio_std,mean_link_delay_s_mean,mean_link_delay_s_std,mean_outage_duration_s_mean,mean_outage_duration_s_std,method_communication_dependency,method_communication_pattern,method_comparison_group,method_execution_model,method_family,method_ownership,method_scope,method_trainable_parameters,method_training_type,method_tuned_parameters,method_uses_decoder,method_uses_neural_policy,method_variant,min_mobile_group_clearance_m_mean,min_mobile_group_clearance_m_std,min_obstacle_clearance_m_mean,min_obstacle_clearance_m_std,mobile_group_detection_rate_mean,mobile_group_detection_rate_std,n,network_quality_score_mean,network_quality_score_std,network_severity_mean,network_severity_std,obstacle_detection_rate_mean,obstacle_detection_rate_std,optimality_gap_vs_reference_mean,optimality_gap_vs_reference_std,packet_delivery_ratio_mean,packet_delivery_ratio_std,pickup_success_mean,pickup_success_std,relay_success_rate_mean,relay_success_rate_std,runtime_ms_mean,runtime_ms_std,score_value_mean,score_value_std,selected_task_load_mean,selected_task_load_std,sensor_coverage_rate_mean,sensor_coverage_rate_std,target_reached_mean,target_reached_std,temporal_coalition_connected_rate_mean,temporal_coalition_connected_rate_std,transport_network_score_mean,transport_network_score_std,transport_success_mean,transport_success_std,travel_distance_m_mean,travel_distance_m_std
ALL_SCENARIOS,ALL_PROFILES,classic_centralized_global_mpc,Classic centralized global comms,3980.4285714285716,4794.862141123657,4.0,0.0,6636.285714285715,3961.3671762109993,0.7199138804457954,0.34381380689747204,0.44316109422492395,0.5210199314362617,0.0,0.0,3.857142857142857,4.450789122113494,41.348571428571425,1.723517996922077,0.4968020195693848,0.4713335598215802,0.32648375897714615,0.3055446336717502,5313.428571428572,4332.241985282865,0.42857142857142855,0.5345224838248487,0.556838905775076,0.5210199314362617,685.3516146290349,105.523464430544,6.5069112330044465,6.8230584186126855,4.460029007310982,3.22883235042074,0.5419039039608482,0.46461561494802095,0.4580960960391517,0.46461561494802095,2.5714285714285716,1.3972762620115438,10.491428571428571,14.682496868234445,16.93799392097264,20.40366868563259,2.6925933705849343,3.51799424225724,3.4644376899696048,2.4611242369824105,0.6176038500506585,0.3674093252767679,0.23116630230195265,0.1983615817843393,5.214656771799629,7.482882546517293,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,0.09409278504353076,0.01908587466006103,0.5339302999098865,0.4876366908989709,0.6360728455941222,0.44199105941868,7,0.5949555195530319,0.33636498134990456,0.3344116049320896,0.3082068150825319,0.498412808063264,0.47446831340228485,0.21991265219276981,0.39011118467607175,0.7165482886700613,0.2806342585923793,1.0,0.0,0.01458966565349544,0.018361614663654817,384.85119999053757,171.17447633916956,-75.95188971512148,58.546683557055935,1.0,0.0,0.5672428268286931,0.22594323011849396,0.0,0.0,0.8291793313069908,0.16461410437309082,0.2565891481036887,0.11961733073768248,0.0,0.0,72.50501874082384,13.890620835970841
ALL_SCENARIOS,ALL_PROFILES,classic_decentralized_sensor_apf,Classic decentralized sensor APF,3852.8571428571427,4881.818596540003,2.5714285714285716,0.9759000729485332,5694.571428571428,4037.388052406442,0.6510233029381965,0.374662011128617,0.47781155015197563,0.48956341378228524,0.0,0.0,11.0,12.151817422372122,40.92857142857143,1.950516415135819,0.4977886522552182,0.47026689134137534,0.32596514023533457,0.3051266581382517,4786.714285714285,4435.612724088436,0.4376899696048632,0.5261212337155202,0.5221884498480244,0.48956341378228524,475.63480363210977,282.41838213960204,41.88327487411276,51.240206619756414,6.010413972549598,5.856060436309441,0.1766286254246909,0.1279230618311147,0.8233713745753092,0.1279230618311147,4.0,2.23606797749979,4.2942857142857145,4.718413777047173,16.3951367781155,20.773696155489375,2.689587418483989,3.52090212447079,3.6753799392097264,2.6632753986427935,0.5894326241134752,0.38944222868665945,0.2307456573685464,0.19778530340546527,1.5625,2.1004456220584453,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,0.22405088320927277,0.263618829848528,0.6615211304040847,0.5679096091808095,0.6368509454071765,0.44317614153959406,7,0.5937717459503767,0.33780690264337915,0.3344116049320896,0.3082068150825319,0.508875621170454,0.4814297142283148,0.08707666656055287,0.12163643710530331,0.7173099545062398,0.27889933584300414,1.0,0.0,0.00364741641337386,0.009650156757682396,363.46317142514243,180.1487878377284,-17.669059401304075,154.33897154482193,1.0,0.0,0.5728632832888152,0.22552666395847154,0.14285714285714285,0.37796447300922725,0.7568389057750761,0.24615257139542268,0.4005817500793879,0.2641118867172336,0.14285714285714285,0.37796447300922725,48.12289211827853,26.4971482952032
ALL_SCENARIOS,ALL_PROFILES,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,3922.0,4839.908229157519,3.7142857142857144,0.4879500364742666,6223.428571428572,4156.2185881376545,0.6905927051671733,0.38108100480212953,0.45106382978723397,0.513878608020902,0.0,0.0,5.428571428571429,6.7788185513687385,41.082857142857144,1.5671812731324828,0.4934568454507001,0.47457678603145337,0.3318818463651601,0.31050792566453445,5104.285714285715,4442.32794505635,0.42857142857142855,0.5345224838248487,0.548936170212766,0.5138786080209021,739.6327596081212,93.9501720336568,2.602255194937765,4.393531657973358,3.9187180373451476,2.8474478068398406,0.11054978724737893,0.12248946102194036,0.889450212752621,0.12248946102194035,2.857142857142857,1.0690449676496976,7.7142857142857135,9.068397243803812,16.689361702127663,20.59535416662774,2.6967976863004033,3.514197177951391,3.564133738601824,2.5651961953042783,0.6034397163120567,0.38066759484582596,0.23445510446138978,0.201533259556905,3.7232653061224488,5.064351918049754,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,0.10114402969315153,0.018973109760906683,0.4936401559584569,0.47332365166913176,0.6358877073618715,0.44239906444991545,7,0.5917044150378985,0.3406037974193531,0.3344116049320896,0.3082068150825319,0.5012597534178082,0.47673761149458416,0.1447526429570114,0.35128292354381924,0.7147276225637504,0.28266674636852673,1.0,0.0,0.022492401215805473,0.029143426068663946,683.5881571252165,331.0167263635278,-30.3361333392884,28.14599840682455,1.0,0.0,0.5685737303898398,0.2267674087528215,0.0,0.0,0.8012158054711246,0.212207981630566,0.3251506521457252,0.06268304583878131,0.0,0.0,78.11212589956958,12.177553536330544
ALL_SCENARIOS,ALL_PROFILES,reference_full_communication,Reference full-communication controller,3919.5714285714284,4830.682417531463,4.0,0.0,6308.0,3690.664980731792,0.6975227963525835,0.346701005366219,0.4462006079027355,0.5188897653942747,0.0,0.0,4.571428571428571,7.913219801006896,41.160000000000004,2.0432327327056994,0.4956362590564041,0.47239343677178197,0.32880500495454523,0.30769548781312234,5100.714285714285,4244.577588495928,0.42857142857142855,0.5345224838248487,0.5537993920972645,0.5188897653942747,703.6652356588155,181.40502660153874,33.73889038231284,62.46998229481684,6.477140843269775,4.48292965782806,0.5117948672006116,0.4487645583942552,0.4882051327993883,0.4487645583942552,2.5714285714285716,1.3972762620115438,11.982857142857142,14.510522290491721,16.6790273556231,20.556095393750905,2.692412149908766,3.518166890422744,3.5689969604863223,2.545939718367103,0.6064285714285714,0.3738415730205923,0.23245146772582317,0.19953609525475952,6.4426753246753234,8.372579222008445,high,global_lossless_network,reference_model_based_reference_centralized_high_communication,centralized_reference_full_information,model_based_reference,reference,centralized,0,none,10,False,False,full_information_upper_reference,0.15560542573557198,0.09079649279274418,0.40964869255205916,0.25678489391156845,0.6388948623143152,0.443972991069446,7,0.5969902516362043,0.3354231966691948,0.3344116049320896,0.3082068150825319,0.5007306455786699,0.47628362965327375,0.0,0.0,0.7193762347380771,0.27686596043931266,1.0,0.0,0.01762917933130699,0.03408052593412712,473.3504428794341,188.35708430388425,-47.133731002727394,171.30350679560408,1.0,0.0,0.5698127539464926,0.22649159093905008,0.2857142857142857,0.48795003647426666,0.833434650455927,0.17013169295167707,0.3788343136198279,0.2883983171489035,0.14285714285714285,0.37796447300922725,73.12625578857693,17.04011366878203
cargo_sensor_degradation,harsh_4m_35loss_400ms,classic_centralized_global_mpc,Classic centralized global comms,289.0,0.0,4.0,0.0,2820.0,0.0,0.32680851063829774,0.0,0.02553191489361702,0.0,0.0,0.0,7.0,0.0,42.0,0.0,0.1024822695035461,0.0,0.559780940100089,0.0,1235.0,0.0,0.0,0.0,0.9744680851063829,0.0,606.2320267410762,0.0,9.41877698184435,0.0,5.431681468049473,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.34,0.0,1.2297872340425533,0.0,-0.005259863734041659,0.0,4.412765957446808,0.0,0.3148936170212766,0.0,0.39810543079104765,0.0,5.888571428571429,0.0,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,nan,0.0,1.1036707978331142,0.0,0.0,0.0,1,0.29311300236406623,0.0,0.6450095238095238,0.0,0.7506146572104019,0.0,0.5869473770193707,0.0,0.4379432624113475,0.0,1.0,0.0,0.02553191489361702,0.0,140.55820007342845,0.0,-126.15296900718461,0.0,1.0,0.0,0.37530732860520094,0.0,0.0,0.0,0.6595744680851063,0.0,0.14103582033096929,0.0,0.0,0.0,58.52253009250081,0.0
cargo_sensor_degradation,harsh_4m_35loss_400ms,classic_decentralized_sensor_apf,Classic decentralized sensor APF,300.0,0.0,4.0,0.0,2896.0,0.0,0.3131914893617021,0.0,0.02553191489361702,0.0,0.0,0.0,7.0,0.0,39.42,0.0,0.10359116022099447,0.0,0.5647012679991403,0.0,1269.0,0.0,0.0,0.0,0.9744680851063829,0.0,856.720510343765,0.0,0.00037574993205420805,0.0,0.4571824308770259,0.0,0.31840796019900497,0.0,0.681592039800995,0.0,1.0,0.0,12.24,0.0,1.2765957446808511,0.0,-0.00807345167485256,0.0,4.370212765957447,0.0,0.32000000000000006,0.0,0.4039250624708793,0.0,5.888571428571429,0.0,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,nan,0.0,0.477824080310666,0.0,0.0,0.0,1,0.30618870440029783,0.0,0.6450095238095238,0.0,0.7981205673758865,0.0,0.10128510550156958,0.0,0.4381906077348066,0.0,1.0,0.0,0.02553191489361702,0.0,157.6573000056669,0.0,-19.30726927326836,0.0,1.0,0.0,0.3990602836879433,0.0,0.0,0.0,0.723404255319149,0.0,0.25192114498420093,0.0,0.0,0.0,83.87837226123256,0.0
cargo_sensor_degradation,harsh_4m_35loss_400ms,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,160.0,0.0,3.0,0.0,1816.0,0.0,0.21446808510638302,0.0,0.0425531914893617,0.0,0.0,0.0,10.0,0.0,38.879999999999995,0.0,0.0881057268722467,0.0,0.5833950446716404,0.0,773.0,0.0,0.0,0.0,0.9574468085106383,0.0,667.5607500308423,0.0,5.155039524017031e-05,0.0,0.37708282002743176,0.0,0.3317307692307693,0.0,0.6682692307692307,0.0,2.0,0.0,10.08,0.0,0.6808510638297872,0.0,-0.002629931867020829,0.0,4.651063829787234,0.0,0.26893617021276606,0.0,0.4110593452467349,0.0,4.05,0.0,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,nan,0.0,1.18522338726707,0.0,0.0,0.0,1,0.2747492287401416,0.0,0.6450095238095238,0.0,0.766079027355623,0.0,0.07436412618656,0.0,0.42566079295154186,0.0,1.0,0.0,0.0425531914893617,0.0,270.72429994586855,0.0,-13.384653823966257,0.0,1.0,0.0,0.3830395136778115,0.0,0.0,0.0,0.5404255319148936,0.0,0.24538796894669676,0.0,0.0,0.0,62.80966761884384,0.0
cargo_sensor_degradation,harsh_4m_35loss_400ms,reference_full_communication,Reference full-communication controller,296.0,0.0,4.0,0.0,2886.0,0.0,0.36085106382978716,0.0,0.00425531914893617,0.0,0.0,0.0,2.0,0.0,41.58,0.0,0.10256410256410256,0.0,0.5670280901131965,0.0,1299.0,0.0,0.0,0.0,0.9957446808510638,0.0,785.8719344702207,0.0,0.07521618013133478,0.0,0.04870026665338043,0.0,0.9714285714285714,0.0,0.02857142857142857,0.0,1.0,0.0,36.9,0.0,1.2595744680851064,0.0,-0.010887039615663462,0.0,4.3872340425531915,0.0,0.31574468085106383,0.0,0.40142800044079435,0.0,21.06,0.0,high,global_lossless_network,reference_model_based_reference_centralized_high_communication,centralized_reference_full_information,model_based_reference,reference,centralized,0,none,10,False,False,full_information_upper_reference,nan,0.0,0.7399439402764307,0.0,0.0,0.0,1,0.29810676325144414,0.0,0.6450095238095238,0.0,0.7662681526511315,0.0,0.0,0.0,0.4501039501039501,0.0,1.0,0.0,0.00425531914893617,0.0,226.6228999942541,0.0,2.9754539370769457,0.0,1.0,0.0,0.38313407632556573,0.0,1.0,0.0,0.6978723404255319,0.0,0.3663063754266307,0.0,0.0,0.0,75.89686835440293,0.0
cargo_sensor_degradation,nominal_full_mesh,classic_centralized_global_mpc,Classic centralized global comms,4700.0,0.0,4.0,0.0,4700.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.44,0.0,1.0,0.0,0.0,0.0,4700.0,0.0,1.0,0.0,0.0,0.0,822.344851012994,0.0,0.00010175168752755062,0.0,0.22761196257643102,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.020280732956982357,0.0,0.0,0.0,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,nan,0.0,0.11500000000000005,0.0,0.0,0.0,1,0.9383173252279635,0.0,0.028733333333333333,0.0,0.9789665653495442,0.0,0.9524411883300179,0.0,1.0,0.0,1.0,0.0,0.0,0.0,129.49439999647439,0.0,14.612139905979888,0.0,1.0,0.0,0.4894832826747721,0.0,0.0,0.0,1.0,0.0,0.39136442553191486,0.0,0.0,0.0,85.5065680691162,0.0
cargo_sensor_degradation,nominal_full_mesh,classic_decentralized_sensor_apf,Classic decentralized sensor APF,4700.0,0.0,4.0,0.0,4700.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.08,0.0,1.0,0.0,0.0,0.0,4700.0,0.0,1.0,0.0,0.0,0.0,815.6191410479951,0.0,0.0001549139252869705,0.0,0.16333438902826156,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.020185313635792353,0.0,0.0,0.0,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,nan,0.0,0.11500000000000005,0.0,0.0,0.0,1,0.9384082404593043,0.0,0.028733333333333333,0.0,0.9801030057413036,0.0,0.0051386064774668685,0.0,1.0,0.0,1.0,0.0,0.0,0.0,149.97879997827113,0.0,305.66478342823723,0.0,1.0,0.0,0.4900515028706518,0.0,1.0,0.0,1.0,0.0,0.9913771536643026,0.0,1.0,0.0,84.82071505715274,0.0
