experiment_id,scenario_generator,scenario_variant_id,communication_profile,seed,method,finite_ok,messages_ok,passed,rates_ok,shape_ok
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,True,True,True,True,True
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_decentralized_sensor_apf,True,True,True,True,True
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,ours_connectivity_wrench_game,True,True,True,True,True
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,reference_full_communication,True,True,True,True,True
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,classic_centralized_global_mpc,True,True,True,True,True
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,classic_decentralized_sensor_apf,True,True,True,True,True
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,ours_connectivity_wrench_game,True,True,True,True,True
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,reference_full_communication,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_decentralized_sensor_apf,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_nominal_full_mesh_seed8800,nominal_full_mesh,8800,ours_connectivity_wrench_game,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_nominal_full_mesh_seed8800,nominal_full_mesh,8800,reference_full_communication,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,classic_centralized_global_mpc,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,classic_decentralized_sensor_apf,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,ours_connectivity_wrench_game,True,True,True,True,True
SP7_MC_communication_robustness,multi_group_obstacle_crossing,multi_group_obstacle_crossing_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,reference_full_communication,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_decentralized_sensor_apf,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_nominal_full_mesh_seed8800,nominal_full_mesh,8800,ours_connectivity_wrench_game,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_nominal_full_mesh_seed8800,nominal_full_mesh,8800,reference_full_communication,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,classic_centralized_global_mpc,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,classic_decentralized_sensor_apf,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,ours_connectivity_wrench_game,True,True,True,True,True
SP7_MC_communication_robustness,cargo_sensor_degradation,cargo_sensor_degradation_harsh_4m_35loss_400ms_seed8800,harsh_4m_35loss_400ms,8800,reference_full_communication,True,True,True,True,True
SP7_MC_communication_robustness,monte_carlo,monte_carlo_mc_multi_group_crossing_push_mc_r100_loss08_delay351_seed8800,mc_r100_loss08_delay351,8800,classic_centralized_global_mpc,True,True,True,True,True
SP7_MC_communication_robustness,monte_carlo,monte_carlo_mc_multi_group_crossing_push_mc_r100_loss08_delay351_seed8800,mc_r100_loss08_delay351,8800,classic_decentralized_sensor_apf,True,True,True,True,True
SP7_MC_communication_robustness,monte_carlo,monte_carlo_mc_multi_group_crossing_push_mc_r100_loss08_delay351_seed8800,mc_r100_loss08_delay351,8800,ours_connectivity_wrench_game,True,True,True,True,True
SP7_MC_communication_robustness,monte_carlo,monte_carlo_mc_multi_group_crossing_push_mc_r100_loss08_delay351_seed8800,mc_r100_loss08_delay351,8800,reference_full_communication,True,True,True,True,True
