alpha,alternative,ci95_high,ci95_low,class,effect,effect_name,effect_size,effect_size_name,id,methods,metric,n_pairs,p_value,p_value_holm,p_value_raw,rank_biserial,reject,reject_holm,reject_raw
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-P1, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-P2, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-P3, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-P4, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-P5, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-P6, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-G1, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-G2, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-G3, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-G4, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-G5, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-G6, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-C1, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-C2, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-C3, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-R1, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-R2, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-R3, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
0.05,two-sided,,,PairedSignedRank,,- normalized_regret,0.0,cohens_dz,H0-SP0-R4, vs ,normalized_regret,0,1.0,1.0,1.0,0.0,False,False,False
