method,dynamic_id,fitness_id,rounding_id,matching_valid,world_hash,closure_success,continuous_converged,continuous_timeout,final_success,finite_metrics,matching_required,nonnegative_ok,passed,simplex_ok
HUN,,,EXACT,True,ca2ddee5cb1a7e79,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,ca2ddee5cb1a7e79,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,ca2ddee5cb1a7e79,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,ca2ddee5cb1a7e79,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,ca2ddee5cb1a7e79,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,ca2ddee5cb1a7e79,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,02d90b41443a40da,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,02d90b41443a40da,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,02d90b41443a40da,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,02d90b41443a40da,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,02d90b41443a40da,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,02d90b41443a40da,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,6f99c3649f5e2ae9,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,6f99c3649f5e2ae9,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,6f99c3649f5e2ae9,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,6f99c3649f5e2ae9,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,6f99c3649f5e2ae9,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,6f99c3649f5e2ae9,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,45ab1f1cdc0be691,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,45ab1f1cdc0be691,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,45ab1f1cdc0be691,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
