world_key,method,commit,deficit,distance,move_order,phase
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,0,56.0,0.0,0,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,1,51.0,9.534388286690978,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,2,46.0,62.064285176102224,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,3,41.0,89.02695331184215,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,4,36.0,165.97763322837108,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,5,31.0,242.06905745575253,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,6,26.0,257.3069322812441,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,7,21.0,265.4845175228442,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,8,16.0,320.32677024667146,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,9,11.0,367.8547729036945,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,10,5.999999999999999,380.30250125074116,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,11,3.098366202920757,425.07527183592214,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,12,1.2838344400987092,466.46612123849394,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,13,0.728181499280617,544.8250205959273,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,14,0.271640254909693,549.7770896931819,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_u,15,0.0,577.4650857820388,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,0,56.0,0.0,0,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,1,51.0,9.534388286690978,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,2,46.0,62.064285176102224,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,3,41.0,89.02695331184215,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,4,36.0,165.97763322837108,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,5,31.0,242.06905745575253,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,6,26.0,257.3069322812441,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,7,21.0,265.4845175228442,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,8,16.0,320.32677024667146,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,9,11.0,367.8547729036945,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,10,5.999999999999999,380.30250125074116,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,11,3.098366202920757,425.07527183592214,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,12,1.2838344400987092,466.46612123849394,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,13,0.728181499280617,544.8250205959273,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,14,0.271640254909693,549.7770896931819,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,15,0.0,577.4650857820388,1,Q
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,16,0.0,574.0923987441312,2,G
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,17,0.0,528.2928866927622,2,G
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,18,0.0,527.3256177035053,2,G
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,19,0.0,479.4650403420061,2,G
E3:clustered:p0.7:cv0.0:r20,geo_qpg_p,20,0.0,475.6836161491464,2,G
