campaign_id,experiment,block,world_key,world_id,world_seed,scenario,N,K,robots_per_load,capacity_cv,realized_cv,pressure,graph_regime,graph_edges,graph_connected,br_status,br_phase,br_feasible,br_distance,br_deficit,br_rounds,br_bytes_per_agent,hstar_order,hstar_category,searched_through,phase,witness_robots,witness_old_actions,witness_new_actions,witness_delta_deficit,witness_delta_distance,search_runtime_ms,br_assignment,gap_br,gap_2br,gap_c3
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:ring:p0.7:cv0.0:r9,ring-p0.7-r9,921717903,ring,16,5,3.2,0.0,0.0,0.7,medium,72,True,LOCAL_MINIMUM,G,True,526.6428290638903,0.0,30,514.5,2.0,2,3,G,2;9,1;2,2;1,0.0,-34.52026536761418,9.087499987799674,0;2;1;4;0;0;-1;3;4;2;3;1;3;3;-1;0,0.2647574901720204,0.0,-1.3651214030386164e-16
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:ring:p0.7:cv0.35:r1,ring-p0.7-r1,1081172274,ring,16,5,3.2,0.35,0.34793461228809786,0.7,medium,69,True,LOCAL_MINIMUM,G,True,527.4988312122342,0.0,28,444.0,2.0,2,3,G,0;3,2;0,0;2,0.0,-17.315750509361038,10.961799998767674,2;3;1;0;-1;-1;1;-1;0;-1;3;2;1;2;3;4,0.3943857209100613,0.2546925245765675,0.1000876306161729
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:ring:p0.85:cv0.35:r24,ring-p0.85-r24,2038447888,ring,16,5,3.2,0.35,0.34914868571818275,0.85,medium,57,True,LOCAL_MINIMUM,G,True,592.6529178931148,0.0,43,857.25,2.0,2,3,G,1;4,4;-1,-1;4,0.0,-6.926782120109934,6.899600004544482,2;4;4;4;-1;4;0;4;2;2;3;1;1;2;0;3,0.2433282297911916,0.178985544828058,0.0299903570889317
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:ring:p0.85:cv0.65:r16,ring-p0.85-r16,2136464047,ring,16,5,3.2,0.65,0.6257087418529084,0.85,medium,48,True,LOCAL_MINIMUM,G,True,626.9319501933214,0.0,39,1059.75,2.0,2,3,G,0;13,3;0,0;3,0.0,-13.550513792010804,6.005700008245185,3;2;3;-1;4;2;0;1;-1;0;3;2;0;0;4;4,0.5924153110064723,0.3707663388052671,0.1996448240474741
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:ring:p0.85:cv1.0:r8,ring-p0.85-r8,4074635044,ring,16,5,3.2,1.0,0.3830575056585474,0.85,medium,47,True,LOCAL_MINIMUM,G,True,595.1884188677182,0.0,37,736.5,2.0,2,3,G,0;15,0;3,3;0,0.0,-35.60737652821736,5.630700004985556,0;1;0;4;0;1;1;1;1;3;4;4;4;1;2;3,0.4764659816706146,0.295448279766483,0.1126969572931784
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:separated:p0.7:cv0.65:r25,separated-p0.7-r25,3910657858,separated,16,5,3.2,0.65,0.5845739580421626,0.7,medium,83,True,LOCAL_MINIMUM,G,True,967.0187217685095,0.0,42,620.25,2.0,2,3,G,6;13,-1;2,2;-1,0.0,-18.016015168900665,9.378099988680333,0;3;2;0;3;2;-1;-1;3;2;4;1;1;2;-1;0,0.5496505470780629,0.1593868726593096,0.1593868726593096
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:separated:p0.7:cv1.0:r17,separated-p0.7-r17,2363445062,separated,16,5,3.2,1.0,1.1194678408646208,0.7,medium,56,True,LOCAL_MINIMUM,G,True,972.79142249143,0.0,40,762.0,2.0,2,3,G,2;13,-1;3,3;-1,0.0,-25.182501002201555,6.481399992480874,-1;2;-1;3;0;3;-1;0;1;3;1;4;1;3;1;3,0.8466028349915404,0.6232574635521019,0.1443253933996412
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:separated:p0.85:cv0.0:r11,separated-p0.85-r11,3061784446,separated,16,5,3.2,0.0,0.0,0.85,medium,63,True,LOCAL_MINIMUM,G,True,1222.986894146379,0.0,32,632.25,2.0,2,3,G,12;14,4;1,1;4,0.0,-30.092912050835537,7.4853999831248075,0;2;3;4;0;4;2;3;0;4;3;2;4;1;1;2,0.1128858970148195,0.0,0.0
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:separated:p0.85:cv0.35:r3,separated-p0.85-r3,2796452269,separated,16,5,3.2,0.35,0.20636292476003476,0.85,medium,73,True,LOCAL_MINIMUM,G,True,1231.0829177735816,0.0,37,624.75,2.0,2,3,G,2;4,4;0,0;4,0.0,-25.2282807876403,9.63479999336414,2;1;4;3;0;1;3;0;4;3;1;4;2;0;4;1,0.2802389923704157,7.093575280878164e-16,7.093575280878163e-16
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,uniform,16,5,3.2,0.0,0.0,0.7,medium,81,True,LOCAL_MINIMUM,G,True,576.6872662317725,0.0,29,479.25,2.0,2,3,G,7;11,4;1,1;4,0.0,-76.32922603311576,9.392300009494647,1;0;-1;2;3;-1;2;4;3;-1;0;1;0;2;0;4,1.1783489091518051,-2.1471741569222492e-16,-2.1471741569222494e-16
