rank,method,method_label,method_family,method_scope,method_ownership,collision_risk_rate_mean,performance_gap_vs_reference_mean,runtime_ms_mean,scalar_feasible_rate_mean,task_completion_rate_mean,timeout_rate_mean,transport_success_rate_mean,wrench_feasible_rate_mean
1,ours_tensor_quorum_flow,Ours tensor quorum flow,model_based,decentralized,proposed,0.0053329907779197,0.0147112519202436,1385.4980015010224,0.8063131559139786,0.1560689735649296,0.0,0.1560689735649296,0.1939677496939619
2,ours_primal_dual_spatial,Ours primal-dual spatial,model_based,decentralized,proposed,0.010495977353763,0.0152451556267992,212.8265692490968,0.8080894076923077,0.1541853056575682,0.0,0.1541853056575682,0.1940097121588089
3,ours_wrench_market_hierarchical,Ours wrench-market hierarchical,model_based,hierarchical,proposed,0.0099096810881538,0.0040283855847647,206.9571644990356,0.7947288257071959,0.1529100642514474,0.0,0.1529100642514474,0.1932600644499586
4,classic_local_greedy,Classic local greedy,classic,decentralized,baseline,0.0314808281582158,0.2371720544556598,167.5466580488137,0.8111392423325061,0.0521028545078577,0.0,0.0521028545078577,0.0700398016046319
5,auction_market_local,Auction market local,sota,decentralized,baseline,0.02983919861451,0.2387889765455215,179.14237370033516,0.813174480661704,0.0518807751364764,0.0,0.0518807751364764,0.0698962162117452
6,ours_mean_field_approximation,Ours mean-field approximation,model_based,decentralized,proposed,0.0292529023489008,0.2542524187917216,174.2596455992316,0.797324439917287,0.043590486567411,0.0,0.043590486567411,0.058538909280397
7,cbba_partitioned,CBBA partitioned,sota,decentralized,baseline,0.0296633097348272,0.2537886894251749,759.6711058004294,0.797215158031431,0.0425068100248138,0.0,0.0425068100248138,0.0577242514805624
8,centralized_hungarian_expanded,Centralized Hungarian expanded,classic,centralized,baseline,0.6139379334788951,0.8210577663294805,36000.87470675038,0.2994144731182796,0.0235232150537634,0.6,0.0235232150537634,0.0304577204301075
9,centralized_time_expanded_mpc,Centralized time-expanded MPC,sota,centralized,baseline,0.7510070181818183,0.7562889868927175,45000.25282934995,0.2118249999999999,0.0432283333333333,0.75,0.0432283333333333,0.0511733333333333
10,centralized_coalition_oracle,Centralized coalition oracle,model_based_oracle,centralized,reference,0.807897040530303,0.8196052285095428,48000.128684600175,0.171125,0.033125,0.8,0.033125,0.0413333333333333
