world_hash,scenario,reserve_size,seed,physically_recoverable,delta_min,penalty,pure_nash_count,exact_potential_verified,all_nash_feasible,all_feasible_nash_minimal
4b8c4bab44b90e622ff464685e6bd27d0412fe26e5913459bba765847f1f1c85,balanced_recoverable,4,8600,True,0.031011307030154756,27.410214821082683,1,True,True,True
70651bb31d5c031f48b8b5a48f216479d32de9497b85d4da8e9d4ca39faef573,balanced_recoverable,4,8601,True,0.1432804752663901,6.804248039461948,1,True,True,True
afdb11d816adee8755ae06a12f202795646ab9dc7cb4a7b9bb26b55bc2c67ddb,balanced_recoverable,4,8602,True,0.07787555555427739,10.741681319072862,1,True,True,True
a3f0c5476fb0de488d15252f6646c9d19a73291dec0772217e32702bb7dc0f24,balanced_recoverable,4,8603,True,0.005001301810707126,172.29446018408478,1,True,True,True
6ddf559ef6a4334dab0ecf6c433c3f67670f77692865ea4c05b9a3d11934f103,balanced_recoverable,4,8604,True,0.18774274965375903,5.561527184413722,1,True,True,True
16c2d14f1bf02323a663a0599c6835254e70e59d04f8e6c9e91e8b026e9d193e,balanced_recoverable,4,8605,True,0.030721785960245773,33.341500153101116,2,True,True,True
157989a92f279247a2e49b30aaea60d0dddc1a8c5d32288683338e043c4bcb21,balanced_recoverable,4,8606,True,0.07402067632573228,11.388587079632982,1,True,True,True
010987225784c9bee19bd03998c244585abb1c8a7ef97cca9125b86a398a731b,balanced_recoverable,4,8607,True,0.09831704448746437,10.15142396012857,1,True,True,True
1c0f99b48aadb71c98cd560d2db06645c98ccea54b382d1acfe7749e5717ac78,balanced_recoverable,4,8608,True,0.044991151680183195,22.572190453168357,1,True,True,True
28da6394e865931a424bba373aa78e46f42502d4de289f570af0747b94cbef3e,balanced_recoverable,4,8609,True,0.09571529108974319,9.433889491083733,2,True,True,True
20978753ca210fc99f04aea4aaa5609e5c17aa7754f5ed0f497219ba63c71d86,balanced_recoverable,4,8610,True,0.032119139630086835,30.656984760808957,1,True,True,True
a650b6d9c7db57a9d5c3df85a71052116df1c6b1d21ae5df7f4f897a1bdb4562,balanced_recoverable,4,8611,True,0.16529259292971,5.67707412676498,1,True,True,True
5455edfd89b2935d54a81dba9ef02e3d6c21b9e927fc081c66d1fbfef1cff906,balanced_recoverable,4,8612,True,0.10387627859694593,10.466413593674327,1,True,True,True
615475517b34c2a69823c1b86d46dd1aee4549729396d9469ca19990cbde71a0,balanced_recoverable,4,8613,True,0.2681683939460915,3.9360572762470354,1,True,True,True
deb91efd368dc549e8007e4bd35048babb87187145fce396169e9fd41c9340f5,balanced_recoverable,4,8614,True,0.01733834114275945,54.65655432597158,1,True,True,True
