generation,candidate,objective,reward_capture_ratio,delivery_rate,throughput_steady,loads_delivered,wasted_distance,lateral_switches_per_delivery,mean_contact_deficit
0,0,0.40648366046945006,0.4646657222088256,0.625,3.0555555555555554,4.25,61.36856038433121,2.25,2.999355484932658
0,1,0.41015140053745064,0.4646657222088256,0.625,3.0555555555555554,4.25,58.96267388534423,2.25,2.9954281302979835
0,2,0.3523482626437332,0.4262041837472872,0.5625,2.5,3.75,61.43915381729333,2.5416666666666665,2.9714793585076
0,3,0.404170521824956,0.4646657222088256,0.625,3.0555555555555554,4.25,62.596402345366684,2.3333333333333335,2.997447198462048
0,4,0.17401298902252646,0.2915887991319026,0.46875,1.6666666666666665,3.0,69.434479914514,3.229166666666667,3.38799490472923
0,5,0.27013623652339064,0.37366620448517,0.54375,2.2222222222222223,3.75,74.34810546367726,2.45,3.2626502807138644
0,6,0.4106215101378373,0.4646657222088256,0.6,3.0555555555555554,4.25,58.380871486172424,2.0833333333333335,3.005601063522719
0,7,0.40414094702763853,0.4646657222088256,0.625,3.0555555555555554,4.25,62.78345045982563,2.2916666666666665,2.9973807068373204
1,0,0.4074211224450582,0.4646657222088256,0.625,3.0555555555555554,4.25,60.8977260408047,2.2083333333333335,3.000608120911434
1,1,0.39976613388190235,0.4564532091471746,0.625,3.0555555555555554,4.25,61.887095832083816,1.9166666666666665,2.9811695085505066
1,2,0.383204269386141,0.4501836166706856,0.625,3.333333333333333,4.25,73.49353948179957,1.9166666666666665,2.8770469819007953
1,3,0.40896667612006754,0.4646657222088256,0.625,3.0555555555555554,4.25,60.029150296451455,2.166666666666667,3.001095450346132
1,4,0.29829583206927035,0.38774264528574875,0.5,1.9444444444444444,3.25,61.67059235141227,2.75,2.9553209052165936
1,5,0.4517643951255951,0.48976041917852264,0.65,3.333333333333333,4.5,54.070454077027534,1.833333333333333,3.003800640270194
1,6,0.4079486098593705,0.4646657222088256,0.625,3.0555555555555554,4.25,60.53116221082849,2.2083333333333335,3.0020986762882327
1,7,0.4055698017597438,0.4646657222088256,0.625,3.0555555555555554,4.25,61.99965345504667,2.25,2.9971700918415327
2,0,0.3585378155034711,0.43135851217747767,0.575,3.055555555555556,4.0,69.04901886598984,2.291666666666667,3.023885299075534
2,1,0.4093089944269413,0.4646657222088256,0.625,3.0555555555555554,4.25,59.82192846654135,2.166666666666667,2.9989964128788973
2,2,0.4056301213298515,0.4646657222088256,0.6,3.0555555555555554,4.25,61.24405270453535,2.166666666666667,3.0187088622188187
2,3,0.4117694776024462,0.4646657222088256,0.625,3.0555555555555554,4.25,58.185350632267834,2.166666666666667,2.998621984605921
2,4,0.07360549071593861,0.19208916083916083,0.35,1.1111111111111112,2.5,65.83946431258808,1.3125,3.438113058437489
2,5,0.382151900721745,0.44543495297805646,0.59375,2.7777777777777777,4.0,59.92958127436944,2.3166666666666664,2.982115726687526
2,6,0.40782625492495056,0.4646657222088256,0.625,3.0555555555555554,4.25,60.61273216710846,2.2083333333333335,3.0020986762882327
2,7,0.400497859196489,0.4564532091471746,0.625,3.0555555555555554,4.25,61.18632092776926,1.9583333333333335,2.985798644676188
3,0,0.40896667612006754,0.4646657222088256,0.625,3.0555555555555554,4.25,60.029150296451455,2.166666666666667,3.001095450346132
3,1,0.41013988419590364,0.4646657222088256,0.625,3.0555555555555554,4.25,58.62459133978063,2.3333333333333335,2.9966708076241426
3,2,0.01933835277482828,0.13461538461538464,0.28125,0.8333333333333334,2.25,59.15834354286812,0.45,3.6379122128613908
3,3,0.41012870009898644,0.4646657222088256,0.625,3.0555555555555554,4.25,58.77708365717318,2.2916666666666665,2.998833849012701
3,4,0.30155601062134757,0.38774264528574875,0.5625,2.2222222222222223,3.75,63.99856374991062,2.4375,3.208882232265315
3,5,0.4584661014302146,0.48976041917852264,0.65,3.6111111111111107,4.5,52.46834435108337,2.25,2.920934896260344
3,6,0.2788044429793218,0.33591426533236884,0.525,2.5,3.5,49.98096245020865,1.375,3.34255857851561
3,7,0.40794875171571676,0.4646657222088256,0.625,3.0555555555555554,4.25,60.72155432655994,2.166666666666667,2.999716674292006
