campaign_id,experiment,world_key,world_id,world_seed,scenario,N,K,capacity_cv,pressure,graph_regime,method,method_family,algorithm_status,terminal_phase,raw_certificate,distance_cost,capacity_deficit,robot_conflict,excess_capacity,assigned_robots,max_coalition_size,unserved_loads,rounds,messages,bytes,runtime_ms,commits,quota_commits,geometry_commits,rejected_stale,rejected_conflict,max_parallel_commits,potential_monotone,unilateral_local_minimum,pair_local_minimum,feasible,messages_per_agent,bytes_per_agent,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified,optimality_gap,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected,source_campaign_id,evidence_origin,arbitration_messages,transaction_messages,transaction_aborts,mis_iterations,triple_local_minimum
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,uniform,16,5,0.0,0.7,medium,capacity_cbba_rb,N3_REFERENCE,QUIESCENT_OBSERVED,,FEASIBLE,313.4885069000722,0.0,0,9.000000000000007,13,4,0,22,885,178887,32.231399993179366,,,,,,,,,,True,55.3125,11180.4375,OPTIMAL,264.73594923612126,264.73594923612126,0.0,0.004304600006435,True,True,0.1841554114755602,81.0,10.125,5.0,2.0,1.0,4.531452980949587,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,uniform,16,5,0.0,0.7,medium,weighted_grape,N3_REFERENCE,CONVERGED,,FEASIBLE,315.32566629531374,0.0,0,9.000000000000007,13,4,0,225,10093,423420,130.62430001446046,,,,,,,,,,True,630.8125,26463.75,OPTIMAL,264.73594923612126,264.73594923612126,0.0,0.004304600006435,True,True,0.1910950031726552,81.0,10.125,5.0,2.0,1.0,4.531452980949587,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,uniform,16,5,0.0,0.7,medium,weighted_pair_grape,N3_REFERENCE,CONVERGED,,FEASIBLE,264.7359492361212,0.0,0,9.000000000000007,13,4,0,289,12299,516072,322.1948999853339,,,,,,,,,,True,768.6875,32254.5,OPTIMAL,264.73594923612126,264.73594923612126,0.0,0.004304600006435,True,True,-2.1471741569222494e-16,81.0,10.125,5.0,2.0,1.0,4.531452980949587,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,uniform,16,5,0.0,0.7,medium,geo_qpg_u,N4_PROPOSED,LOCAL_MINIMUM,G,FEASIBLE,576.6872662317725,0.0,0,9.000000000000007,13,4,0,29,229,7668,10.943600005703049,13.0,13.0,0.0,0.0,0.0,1.0,True,True,False,True,14.3125,479.25,OPTIMAL,264.73594923612126,264.73594923612126,0.0,0.004304600006435,True,True,1.1783489091518051,81.0,10.125,5.0,2.0,1.0,4.531452980949587,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,uniform,16,5,0.0,0.7,medium,geo_qpg_p,N4_PROPOSED,LOCAL_MINIMUM,G,FEASIBLE,264.7359492361212,0.0,0,9.000000000000007,13,4,0,451,1813,87520,241.40749999787656,40.0,13.0,27.0,0.0,0.0,1.0,True,True,True,True,113.3125,5470.0,OPTIMAL,264.73594923612126,264.73594923612126,0.0,0.004304600006435,True,True,-2.1471741569222494e-16,81.0,10.125,5.0,2.0,1.0,4.531452980949587,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,3701984000,uniform,16,5,0.0,0.7,medium,geo_qpg_cf,N4_PROPOSED,LOCAL_MINIMUM,G,FEASIBLE,264.7359492361212,0.0,0,9.000000000000007,13,4,0,14,1213,64060,214.9554000061471,16.0,13.0,3.0,0.0,69.0,4.0,True,True,True,True,75.8125,4003.75,OPTIMAL,264.73594923612126,264.73594923612126,0.0,0.004304600006435,True,True,-2.1471741569222494e-16,81.0,10.125,5.0,2.0,1.0,4.531452980949587,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,571747695,uniform,16,5,0.0,0.7,medium,capacity_cbba_rb,N3_REFERENCE,QUIESCENT_OBSERVED,,FEASIBLE,345.4624357546108,0.0,0,14.000000000000002,14,4,0,24,1055,171185,34.4492000003811,,,,,,,,,,True,65.9375,10699.0625,OPTIMAL,310.7245712787401,310.7245712787401,0.0,0.0026621000142768,True,True,0.1117963228106238,75.0,9.375,5.0,3.0,1.0,2.642817163468848,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,571747695,uniform,16,5,0.0,0.7,medium,weighted_grape,N3_REFERENCE,CONVERGED,,FEASIBLE,313.7716055855476,0.0,0,14.000000000000002,14,4,0,241,10384,435678,142.2337000258267,,,,,,,,,,True,649.0,27229.875,OPTIMAL,310.7245712787401,310.7245712787401,0.0,0.0026621000142768,True,True,0.0098062225792698,75.0,9.375,5.0,3.0,1.0,2.642817163468848,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,571747695,uniform,16,5,0.0,0.7,medium,weighted_pair_grape,N3_REFERENCE,CONVERGED,,FEASIBLE,310.72457127874014,0.0,0,14.000000000000002,14,4,0,273,11013,462096,225.86919998866503,,,,,,,,,,True,688.3125,28881.0,OPTIMAL,310.7245712787401,310.7245712787401,0.0,0.0026621000142768,True,True,1.8293828076382082e-16,75.0,9.375,5.0,3.0,1.0,2.642817163468848,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,571747695,uniform,16,5,0.0,0.7,medium,geo_qpg_u,N4_PROPOSED,LOCAL_MINIMUM,G,FEASIBLE,442.0592068030106,0.0,0,14.000000000000002,14,4,0,30,248,8316,5.285599996568635,14.0,14.0,0.0,0.0,0.0,1.0,True,True,False,True,15.5,519.75,OPTIMAL,310.7245712787401,310.7245712787401,0.0,0.0026621000142768,True,True,0.42267219159329,75.0,9.375,5.0,3.0,1.0,2.642817163468848,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,571747695,uniform,16,5,0.0,0.7,medium,geo_qpg_p,N4_PROPOSED,LOCAL_MINIMUM,G,FEASIBLE,310.72457127874014,0.0,0,14.000000000000002,14,4,0,305,1068,52044,185.7146999973338,26.0,14.0,12.0,0.0,0.0,1.0,True,True,True,True,66.75,3252.75,OPTIMAL,310.7245712787401,310.7245712787401,0.0,0.0026621000142768,True,True,1.8293828076382082e-16,75.0,9.375,5.0,3.0,1.0,2.642817163468848,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
SP1_N4_DISTRIBUTED_FAMILY_v2,E3_CONFIRMATORY,E3:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,571747695,uniform,16,5,0.0,0.7,medium,geo_qpg_cf,N4_PROPOSED,LOCAL_MINIMUM,G,FEASIBLE,310.72457127874014,0.0,0,14.000000000000002,14,4,0,13,862,43944,154.28889999748208,15.0,14.0,1.0,0.0,49.0,4.0,True,True,True,True,53.875,2746.5,OPTIMAL,310.7245712787401,310.7245712787401,0.0,0.0026621000142768,True,True,1.8293828076382082e-16,75.0,9.375,5.0,3.0,1.0,2.642817163468848,True,SP1_N4_ATOMIC_GEO_QPG_v1,frozen_v1,,,,,
