campaign_id,experiment,world_key,world_seed,scenario,N,K,method,feasible,capacity_deficit,runtime_ms,rounds,messages,bytes,bytes_per_agent,max_parallel_commits,algorithm_status,arbitration_messages,transaction_messages
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r0,1233352330,clustered,16,4,geo_qpg_u,True,0.0,7.3336999921593815,33,255,8460,528.75,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r0,1233352330,clustered,16,4,geo_qpg_d,True,0.0,102.8101000119932,13,1317,56356,3522.25,3,LOCAL_MINIMUM,334,57
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r1,2011752665,clustered,16,4,geo_qpg_u,True,0.0,8.036599989281967,47,405,13632,852.0,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r1,2011752665,clustered,16,4,geo_qpg_d,True,0.0,60.49570001778193,12,1242,47280,2955.0,3,LOCAL_MINIMUM,556,54
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r2,3271909364,clustered,16,4,geo_qpg_u,True,0.0,7.8655999968759716,41,319,10548,659.25,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r2,3271909364,clustered,16,4,geo_qpg_d,True,0.0,139.74450001842342,15,2572,109144,6821.5,4,LOCAL_MINIMUM,1214,54
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r3,1733903314,clustered,16,4,geo_qpg_u,True,0.0,7.874900009483099,43,384,13128,820.5,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r3,1733903314,clustered,16,4,geo_qpg_d,True,0.0,100.99539998918772,14,1638,68260,4266.25,4,LOCAL_MINIMUM,378,126
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r4,2142911599,clustered,16,4,geo_qpg_u,True,0.0,6.919999985257164,45,317,10764,672.75,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:clustered:cv0.65:p0.8:r4,2142911599,clustered,16,4,geo_qpg_d,True,0.0,97.61110000545159,15,1997,83584,5224.0,4,LOCAL_MINIMUM,594,123
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r0,1811569661,corridor,16,4,geo_qpg_u,True,0.0,5.234000011114404,39,317,10764,672.75,1,LOCAL_MINIMUM,0,0
