scenario_generator,scenario_variant_id,method,method_label,seed,event_kind,event_time_s,n_robots,n_loads,objective,key_metrics,snapshot,video
battery_depletion_reallocation,battery_depletion_reallocation_v00,reference_resilient_oracle,Reference centralized resilient recovery,7658,battery_depletion_reallocation,18.360000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.5000; target_rate=0.5000; min_wrench_margin=-0.0342; pause_s=0.7000; degraded_s=5.6000; replacement_s=0.1200; pose_error_m=2.6256; collision_rate=0.0000,results\sp6\SP6_MC_explicit_control_law\figures\sp6_battery-depletion-reallocation_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7658.png,results\sp6\SP6_MC_explicit_control_law\videos\sp6_battery-depletion-reallocation_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7658.mp4
blocked_corridor_recovery,blocked_corridor_recovery_v00,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,7652,blocked_corridor_recovery,20.400000000000002,9,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.3333; target_rate=0.3333; min_wrench_margin=0.0000; pause_s=0.0000; degraded_s=0.0000; replacement_s=0.0400; pose_error_m=3.4329; collision_rate=0.0000,results\sp6\SP6_MC_explicit_control_law\figures\sp6_blocked-corridor-recovery_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7652.png,results\sp6\SP6_MC_explicit_control_law\videos\sp6_blocked-corridor-recovery_baseline_classic_decentralized_local-greedy-recovery_classic-decentralized-greedy-recovery_seed7652.mp4
monte_carlo,monte_carlo_infeasible_load_detection_seed7661,cbf_recovery,CBF recovery,7661,infeasible_load_detection,21.11739381478095,6,4,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.5000; target_rate=0.5000; min_wrench_margin=-1.0000; pause_s=41.1600; degraded_s=0.0000; replacement_s=40.9926; pose_error_m=5.8267; collision_rate=0.0000,results\sp6\SP6_MC_explicit_control_law\figures\sp6_monte-carlo_baseline_sota_centralized_centralized-cbf-recovery_cbf-recovery_seed7661.png,results\sp6\SP6_MC_explicit_control_law\videos\sp6_monte-carlo_baseline_sota_centralized_centralized-cbf-recovery_cbf-recovery_seed7661.mp4
multi_load_priority_shift,multi_load_priority_shift_v00,smith_qr_recovery,Smith-QR recovery,7652,multi_load_priority_shift,19.720000000000002,10,4,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=0.0000; completion=0.6667; target_rate=0.6667; min_wrench_margin=-1.0000; pause_s=19.7400; degraded_s=1.6800; replacement_s=4.5000; pose_error_m=1.9788; collision_rate=0.0000,results\sp6\SP6_MC_explicit_control_law\figures\sp6_multi-load-priority-shift_proposed_model-based_decentralized_smith-qr-recovery_smith-qr-recovery_seed7652.png,results\sp6\SP6_MC_explicit_control_law\videos\sp6_multi-load-priority-shift_proposed_model-based_decentralized_smith-qr-recovery_smith-qr-recovery_seed7652.mp4
robot_dropout_mid_task,robot_dropout_mid_task_v00,reference_resilient_oracle,Reference centralized resilient recovery,7656,robot_dropout_mid_task,18.360000000000003,8,3,"Recover payload transport after the disruption while preserving slot formation, wrench feasibility and final load pose.",recovery_success=1.0000; completion=1.0000; target_rate=1.0000; min_wrench_margin=-0.6667; pause_s=1.5400; degraded_s=12.7400; replacement_s=6.2800; pose_error_m=0.3686; collision_rate=0.0000,results\sp6\SP6_MC_explicit_control_law\figures\sp6_robot-dropout-mid-task_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7656.png,results\sp6\SP6_MC_explicit_control_law\videos\sp6_robot-dropout-mid-task_reference_model-based-reference_centralized_centralized-resilient-recovery_reference-resilient-oracle_seed7656.mp4
