K,N,config_id,delta_fractional,delta_primary,experiment,lambda,n,non_worse_primary,r,strictly_better_primary,sum_n,waste_integer_fractional_avg,waste_integer_primary,waste_smooth,z_integer_final,z_smooth
5,19,1,8.868243692244356,10.953250000000466,H2,0.722206870778781,"[5.0, 6.0, 7.0, 5.0, 6.0]",True,"[1.373553445396262, 1.3212284183827663, 0.8001662849112254, 0.7252071899905919, 0.5052653045655747]",True,29.0,10.13175630775611,8.04675,19.000000000000465,"[5.188109591606597, 6.107101374101773, 5.805236943110167, 1.899552091181465, 1.5446773525344728e-186]","[4.948365125377987, 5.906492973809652, 5.886938368578973, 2.2582035322338547, 0.0]"
2,5,2,-8.3662854422073e-11,0.9999999999163371,H2,0.7538210684039692,"[4.0, 6.0]",True,"[0.7784256121007733, 0.7548695876541246]",True,10.0,5.0,4.0,4.999999999916337,"[2.9951520835704777, 2.0048479164295223]","[2.2888880494842234, 2.7111119504321133]"
3,10,3,1.0049124241956715,2.1665000000000587,H2,1.1152792516135983,"[4.0, 5.0, 5.0]",True,"[1.4955002834343927, 1.292661919213753, 1.1221792294411626]",True,14.0,8.995087575804387,7.8335,10.000000000000059,"[3.8511570885547233, 4.099149920841409, 2.0496929906038677]","[3.4619463219460056, 4.0807246301605415, 2.457329047893511]"
4,9,4,2.576314293077555,3.6340357701642834,H2,0.5439147291923471,"[4.0, 3.0, 7.0, 2.0]",True,"[1.1125396042730307, 1.0148888202713704, 0.5439420079613834, 0.5356802787735961]",True,16.0,2.4014714770867283,1.34375,4.977785770164283,"[4.118245106066635, 3.0016248835820716, 1.4402863451497243, 0.4398436652015689]","[4.0222142297209835, 2.928005298708539, 2.049780471455745, 0.0]"
5,12,5,0.6274606053814828,2.5369999999999973,H2,0.7884310193917782,"[7.0, 6.0, 5.0, 4.0, 5.0]",True,"[1.1920321208818392, 0.9968734353935043, 0.7475149220273308, 0.6924021439853106, 0.5117940255425059]",True,27.0,11.372539394618514,9.463,11.999999999999996,"[6.948703059917335, 4.783389830679916, 0.18515295071983634, 0.08275415868291328, 4.207126671203454e-249]","[6.665191049197704, 5.334808950802294, 0.0, 0.0, 0.0]"
4,10,6,1.0139216358956746,2.685807422493697,H2,0.6541772032536676,"[4.0, 4.0, 2.0, 5.0]",True,"[1.3803321539808286, 1.0097908098684232, 0.7675993045637854, 0.6544610810614399]",True,15.0,4.933885786598022,3.262,5.947807422493697,"[4.0288660476831355, 4.031863260994314, 1.1907548712206388, 0.7485158201019128]","[4.052192577531016, 3.695233249492702, 1.1238690007375043, 1.1287051722634907]"
5,9,7,0.34120924657224805,2.2837499999999844,H2,1.0387605481729398,"[6.0, 5.0, 2.0, 6.0, 4.0]",True,"[1.3713393766928808, 1.098184067207213, 1.0411438213764888, 1.00777223630035, 0.8612640590141576]",True,23.0,8.658790753427736,6.71625,8.999999999999984,"[5.703096411545952, 2.207519956311629, 0.5625887594453397, 0.4414834483386992, 0.08531142435838104]","[5.430546704727769, 3.569453295272215, 0.0, 0.0, 0.0]"
2,6,8,0.30886130764682296,1.3087500000027266,H2,0.6444359135518245,"[5.0, 4.0]",True,"[0.8230363462582067, 0.6501997290704519]",True,9.0,5.691138692355904,4.69125,6.000000000002727,"[4.980392610792196, 1.0196073892078046]","[4.358387854844442, 1.6416121451582844]"
3,10,9,2.0229151687090052e-11,1.3227500000202284,H2,1.0833885623046136,"[4.0, 5.0, 7.0]",True,"[1.1379965807883323, 1.1050562538298512, 1.0899916930106102]",True,16.0,10.0,8.67725,10.00000000002023,"[2.991095404028253, 3.0122991159389607, 3.996605480032786]","[2.506165882349633, 3.0439866576642967, 4.4498474600063]"
5,9,10,2.027014722896138,4.088,H2,0.8472057004766456,"[2.0, 5.0, 4.0, 4.0, 3.0]",True,"[1.4678280510488215, 1.171765162611285, 0.9024982981039816, 0.71500403735588, 0.5967040939317456]",True,18.0,6.972985277103862,4.912,9.0,"[1.9993172224372997, 4.985056804104671, 1.9236031240984244, 0.08864024073160695, 0.0033826086279968724]","[1.8443896214752686, 4.520262619405184, 2.635347759119548, 0.0, 0.0]"
