n_robots,n_loads,replicate,regime,method,wall_ms,rounds,messages,bytes,bytes_per_robot,algorithm_status,raw_certificate,total_deficit,distance_cost
24,7,2,medium,weighted_grape,644.9169999687001,553,30331,1275282,53136.75,CONVERGED,FEASIBLE,0.0,676.9683268622284
24,7,2,medium,weighted_pair_grape,4940.773000009358,505,28289,1189518,49563.25,CONVERGED,FEASIBLE,0.0,502.6463367617248
24,7,2,threshold,capacity_cbba,64.64550003875047,35,1299,262021,10917.541666666666,QUIESCENT_OBSERVED,FEASIBLE,0.0,713.3981058372619
24,7,2,threshold,weighted_grape,521.255400031805,553,18484,777088,32378.666666666668,CONVERGED,FEASIBLE,0.0,676.9683268622284
24,7,2,threshold,weighted_pair_grape,3820.618199999444,673,22289,936898,39037.416666666664,CONVERGED,FEASIBLE,0.0,575.9328051748032
32,10,0,complete,capacity_cbba,492.0307999709621,39,6944,2395680,74865.0,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,4.64514883347726,1164.7031967178386
32,10,0,complete,weighted_grape,1725.7152000092901,833,115134,4852492,151640.375,CONVERGED,FEASIBLE,0.0,866.9298396495701
32,10,0,complete,weighted_pair_grape,38640.06240002345,865,121613,5124610,160144.0625,CONVERGED,FEASIBLE,0.0,688.8709435069179
32,10,0,medium,capacity_cbba,177.85450001247227,47,2700,525588,16424.625,QUIESCENT_OBSERVED,FEASIBLE,0.0,1263.0155433564087
32,10,0,medium,weighted_grape,993.4681999729946,833,33969,1430506,44703.3125,CONVERGED,FEASIBLE,0.0,866.9298396495701
32,10,0,medium,weighted_pair_grape,7219.932799984235,673,27153,1144234,35757.3125,CONVERGED,FEASIBLE,0.0,914.584955661137
32,10,0,threshold,capacity_cbba,105.65370001131669,57,1762,280966,8780.1875,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,0.313500962046791,1091.4599817530943
32,10,0,threshold,weighted_grape,956.3477000338025,833,23126,973434,30419.8125,CONVERGED,FEASIBLE,0.0,866.9298396495701
32,10,0,threshold,weighted_pair_grape,4380.943800031673,641,17201,724584,22643.25,CONVERGED,FEASIBLE,0.0,1077.1372598988482
32,10,1,complete,capacity_cbba,557.6148999971338,38,5952,2388736,74648.0,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,2.5762595783357156,960.5558232891332
32,10,1,complete,weighted_grape,1784.3442999874242,865,119846,5050396,157824.875,CONVERGED,FEASIBLE,0.0,668.9510613069083
32,10,1,complete,weighted_pair_grape,47449.719699972775,1057,148862,6269068,195908.375,CONVERGED,FEASIBLE,0.0,614.7490632957032
32,10,1,medium,capacity_cbba,220.03059997223318,43,2860,693732,21679.125,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,3.8821018248437653,943.5556736711395
32,10,1,medium,weighted_grape,1140.704600024037,865,45076,1898564,59330.125,CONVERGED,FEASIBLE,0.0,668.9510613069083
