n_robots,scenario,replicate,regime,critical_radius_m,multiplier,n_edges,mean_degree,min_degree,diameter,components,lambda_2,connected
16,clustered,2,complete,37.487145293583005,,120,15.0,15,1,1,15.999999999999972,True
16,clustered,2,dense,37.487145293583005,2.0,102,12.75,8,2,1,7.562717925359122,True
16,clustered,2,medium,37.487145293583005,1.5,77,9.625,5,3,1,3.9263690675676335,True
16,clustered,2,threshold,37.487145293583005,1.05,36,4.5,1,7,1,0.23930169952050376,True
16,clustered,2,partitioned,37.487145293583005,0.95,34,4.25,0,-1,3,-4.60245964677248e-16,False
16,separated,0,complete,32.32147558402421,,120,15.0,15,1,1,15.999999999999972,True
16,separated,0,dense,32.32147558402421,2.0,115,14.375,10,2,1,10.000000000000002,True
16,separated,0,medium,32.32147558402421,1.5,95,11.875,6,2,1,5.238076769462876,True
16,separated,0,threshold,32.32147558402421,1.05,64,8.0,1,4,1,0.9191326849575414,True
16,separated,0,partitioned,32.32147558402421,0.95,58,7.25,0,-1,2,3.2193941281472668e-15,False
16,separated,1,complete,25.950606172584834,,120,15.0,15,1,1,15.999999999999972,True
16,separated,1,dense,25.950606172584834,2.0,89,11.125,4,2,1,3.2937756570922954,True
16,separated,1,medium,25.950606172584834,1.5,75,9.375,3,3,1,0.6787124793582987,True
16,separated,1,threshold,25.950606172584834,1.05,59,7.375,3,4,1,0.24623449671088896,True
16,separated,1,partitioned,25.950606172584834,0.95,52,6.5,2,-1,2,6.32114292842897e-16,False
16,separated,2,complete,23.11824335173622,,120,15.0,15,1,1,15.999999999999972,True
16,separated,2,dense,23.11824335173622,2.0,93,11.625,6,2,1,5.083377796828969,True
16,separated,2,medium,23.11824335173622,1.5,64,8.0,2,3,1,1.4868893417819988,True
16,separated,2,threshold,23.11824335173622,1.05,42,5.25,1,5,1,0.18395396817401133,True
16,separated,2,partitioned,23.11824335173622,0.95,40,5.0,0,-1,2,1.911610842869316e-16,False
16,ring,0,complete,37.462935944249026,,120,15.0,15,1,1,15.999999999999972,True
16,ring,0,dense,37.462935944249026,2.0,83,10.375,8,2,1,5.3586613794677715,True
16,ring,0,medium,37.462935944249026,1.5,54,6.75,4,3,1,1.488635917506015,True
16,ring,0,threshold,37.462935944249026,1.05,36,4.5,1,7,1,0.22027258109705966,True
16,ring,0,partitioned,37.462935944249026,0.95,30,3.75,0,-1,2,1.1695796826050676e-15,False
16,ring,1,complete,36.924730502920276,,120,15.0,15,1,1,15.999999999999972,True
16,ring,1,dense,36.924730502920276,2.0,81,10.125,8,2,1,4.389286990697007,True
16,ring,1,medium,36.924730502920276,1.5,54,6.75,6,3,1,1.151219332764155,True
16,ring,1,threshold,36.924730502920276,1.05,31,3.875,2,5,1,0.19575970573737325,True
16,ring,1,partitioned,36.924730502920276,0.95,28,3.5,1,-1,3,-7.622525605326966e-16,False
16,ring,2,complete,30.187923203921745,,120,15.0,15,1,1,15.999999999999972,True
16,ring,2,dense,30.187923203921745,2.0,72,9.0,4,3,1,2.3494794009889617,True
16,ring,2,medium,30.187923203921745,1.5,53,6.625,2,5,1,0.6282423331106599,True
16,ring,2,threshold,30.187923203921745,1.05,35,4.375,1,7,1,0.1490629047495231,True
16,ring,2,partitioned,30.187923203921745,0.95,33,4.125,1,-1,2,-8.881769343938502e-16,False
16,corridor,0,complete,17.786536364992887,,120,15.0,15,1,1,15.999999999999972,True
16,corridor,0,dense,17.786536364992887,2.0,67,8.375,4,3,1,0.7671571669278036,True
16,corridor,0,medium,17.786536364992887,1.5,57,7.125,3,5,1,0.17916936557483062,True
16,corridor,0,threshold,17.786536364992887,1.05,49,6.125,2,6,1,0.12274472153787234,True
16,corridor,0,partitioned,17.786536364992887,0.95,46,5.75,0,-1,3,1.897218273215257e-15,False
16,corridor,1,complete,26.30752509862702,,120,15.0,15,1,1,15.999999999999972,True
16,corridor,1,dense,26.30752509862702,2.0,93,11.625,8,2,1,5.423751623715446,True
16,corridor,1,medium,26.30752509862702,1.5,73,9.125,6,3,1,2.5144857216418277,True
16,corridor,1,threshold,26.30752509862702,1.05,50,6.25,5,4,1,0.3429051369360091,True
16,corridor,1,partitioned,26.30752509862702,0.95,42,5.25,3,-1,2,-6.66130556304895e-16,False
16,corridor,2,complete,17.868297192853984,,120,15.0,15,1,1,15.999999999999972,True
16,corridor,2,dense,17.868297192853984,2.0,57,7.125,3,4,1,1.2493480176033143,True
16,corridor,2,medium,17.868297192853984,1.5,43,5.375,3,5,1,0.46290047053068917,True
16,corridor,2,threshold,17.868297192853984,1.05,30,3.75,2,9,1,0.09717371515664532,True
16,corridor,2,partitioned,17.868297192853984,0.95,26,3.25,1,-1,3,-5.107477660017929e-16,False
24,uniform,0,complete,37.94558988631635,,276,23.0,23,1,1,23.99999999999998,True
24,uniform,0,dense,37.94558988631635,2.0,229,19.083333333333332,13,2,1,12.283632388820743,True
24,uniform,0,medium,37.94558988631635,1.5,181,15.083333333333334,8,2,1,6.9288349288463555,True
24,uniform,0,threshold,37.94558988631635,1.05,91,7.583333333333333,1,4,1,0.7894573777992977,True
24,uniform,0,partitioned,37.94558988631635,0.95,75,6.25,0,-1,2,-3.9433718595980044e-16,False
24,uniform,1,complete,23.138238094133097,,276,23.0,23,1,1,23.99999999999998,True
24,uniform,1,dense,23.138238094133097,2.0,117,9.75,3,4,1,2.1224751610641466,True
24,uniform,1,medium,23.138238094133097,1.5,69,5.75,3,5,1,0.5375507731853408,True
24,uniform,1,threshold,23.138238094133097,1.05,41,3.4166666666666665,2,8,1,0.09060303258976746,True
24,uniform,1,partitioned,23.138238094133097,0.95,32,2.6666666666666665,1,-1,2,5.551337917722848e-16,False
24,uniform,2,complete,33.6332172591662,,276,23.0,23,1,1,23.99999999999998,True
24,uniform,2,dense,33.6332172591662,2.0,200,16.666666666666668,12,2,1,8.134546542872451,True
24,uniform,2,medium,33.6332172591662,1.5,138,11.5,5,3,1,3.2881450648984725,True
24,uniform,2,threshold,33.6332172591662,1.05,76,6.333333333333333,1,5,1,0.7157249451388422,True
24,uniform,2,partitioned,33.6332172591662,0.95,62,5.166666666666667,0,-1,2,1.7893032898894947e-15,False
24,clustered,0,complete,35.22678701723342,,276,23.0,23,1,1,23.99999999999998,True
24,clustered,0,dense,35.22678701723342,2.0,210,17.5,11,2,1,9.087565021015934,True
24,clustered,0,medium,35.22678701723342,1.5,145,12.083333333333334,5,3,1,3.3433243527203986,True
24,clustered,0,threshold,35.22678701723342,1.05,92,7.666666666666667,2,4,1,0.34908266184509973,True
24,clustered,0,partitioned,35.22678701723342,0.95,80,6.666666666666667,1,-1,2,-8.253755482363338e-16,False
24,clustered,1,complete,30.959989072918127,,276,23.0,23,1,1,23.99999999999998,True
24,clustered,1,dense,30.959989072918127,2.0,145,12.083333333333334,7,3,1,4.02672865269084,True
24,clustered,1,medium,30.959989072918127,1.5,97,8.083333333333334,4,3,1,1.2312160589162933,True
24,clustered,1,threshold,30.959989072918127,1.05,50,4.166666666666667,1,8,1,0.19494738629699068,True
