cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
,,,,,,smith,,atomic,,0.0,221.95262789999836,3.704030004940321,12.001677715805236,0,239.41999999985475,-0.1281664807847302,-0.064299796096388,1398402,2,164.48216171767052,0,9,2,10555,True,239.43999999985476,1.78024860353681,0.0816149356851561
,,,,,,smith,,atomic,,0.0,151.2886145999655,3.4935158626846645,8.375840898523292,0,163.23999999992404,-0.152449814181919,0.0734811903745624,908584,2,155.53903812382,0,6,14,9819,True,163.25999999992402,1.5883524781678446,0.0089035227223508
,,,,,,smith,,gne_pd,,0.0,221.5327263000072,2.9436188091067628,12.373783526047028,0,251.73999999984355,-0.1534532430402133,-0.0319091934024751,1557110,2,164.73394516928846,0,3,6,15612,True,251.75999999984356,2.493713443659164,0.0405966445708707
,,,,,,smith,,gne_pd,,0.0,225.25268450001025,3.5326054621959475,12.70129283845248,0,253.8799999998416,-0.0276324862775941,0.7236905414343546,1450281,2,162.4082928264706,0,1,18,23768,True,253.8999999998416,2.4545442158299955,0.1310022496712237
,,,,,,smith,,atomic,,0.0,277.30551629996626,4.040822414193218,15.96849638352311,0,120.5999999999628,-0.1920354257383266,0.5929159532741544,1474359,1,164.99191714740508,0,6,3,18662,False,300.01999999979967,2.4173260810209243,0.0108062302672902
,,,,,,smith,,atomic,,0.0,149.45319839997683,4.368940603707434,9.179756685246735,0,153.07999999993328,-0.110557876386841,-0.0381660164804507,954829,2,164.04594460792066,0,6,15,19992,True,153.09999999993326,2.209137750845,0.0413286243507151
,,,,,,smith,,gne_pd,,0.0,146.26888490002602,3.19310820847217,8.17942240281875,0,146.29999999993944,-0.4376417656771957,-0.0533102859055265,947454,2,164.1693678202221,0,3,7,11118,True,146.31999999993943,1.8038236837308044,0.0
,,,,,,smith,,gne_pd,,0.0,184.28201510000508,2.486182743223544,10.88716530973547,0,202.5199999998883,-0.0244688726224578,0.1066287762201536,1081777,2,164.03314879530987,0,0,19,22651,True,202.5399999998883,2.8839185577435598,0.1649511874068344
,,,,,,smith,,atomic,,0.0,138.146946199995,3.5286824415513705,8.480619989087442,0,142.29999999994308,-0.1410901587020249,0.3259248519099449,950931,2,164.39158327703177,0,6,4,15659,True,142.31999999994306,2.3291695277820565,0.0995541174730885
,,,,,,smith,,atomic,,0.0,302.7957253999775,2.4617768671665634,15.22185390097233,0,82.31999999999762,-0.2395623544636259,3.767744917278685,1304222,1,164.27208058168665,0,18,16,100157,False,300.01999999979967,1.2431891359063283,0.1481812939743131
,,,,,,smith,,gne_pd,,0.0,143.4538315999671,3.430046836452481,7.96464431130392,0,147.03999999993877,-0.0644259473584916,0.2424047133135136,920531,2,164.82799323822968,0,3,8,9165,True,147.05999999993875,1.8653211170762152,0.0875360730624059
,,,,,,smith,,atomic,,0.0,153.83412580000004,3.8974915922266806,10.61258561006832,0,158.9999999999279,-0.1551128955201068,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,2.0231771483802423,0.0779466218028623
,,,,,,smith,,atomic,,0.0,197.71917569998183,3.092761259522116,11.315638982522714,0,215.1799999998768,-0.1033010072258344,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.1999999998768,2.6472522164877894,0.0803321533235701
,,,,,,smith,,gne_pd,,0.0,159.7854211999802,4.294503851114085,10.232163331762203,0,160.05999999992693,-0.0846694226525242,0.8144051821096081,1076036,2,162.6988266292967,0,1,9,19247,True,160.0799999999269,2.6510386691008145,0.0490403435874551
,,,,,,smith,,atomic,,0.0,180.1773306999821,3.7244972652622943,9.841079635487908,0,174.77999999991354,-0.223763779084728,-0.0575998283080716,1227476,2,164.73394516928846,0,6,6,16050,True,174.79999999991352,2.336435860159305,0.0952715538545181
,,,,,,smith,,atomic,,0.0,270.31964820000576,3.957926410025793,13.587844764693315,0,124.75999999995902,-0.1184156444603084,3.847861270308956,1065474,1,162.4082928264706,0,10,18,15445,False,300.01999999979967,2.1022864808976567,0.1424641285491874
,,,,,,smith,,gne_pd,,0.0,156.88482300000032,2.925371225257652,8.344188869213987,0,169.13999999991867,-0.2487649971372414,0.6785723595489546,922207,2,164.78577062159414,0,5,10,11362,True,169.15999999991865,1.7355598045088096,0.1269357709659605
,,,,,,smith,,atomic,,0.0,178.04654619999928,4.322122732166215,10.505442942701976,0,176.53999999991194,-0.0658287593101394,0.4067573880275201,1117093,2,164.1693678202221,0,6,7,10554,True,176.55999999991192,2.1954514599151613,0.0220696474602863
,,,,,,smith,,atomic,,0.0,165.67536410002504,3.324432433733766,10.21920715909646,0,172.43999999991567,-0.0184978708914866,1.2884551273982223,932118,2,164.03314879530987,0,6,19,20997,True,172.45999999991565,2.617808740857497,0.093589108982405
,,,,,,smith,,gne_pd,,0.0,163.6011281000101,2.992071188806369,9.311691311927328,0,172.89999999991525,-0.1241173320539772,-0.0511012763806686,937843,2,162.62033852338874,0,3,11,15586,True,172.91999999991523,2.030182595420994,0.0405690641194143
,,,,,,smith,,atomic,,0.0,311.1278474999708,3.203074719618768,14.056770891225757,0,132.89999999995163,-0.1608189658769078,1.902237308085601,1658246,1,164.82799323822968,0,18,8,23372,False,300.01999999979967,2.8151695886504524,0.3661925968718784
,,,,,,smith,,gne_pd,,0.0,251.8461215000134,3.445577709604396,14.431267681189173,0,271.7799999998253,-0.1180288154617066,-0.0347905316644503,1353123,2,159.08794149024982,0,2,0,21191,True,271.79999999982533,2.9190294334907976,0.0748687994881295
,,,,,,smith,,gne_pd,,0.0,272.9749800999998,4.370812883111159,18.314034973809648,0,279.7199999998181,-0.067014865551439,-0.1033241851931805,1545693,2,162.84306823519117,0,3,12,25451,True,279.7399999998181,3.2536739268433226,0.0
,,,,,,smith,,atomic,,0.36,285.9245175999822,4.329697639053136,18.19094609499221,0,162.97999999992427,-0.0731303670027296,-0.1093139182155766,1896977,1,162.6988266292967,0,9,9,43816,False,300.01999999979967,4.507725699823375,0.0983297773146282
,,,,,,smith,,gne_pd,,0.0,292.8208114000154,4.237112991619249,15.20456747635111,0,156.0399999999306,-0.1429796407211646,4.134048562239463,1636491,1,164.30284052668833,0,14,1,22595,False,300.01999999979967,1.8445242346582176,0.1493673101059429
,,,,,,smith,,gne_pd,,0.0,206.8751764000044,3.956340784027344,12.53277673289714,0,215.1799999998768,-0.1051594156769145,1.3533527026905947,1232882,2,161.40556095143774,0,1,13,20032,True,215.1999999998768,2.5457364860197376,0.0781289704459293
,,,,,,smith,,atomic,,0.0,118.66566739999688,2.8704487528852414,6.523786304281724,0,122.33999999996122,-0.0718929449078749,0.3373090564532957,747911,2,164.78577062159414,0,6,10,10529,True,122.3599999999612,1.554552430580185,0.0
,,,,,,smith,,gne_pd,,0.0,173.51594730000943,4.144381523515544,11.658836305712988,0,184.57999999990463,-0.0854059837046401,0.589952561252133,1099399,2,164.48216171767052,0,2,2,20525,True,184.5999999999046,2.650224615296456,0.0
,,,,,,smith,,gne_pd,,0.0,203.3659576000064,4.022812827165674,12.854022490968877,0,219.7999999998726,-0.0514029097112187,-0.1454488669717175,1273038,2,155.53903812382,0,3,14,25203,True,219.81999999987255,2.74436762557328,0.1255902140249619
,,,,,,smith,,atomic,,0.0,283.7529586000019,3.743033534922714,17.854256519280646,0,182.0399999999069,-0.0863949032146678,-0.0199011434874094,1690799,1,162.62033852338874,0,9,11,33807,False,300.01999999979967,3.634893591873095,0.1526595817040953
,,,,,,smith,,gne_pd,,0.0,156.14075860002777,2.6380367823190056,8.866371557343353,0,165.73999999992176,0.0226347930567513,0.025012488073786,1026031,2,164.99191714740508,0,3,3,13717,True,165.75999999992175,2.206609256361905,0.0458895000104231
,,,,,,smith,,gne_pd,,0.0,165.92439430003287,4.220145898330273,10.318338263723554,0,169.13999999991867,-0.0787589246111242,-0.0623939936078272,1051636,2,164.04594460792066,0,0,15,19712,True,169.15999999991865,2.628276333381982,0.0
,,,,,,smith,,atomic,,0.0,147.5745781000005,3.006936797512,8.397650229007668,0,159.57999999992737,-0.3481327396089397,0.5668977823741637,846713,2,159.08794149024982,0,6,0,12284,True,159.59999999992735,1.807603914340065,0.1128275045164173
,,,,,,smith,,atomic,,0.0,231.56979729997693,4.305635235081567,16.322680357023664,0,239.7399999998545,-0.0504747961048845,-0.0201651433883576,1296212,2,162.84306823519117,0,6,12,37530,True,239.75999999985444,2.988812118544452,0.0755375493750066
,,,,,,smith,,gne_pd,,0.0,157.54299990000436,3.5487157417663155,9.570526230298803,0,176.09999999991234,-0.0638713946989895,0.9440139193378024,1010651,2,164.39158327703177,0,2,4,15772,True,176.11999999991232,2.384742741367329,0.0817578587476752
,,,,,,smith,,gne_pd,,0.0,160.28075599996373,3.117528688989436,9.070109371045575,0,171.57999999991645,-0.3056806324234173,0.5127914648272647,1037660,2,164.27208058168665,0,3,16,18475,True,171.59999999991643,2.1593005410850274,0.0641886323253899
,,,,,,smith,,atomic,,0.0,244.85913240001537,3.8924473597805846,14.073305329073056,0,262.65999999983364,-0.0719506462805422,-0.0588575979717118,1485093,2,164.30284052668833,0,9,1,22923,True,262.6799999998336,3.1644580043681403,0.1136680274132813
,,,,,,smith,,atomic,,0.0,212.3688691999996,4.19814254297122,12.820325169129902,0,232.07999999986143,-0.111510952451903,2.2947870940356374,1215864,2,161.40556095143774,0,9,13,19728,True,232.0999999998614,1.9483282629992225,0.093481661539474
,,,,,,smith,,gne_pd,,0.0,273.70732299995143,4.639003998745581,15.295505617135335,0,128.45999999995567,-0.0852221845614067,0.4163645801250055,2048153,1,162.53916119675563,0,1,5,35338,False,300.01999999979967,1.8203646794820765,0.1496196515046141
,,,,,,smith,,gne_pd,,0.0,165.01948590000393,3.3859351262998327,8.53478807194957,0,183.9799999999052,-0.1520065528920863,-0.0661541431102366,789963,2,164.95158979780044,0,6,17,8713,True,183.9999999999052,1.4013435209605358,0.013940820300199
