cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
,,,,vector,,smith,,,,0.0,236.41147709998768,3.7244972652622943,9.841079635487908,0,174.77999999991354,-0.223763779084728,-0.0575998283080716,1227476,2,164.73394516928846,0,6,6,16050,True,174.79999999991352,2.336435860159305,0.0952715538545181
,,,,vector,,smith,,,,0.0,445.7199352000025,3.957926410025793,13.587844764693315,0,124.75999999995902,-0.1184156444603084,3.847861270308956,1065474,1,162.4082928264706,0,10,18,15445,False,300.01999999979967,2.1022864808976567,0.1424641285491874
,,,,scalar,,smith,,,,0.0,214.33571980003035,3.006936797512,8.397650229007668,0,159.57999999992737,-0.3481327396089397,0.5668977823741637,846713,2,131.08794149024982,0,6,0,12284,True,159.59999999992735,1.807603914340065,0.1128275045164173
,,,,scalar,,smith,,,,0.0,347.7963468999951,4.305635235081567,16.322680357023664,0,239.7399999998545,-0.0504747961048845,-0.0201651433883576,1296212,2,134.84306823519117,0,6,12,37530,True,239.75999999985444,2.988812118544452,0.0755375493750066
,,,,scalar,,smith,,,,0.0,229.8830031999969,2.9322825816071845,9.56873208443754,0,182.6799999999064,-0.0869814720026855,-0.0826035667925406,1083551,2,136.5402290768433,0,6,24,17467,True,182.69999999990637,2.1978328809641487,0.0698420619761046
,,,,vector,,smith,,,,0.0,237.71522110002115,4.322122732166215,10.505442942701976,0,176.53999999991194,-0.0658287593101394,0.4067573880275201,1117093,2,164.1693678202221,0,6,7,10554,True,176.55999999991192,2.1954514599151613,0.0220696474602863
,,,,vector,,smith,,,,0.0,211.02390560001368,3.324432433733766,10.21920715909646,0,172.43999999991567,-0.0184978708914866,1.2884551273982223,932118,2,164.03314879530987,0,6,19,20997,True,172.45999999991565,2.617808740857497,0.093589108982405
,,,,scalar,,smith,,,,0.0,354.6537978000124,3.8924473597805846,14.073305329073056,0,262.65999999983364,-0.0719506462805422,-0.0588575979717118,1485093,2,136.30284052668833,0,9,1,22923,True,262.6799999998336,3.1644580043681403,0.1136680274132813
,,,,scalar,,smith,,,,0.0,330.52148809999926,4.19814254297122,12.820325169129902,0,232.07999999986143,-0.111510952451903,2.2947870940356374,1215864,2,133.40556095143774,0,9,13,19728,True,232.0999999998614,1.9483282629992225,0.093481661539474
,,,,scalar,,smith,,,,0.0,250.91222030000063,3.828251793417603,10.820954296122018,0,172.1799999999159,-0.2981747592304269,-0.0874683681847177,861553,2,135.11594441134687,0,6,25,28364,True,172.1999999999159,2.426264685391731,0.118979139876112
