grid,cell,ref,endpoint,n,effect,ci_low,ci_high,disc_b,disc_c,p_raw,p_holm,family
aptitud,"('scalar',)","('vector',)",success,30,0.0,0.0,0.0,0.0,0.0,1.0,1.0,F3_mecanismo
aptitud,"('scalar',)","('vector',)",makespan,30,0.0,0.0,0.0,,,,,
aptitud,"('scalar',)","('vector',)",energy_Wh,30,0.0,0.0,0.0,,,,,
aptitud,"('scalar',)","('vector',)",msgs,30,0.0,0.0,0.0,,,,,
aptitud,"('scalar',)","('vector',)",min_sep_amr,30,0.0,0.0,0.0,,,,,
aptitud,"('scalar',)","('vector',)",revisions,30,0.0,0.0,0.0,,,,,
aptitud,"('scalar',)","('vector',)",wall_pen_max,30,0.0,0.0,0.0,,,,,
pasillo,"('price',)","('lease',)",success,20,0.2,0.05,0.4,4.0,0.0,0.125,0.5,F3_mecanismo
pasillo,"('price',)","('lease',)",makespan,20,-12.432999999988686,-33.45107499996957,8.876999999991934,,,,,
pasillo,"('price',)","('lease',)",energy_Wh,20,-2.192052216470086,-3.602942940787695,-0.7831262536203478,,,,,
pasillo,"('price',)","('lease',)",msgs,20,-212213.0,-339025.09124999994,-90089.56500000002,,,,,
pasillo,"('price',)","('lease',)",min_sep_amr,20,0.0017689338193271858,-0.040183199338313984,0.044275525598188016,,,,,
pasillo,"('price',)","('lease',)",revisions,20,-0.2,-0.8,0.3,,,,,
pasillo,"('price',)","('lease',)",wall_pen_max,20,-0.020723358405648717,-0.059514068784422364,0.015327327120600528,,,,,
planificador,"('waypoint',)","('game',)",success,30,-0.13333333333333333,-0.36666666666666664,0.1,5.0,9.0,0.4239501953125,0.8671875,F3_mecanismo
planificador,"('waypoint',)","('game',)",makespan,30,-1.5633333333319086,-33.01739999996998,30.68278333330544,,,,,
planificador,"('waypoint',)","('game',)",energy_Wh,30,-0.030588700309864693,-2.1055793392213413,2.1897663005792865,,,,,
planificador,"('waypoint',)","('game',)",msgs,30,-154081.9,-304135.2033333333,861.5633333333246,,,,,
planificador,"('waypoint',)","('game',)",min_sep_amr,30,-0.016525576165575092,-0.062308541399171684,0.02909708531054427,,,,,
planificador,"('waypoint',)","('game',)",revisions,30,4.6,1.2666666666666666,8.2,,,,,
planificador,"('waypoint',)","('game',)",wall_pen_max,30,0.019849725240760414,-0.02081969433794177,0.056919207049382366,,,,,
protocolos,"('best_response',)","('smith',)",success,30,-0.06666666666666667,-0.23333333333333334,0.13333333333333333,3.0,5.0,0.7265625,1.0,F1_protocolo
protocolos,"('best_response',)","('smith',)",makespan,30,4.049999999996317,-18.039383333316923,27.41009999997507,,,,,
