order,path,bytes,sha256
1,"main.tex",2159,"9002541523705a2167b0da4198c4d5d128e96faea4a98fa6d25bfee8b8166a98"
2,"config/metadata.tex",1268,"d33488cf42a3b100c3ebd04e9ef9910ced72e71891e53bacc00fe092eea5bdec"
3,"config/math-commands.tex",533,"0695a7595a0ed0769e396d8e456c225bdca24b94294867545f5cf4d3636357b4"
4,"shared/generated-macros/aws-industrial2-results.tex",2202,"5baed3816e736b963f272b172671cb1f3e559fabda0f0bcaedaa35a7467b252b"
5,"sections/source-snapshot/frontmatter/00-cover.tex",288,"e99bf1d9044bd6948acf5106cb02126f53415c1c452643413f17831bb2923f4e"
6,"sections/source-snapshot/frontmatter/01-summary.tex",2026,"d90e5c8cf0ffbdd4b486307071bcce9e139a7c327a7e3b860860301e4f18affe"
7,"sections/source-snapshot/frontmatter/02-abstract.tex",1978,"f5e0f6393d8c1749c076c1a8c97b788135ffbd989f1a94d0b14b462cd98b0d0a"
8,"sections/source-snapshot/frontmatter/03-contents.tex",118,"f8ffe1294af51a9497c0fef712b5a67ba196e63ceab235446729ce788dbc3037"
9,"sections/source-snapshot/frontmatter/04-nomenclature.tex",5762,"f98e7fffdfb25f7118a0dae47984a09952a15f947344a2970af08f9c0e9310f9"
10,"sections/source-snapshot/mainmatter/01-introduction.tex",4986,"dbe475cf5c90e78db900d75c1dc50f5c20d617fb24920019229fa8dac1d463e1"
11,"figures/protected/01-distributed-coalition-scenario.tex",7759,"fa255f09110d42dc6537b9f37992a029b8c3fadba8197b4292683b98ed82d767"
12,"sections/source-snapshot/mainmatter/02-objectives.tex",2566,"4cd223f90cfa4c3bfb21b87f327633711c5613fa95ac4cc1e3cc55b9e50af44f"
13,"sections/source-snapshot/mainmatter/03-hypotheses.tex",4952,"84193584203054fab950c72ac73e79b663e12a6e2b20b9137058a8c02e215ea5"
14,"sections/source-snapshot/mainmatter/04-methodology.tex",24206,"6d16b48a1e185688c796edaaed2721288109403593ac4efb4ffb85f34f0024b4"
15,"figures/protected/02-unicycle-geometry.tex",2111,"e94b211b5ddb1c84ec662aec3ab1eb4f9f7f7ea3f5cac3ea998556dbfc78616e"
16,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",50535,"b88509f2fa9819a93321ef922d4f63bb6a65eed95685d6a169ee73798dfb2272"
17,"shared/generated-macros/literature-coverage.tex",782,"a2ed3170808df6e2b0723a08284a69ae765599ff4631bb9ef1e0b71b840edf96"
18,"sections/thesis-results.tex",7039,"43de03b1a6ce4730833143a5c531a2243f02ba6e3405b7bc79fd47a3f389e2d4"
