campaign_id,world_id,world_seed,world_digest,scenario,capacity_cv,pressure,replicate,strategic_order,revision_rule,fitness,cell,method,beta_lll,algorithm_status,terminal_phase,capacity_deficit,distance_cost,excess_capacity,assigned_robots,unserved_loads,feasible,rounds,messages,bytes,commits,bytes_per_agent,runtime_ms,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,BR,F0,BR-F0,geo_qpg_u,4.0,LOCAL_MINIMUM,G,0.0,618.6134577553712,11.999999999999996,16,0,True,32,284,9528,16,595.5,6.3927999581210315,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,BR,F1,BR-F1,geo_qpg_u,4.0,LOCAL_MINIMUM,G,0.0,793.6596659431639,11.999999999999996,16,0,True,32,276,9192,16,574.5,6.850600009784102,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,BR,F2,BR-F2,geo_qpg_u,4.0,LOCAL_MINIMUM,G,0.0,707.8488702848331,11.999999999999996,16,0,True,32,274,9108,16,569.25,5.495599994901568,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,ASR,F0,ASR-F0,geo_qpg_smith,4.0,LOCAL_MINIMUM,G,0.0,779.8235961187575,11.999999999999996,16,0,True,32,282,9444,16,590.25,6.586399977095425,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,ASR,F1,ASR-F1,geo_qpg_smith,4.0,LOCAL_MINIMUM,G,0.0,815.1345365127022,11.999999999999996,16,0,True,32,284,9528,16,595.5,6.20800000615418,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,ASR,F2,ASR-F2,geo_qpg_smith,4.0,LOCAL_MINIMUM,G,0.0,815.1345365127022,11.999999999999996,16,0,True,32,284,9528,16,595.5,5.90430002193898,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,LLL,F0,LLL-F0,geo_qpg_lll,4.0,LOCAL_MINIMUM,G,0.0,651.9053742234677,11.999999999999996,16,0,True,159,2776,94812,109,5925.75,32.277399965096265,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,LLL,F1,LLL-F1,geo_qpg_lll,4.0,LOCAL_MINIMUM,G,0.0,740.8701471785755,11.999999999999996,16,0,True,152,3114,106608,107,6663.0,30.83230002084747,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,1,LLL,F2,LLL-F2,geo_qpg_lll,4.0,LOCAL_MINIMUM,G,0.0,740.8701471785755,11.999999999999996,16,0,True,152,3114,106608,107,6663.0,28.06899999268353,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,2,2BR,F0,2BR-F0,geo_qpg_p,4.0,LOCAL_MINIMUM,G,0.0,551.5406172791265,11.999999999999996,16,0,True,295,1092,52512,25,3282.0,95.18979996209964,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,2,2BR,F1,2BR-F1,geo_qpg_p,4.0,LOCAL_MINIMUM,G,0.0,551.5406172791265,11.999999999999996,16,0,True,301,2044,87420,52,5463.75,100.68909998517483,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r01,209126760807778,05f48707f2d165185d9d5ecc4904efd80370184f1d72280b0abff42dc35f683a,uniform,0.0,0.85,1,2,2BR,F2,2BR-F2,geo_qpg_p,4.0,LOCAL_MINIMUM,G,0.0,551.5406172791265,11.999999999999996,16,0,True,295,1648,72784,41,4549.0,108.38599997805431,OPTIMAL,551.5406172791265,551.5406172791265,0.0,0.002133100002538413,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,BR,F0,BR-F0,geo_qpg_u,4.0,LOCAL_MINIMUM,G,0.0,655.3325319566582,12.000000000000007,16,0,True,32,276,9192,16,574.5,6.313499994575977,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,BR,F1,BR-F1,geo_qpg_u,4.0,LOCAL_MINIMUM,G,0.0,811.2443339048781,12.000000000000007,16,0,True,32,274,9108,16,569.25,6.6019999794662,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,BR,F2,BR-F2,geo_qpg_u,4.0,LOCAL_MINIMUM,G,0.0,784.4959214017853,12.000000000000007,16,0,True,32,274,9108,16,569.25,6.582600006368011,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,ASR,F0,ASR-F0,geo_qpg_smith,4.0,LOCAL_MINIMUM,G,0.0,758.4585393895702,12.000000000000007,16,0,True,32,276,9192,16,574.5,7.052800036035478,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,ASR,F1,ASR-F1,geo_qpg_smith,4.0,LOCAL_MINIMUM,G,0.0,773.2716837101362,12.000000000000007,16,0,True,32,276,9192,16,574.5,6.85550004709512,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,ASR,F2,ASR-F2,geo_qpg_smith,4.0,LOCAL_MINIMUM,G,0.0,773.2716837101362,12.000000000000007,16,0,True,32,276,9192,16,574.5,6.933700002264231,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,LLL,F0,LLL-F0,geo_qpg_lll,4.0,LOCAL_MINIMUM,G,0.0,746.8768943854674,12.000000000000007,16,0,True,159,2950,99504,119,6219.0,29.606199997942895,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,LLL,F1,LLL-F1,geo_qpg_lll,4.0,LOCAL_MINIMUM,G,0.0,812.2970984236057,12.000000000000007,16,0,True,160,2904,98184,104,6136.5,32.2168999700807,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,1,LLL,F2,LLL-F2,geo_qpg_lll,4.0,LOCAL_MINIMUM,G,0.0,812.2970984236057,12.000000000000007,16,0,True,160,2904,98184,104,6136.5,34.84769997885451,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,2,2BR,F0,2BR-F0,geo_qpg_p,4.0,LOCAL_MINIMUM,G,0.0,629.9991044460845,12.000000000000007,16,0,True,379,1312,64848,27,4053.0,131.5515000023879,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
SP1_N3B_REVISION_FITNESS_v2,n3b-uniform-cv0.00-p0.85-r02,205796400744306,5acc0e2f0d6a386f19b58d9abf4002536fc79189d64c6d4e3b85113ae3dc5d50,uniform,0.0,0.85,2,2,2BR,F1,2BR-F1,geo_qpg_p,4.0,LOCAL_MINIMUM,G,0.0,629.9991044460845,12.000000000000007,16,0,True,378,1550,73340,34,4583.75,130.0267000333406,OPTIMAL,629.9991044460845,629.9991044460846,0.0,0.0017816000035963953,True,True
