scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_tuning_type,method_tuning_seed_count,method_tuning_validation_seed_count,method_tuning_artifact,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,capacity_success_rate_mean,served_load_rate_mean,capacity_satisfaction_ratio_mean,demand_satisfaction_ratio_mean,coalition_success_rate_mean,under_capacity_kg_mean,over_capacity_kg_mean,capacity_waste_ratio_mean,mean_capacity_margin_kg_mean,nominal_payload_assigned_kg_mean,effective_capacity_assigned_kg_mean,incomplete_capacity_kg_mean,incomplete_capacity_ratio_mean,served_capacity_alignment_mean,robots_underassigned_mean,robots_overassigned_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,score_value_mean,oracle_score_value_mean,signed_score_delta_vs_oracle_mean,oracle_dominance_violation_mean,optimality_gap_vs_oracle_mean,capacity_oracle_satisfaction_ratio_mean,capacity_oracle_success_rate_mean,effective_feasibility_ratio_mean,capacity_gap_vs_capacity_oracle_mean,signed_capacity_delta_vs_capacity_oracle_mean,priority_regret_mean,communication_messages_mean,communication_coverage_ratio_mean,runtime_ms_mean,captured_reward_mean,oracle_reward_mean
heavy_capacity,smith_capacity_marginal,Smith-QR capacity marginal payoff,model_based,decentralized,proposed,smith_qr_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_marginal_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.06859375,0.06859375,0.381771299436218,0.381771299436218,0.06859375,344.0859892449868,3.721830936442879,0.016908179178174415,-76.67513497925246,444.55286489761,215.01219298021041,197.15910386632896,0.9170862826707946,0.07198619818295929,3.640625,1.125,54.92308736121346,19.784406531117046,333.4175017891861,218.5220198680184,272.4363212532254,-53.914301385206954,0.0,0.19948433801336718,0.3740869455949615,0.18703124999999998,0.3740869455949615,0.014623238877188393,0.007684353841256477,5.2089013025446,40.5,1.0,0.42146124578721356,0.7577456518238984,5.966646954368498
heavy_capacity,smith_capacity_plain,Smith-QR capacity plain payoff,model_based,decentralized,proposed,smith_qr_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_plain_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.0,0.0,0.34437802967083114,0.34437802967083114,0.0,365.24387185019185,0.0,0.0,-82.24964604430684,444.55286489761,190.13247943856248,190.13247943856248,1.0,0.0,3.778125,1.2625,80.4838802706969,24.996467836319095,489.25683330452574,117.35565027329065,272.4363212532254,-155.08067097993472,0.0,0.5513414602850004,0.3740869455949615,0.18703124999999998,0.3740869455949615,0.08734976042347203,-0.02970891592413033,5.966646954368498,40.5,1.0,0.41307750179839786,0.0,5.966646954368498
light_mixed,capacity_oracle_reference,Pure capacity oracle reference,model_based_oracle,centralized,reference,exact_capacity_coverage_replay,centralized_capacity_ceiling_reference,none,centralized_exact_capacity_ceiling_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.4458333333333333,0.4458333333333333,0.8160252621450507,0.8160252621450507,0.4458333333333333,36.36907382615276,5.803688322138936,0.03687375738236717,-9.059707005313303,323.3608944465971,148.79497763004096,79.80916620716029,0.5504189234839714,0.44018573598409294,0.3875,2.2625,50.636465841564565,21.18513745971726,304.31183461052854,319.08381801458575,325.06302802849115,-5.979210013905435,0.0,0.020654190959534163,0.8160252621450507,0.4458333333333333,0.8160252621450507,0.0,0.0,1.9311470336737049,24.5,1.0,9.864860936067998,3.5459366429390533,5.477083676612758
light_mixed,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_reference_replay,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.6716145833333333,0.6716145833333333,0.7951058275771054,0.7951058275771054,0.6716145833333333,40.30102263739319,8.825780936554498,0.057732137134635916,-9.32998683832518,323.3784227232239,147.88512143321609,37.16750904963836,0.2599323721898471,0.7288672718444957,0.56875,2.44375,52.02988700067508,21.887759843946338,311.7383979405364,325.06302802849115,325.06302802849115,0.0,0.0,0.0,0.8160252621450507,0.4458333333333333,0.8160252621450507,0.027725148952363922,-0.02091943456794541,0.0,24.5,1.0,31.325104061397724,5.477083676612758,5.477083676612758
light_mixed,replicator_capacity_marginal,Replicator capacity marginal payoff,model_based,decentralized,baseline,population_game_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_marginal_capacity_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.4114583333333333,0.4114583333333333,0.7640030036896123,0.7640030036896123,0.4114583333333333,44.8950785681281,13.846767376019292,0.09094570627833357,-9.156901972696584,326.46439082350463,148.31205194194598,78.25365293511443,0.5433642193047911,0.4161251761574345,0.31875,2.271875,53.2006839118488,22.51609107230924,319.16884269653735,297.34998187987543,325.06302802849115,-27.713046148615717,0.0,0.08597924542169184,0.8160252621450507,0.4458333333333333,0.8160252621450507,0.06369527750484483,-0.05202225845543852,2.3242642817154238,24.5,1.0,0.3261468773416709,3.208732282890195,5.477083676612758
light_mixed,replicator_capacity_plain,Replicator capacity plain payoff,model_based,decentralized,baseline,population_game_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_plain_capacity_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.24296875,0.24296875,0.7727848740556429,0.7727848740556429,0.24296875,43.98544283887078,6.929605437735255,0.04508498234244101,-10.989827302141142,326.2010305647007,142.30452573291925,102.19640934400063,0.7412552218140863,0.23798103794198971,0.11875,2.0625,59.595691692814874,24.137694316510732,358.48464550530906,279.74944426714467,325.06302802849115,-45.31358376134655,0.0,0.14819456168744494,0.8160252621450507,0.4458333333333333,0.8160252621450507,0.05475495362155238,-0.04324038808940794,3.577010487247448,24.5,1.0,0.3324568755488144,1.9236683912715002,5.477083676612758
light_mixed,smith_capacity_marginal,Smith-QR capacity marginal payoff,model_based,decentralized,proposed,smith_qr_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_marginal_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.3848958333333333,0.3848958333333333,0.7650432806295907,0.7650432806295907,0.3848958333333333,44.690486818411024,13.018347085991332,0.08572592121623321,-9.334888313307783,326.46439082350463,147.6882234016351,83.7001466166673,0.5834146648743272,0.37558002021859516,0.2625,2.215625,53.510836871813716,22.30253247921467,320.8518168798988,296.3002926088452,325.06302802849115,-28.762735419645946,0.0,0.08908965982629556,0.8160252621450507,0.4458333333333333,0.8160252621450507,0.062358505363758886,-0.05098198151546016,2.561146901246985,24.5,1.0,0.3216081251594005,2.9628390143546985,5.477083676612758
light_mixed,smith_capacity_plain,Smith-QR capacity plain payoff,model_based,decentralized,proposed,smith_qr_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_plain_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,320,0.22942708333333334,0.22942708333333334,0.7657623558226792,0.7657623558226792,0.22942708333333334,45.269476387888915,6.458529660390719,0.04218959303872013,-11.483089876105453,326.2010305647007,140.5494164065566,103.56916516420259,0.758699898654495,0.22095670774743287,0.109375,2.053125,61.70701711782186,24.46918777688566,370.8546391385601,276.4906815340009,325.06302802849115,-48.57234649449026,0.0,0.15885830341764948,0.8160252621450507,0.4458333333333333,0.8160252621450507,0.06333468709532415,-0.050262906322371605,3.6879328635372692,24.5,1.0,0.31169156573014334,1.802460675596008,5.477083676612758
monte_carlo,capacity_oracle_reference,Pure capacity oracle reference,model_based_oracle,centralized,reference,exact_capacity_coverage_replay,centralized_capacity_ceiling_reference,none,centralized_exact_capacity_ceiling_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,,0,0,,False,False,,supervised_or_static,40,0.2833333333333333,0.2833333333333333,0.6056872938343625,0.6056872938343625,0.2833333333333333,200.9189165619216,5.977874964107025,0.025006545256603722,-62.45486257386695,449.54568179523284,238.0669994475069,172.1215050611075,0.6999656431238135,0.2946925959773169,2.875,2.725,63.82018417832878,20.752184661103797,380.7675968193322,251.22768136447084,266.10883142407295,-14.881150059602064,0.0,0.06328757450365248,0.6056872938343625,0.2833333333333333,0.6056872938343625,0.0,0.0,3.5923418510828773,32.15,0.5598511904761905,9.114185001817532,3.018538543501239,6.610880394584117
monte_carlo,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_reference_replay,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,,0,0,,False,False,,supervised_or_static,40,0.5275000000000001,0.5275000000000001,0.5910419432174955,0.5910419432174955,0.5275000000000001,207.49932589967312,9.346306863011652,0.038639097308190484,-63.50343590443517,449.54568179523284,234.85502200866003,63.43487795127716,0.31733809237446814,0.6741910106449979,3.175,3.025,65.98326592407194,21.460610888751553,393.59650650073974,266.10883142407295,266.10883142407295,0.0,0.0,0.0,0.6056872938343625,0.2833333333333333,0.6056872938343625,0.02344862532706657,-0.014645350616867042,0.0,32.15,0.5413095238095238,42.316937501891516,6.610880394584117,6.610880394584117
monte_carlo,replicator_capacity_marginal,Replicator capacity marginal payoff,model_based,decentralized,baseline,population_game_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_marginal_capacity_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,40,0.22333333333333333,0.22333333333333333,0.5755092001048595,0.5755092001048595,0.22333333333333333,208.1854534965486,11.701369620061092,0.05795711241469563,-62.875614733083545,449.6862460919704,236.52395716883402,186.0357132645,0.7641465364676413,0.20920177881836613,2.025,1.875,66.68257709604856,23.276649982518204,401.64571065062114,229.23846094758983,266.10883142407295,-36.87037047648313,0.0,0.14833273760046242,0.6056872938343625,0.2833333333333333,0.6056872938343625,0.047926279827162854,-0.030178093729503003,4.306228278189673,13.325,0.5833928571428573,0.44939749932382256,2.3046521163944447,6.610880394584117
monte_carlo,replicator_capacity_plain,Replicator capacity plain payoff,model_based,decentralized,baseline,population_game_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_plain_capacity_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,40,0.14916666666666667,0.14916666666666667,0.5631032220978336,0.5631032220978336,0.14916666666666667,220.09593322317102,7.152740658373679,0.03284244121263079,-67.83123091970717,450.9721598888815,220.06484848052415,187.1571362800733,0.8536282503752226,0.13179644834670173,1.45,1.325,79.418051675532,24.160516091180956,474.8943300008883,200.10567720594764,266.10883142407295,-66.00315421812533,0.0,0.26757407635674335,0.6056872938343625,0.2833333333333333,0.6056872938343625,0.0736952332684994,-0.042584071736529054,5.077554619130734,13.325,0.49083333333333334,0.4597700055455789,1.533325775453383,6.610880394584117
monte_carlo,smith_capacity_marginal,Smith-QR capacity marginal payoff,model_based,decentralized,proposed,smith_qr_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_marginal_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,40,0.20249999999999999,0.20249999999999999,0.5781142505441008,0.5781142505441008,0.20249999999999999,207.64634772634594,11.143827192313523,0.05521792887117076,-62.790713741321795,449.6862460919704,236.50552051128906,194.06247246343273,0.7976768664896227,0.17446838469226053,1.9,1.75,65.91718085282696,22.75499094566774,397.1068433564011,228.15733900547403,266.10883142407295,-37.951492418598924,0.0,0.1537409173332882,0.6056872938343625,0.2833333333333333,0.6056872938343625,0.04357532558114411,-0.027573043290261806,4.5958044175990365,13.325,0.5827678571428572,0.42878249078057706,2.01507597698508,6.610880394584117
monte_carlo,smith_capacity_plain,Smith-QR capacity plain payoff,model_based,decentralized,proposed,smith_qr_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_plain_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,40,0.13583333333333333,0.13583333333333333,0.5620202185396843,0.5620202185396843,0.13583333333333333,220.6704260750151,6.457362160027611,0.02895951648194995,-68.1565472629719,450.9721598888815,218.79497713033396,188.18688591623732,0.86674104779775,0.1213241865885792,1.45,1.325,80.86106474731434,24.689616802366867,484.21621733493004,197.77485754413914,266.10883142407295,-68.33397387993381,0.0,0.2754270378865297,0.6056872938343625,0.2833333333333333,0.6056872938343625,0.07653616469964049,-0.043667075294678226,5.2370930497794985,13.325,0.4772916666666667,0.450624997029081,1.3737873448046178,6.610880394584117
