method_id,robot_id,load_id,load_index,distance_m
A_centralized_classic_mincost,amr-01,load-04,4,4.455550
A_centralized_classic_mincost,amr-02,load-02,2,3.039278
A_centralized_classic_mincost,amr-03,load-01,1,3.630552
A_centralized_classic_mincost,amr-04,load-04,4,2.591169
A_centralized_classic_mincost,amr-05,load-02,2,3.173166
A_centralized_classic_mincost,amr-06,load-03,3,1.084495
A_centralized_classic_mincost,amr-07,load-04,4,2.763110
A_centralized_classic_mincost,amr-08,load-04,4,1.044133
A_centralized_classic_mincost,amr-09,load-03,3,0.981428
A_centralized_classic_mincost,amr-10,load-03,3,0.848807
B_decentralized_classic_greedy,amr-01,load-04,4,4.455550
B_decentralized_classic_greedy,amr-02,load-02,2,3.039278
B_decentralized_classic_greedy,amr-03,load-01,1,3.630552
B_decentralized_classic_greedy,amr-04,load-04,4,2.591169
B_decentralized_classic_greedy,amr-05,load-02,2,3.173166
B_decentralized_classic_greedy,amr-06,load-03,3,1.084495
B_decentralized_classic_greedy,amr-07,load-04,4,2.763110
B_decentralized_classic_greedy,amr-08,load-04,4,1.044133
B_decentralized_classic_greedy,amr-09,load-03,3,0.981428
B_decentralized_classic_greedy,amr-10,load-03,3,0.848807
C_centralized_sota_reward_aware,amr-01,load-04,4,4.455550
C_centralized_sota_reward_aware,amr-02,load-02,2,3.039278
C_centralized_sota_reward_aware,amr-03,load-04,4,5.232479
C_centralized_sota_reward_aware,amr-04,load-04,4,2.591169
C_centralized_sota_reward_aware,amr-05,load-02,2,3.173166
C_centralized_sota_reward_aware,amr-06,load-03,3,1.084495
C_centralized_sota_reward_aware,amr-07,load-04,4,2.763110
C_centralized_sota_reward_aware,amr-08,load-04,4,1.044133
C_centralized_sota_reward_aware,amr-09,load-03,3,0.981428
C_centralized_sota_reward_aware,amr-10,load-03,3,0.848807
D_decentralized_sota_auction,amr-01,load-04,4,4.455550
D_decentralized_sota_auction,amr-02,load-04,4,4.291711
D_decentralized_sota_auction,amr-03,load-01,1,3.630552
D_decentralized_sota_auction,amr-04,load-04,4,2.591169
D_decentralized_sota_auction,amr-05,load-02,2,3.173166
D_decentralized_sota_auction,amr-06,load-03,3,1.084495
D_decentralized_sota_auction,amr-07,load-04,4,2.763110
D_decentralized_sota_auction,amr-08,load-04,4,1.044133
D_decentralized_sota_auction,amr-09,load-03,3,0.981428
D_decentralized_sota_auction,amr-10,load-03,3,0.848807
E_our_basic_smith_qr,amr-01,load-04,4,4.455550
E_our_basic_smith_qr,amr-02,load-04,4,4.291711
E_our_basic_smith_qr,amr-03,load-04,4,5.232479
E_our_basic_smith_qr,amr-04,load-04,4,2.591169
E_our_basic_smith_qr,amr-05,load-04,4,5.139738
E_our_basic_smith_qr,amr-06,load-03,3,1.084495
E_our_basic_smith_qr,amr-07,load-04,4,2.763110
E_our_basic_smith_qr,amr-08,load-04,4,1.044133
E_our_basic_smith_qr,amr-09,load-03,3,0.981428
E_our_basic_smith_qr,amr-10,load-03,3,0.848807
