scope,contrast_id,endpoint,independent_unit,estimand,test,interval,multiplicity,analysis_seed,n_independent,effect,ci95_low,ci95_high,p_holm,decision,artifact
A0--FULL,HC-NOM-A0-A1,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121725,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-NOM-A1-A2,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121726,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-NOM-A2-A3,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121727,100,0.07,0.02,0.1202500000000009,0.203125,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-NOM-A3-A4,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121728,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-NOM-A4-FULL,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121729,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-SCA-A0-A1,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121807,100,0.56,0.46,0.65,4.996003610813204e-16,positive_supported,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-SCA-A1-A2,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121808,100,0.44,0.34,0.54,1.9326762412674725e-12,positive_supported,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-SCA-A2-A3,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121809,100,-0.16,-0.24,-0.09,0.000457763671875,negative_supported,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-SCA-A3-A4,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121810,100,0.08,0.03,0.14,0.109375,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-SCA-A4-FULL,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,121811,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-TOR-A0-A1,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122396,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-TOR-A1-A2,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122397,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
