method,split,candidate_score,seed_count,distance_weight,deficit_weight,reward_weight,capacity_weight,completion_weight,exponent,capacity_satisfaction_ratio_mean,capacity_success_rate_mean,optimality_gap_vs_oracle_mean,capacity_gap_vs_capacity_oracle_mean,under_capacity_kg_mean,over_capacity_kg_mean,capacity_waste_ratio_mean,travel_distance_m_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean
replicator_capacity,train,1.4541458009785955,8,0.28,1.0,0.85,0.8,0.0,1.0,0.5225266860576488,0.13643162393162392,0.30231402466317914,0.027223696094992065,202.3755796989712,6.036137313663502,0.0329838414544275,55.53839664392415,336.4386665216185,29.169871794871796,0.5206817302864809
replicator_capacity,train,1.5698379416024637,8,0.18,1.2,1.2,1.2,0.0,1.0,0.5142234961563145,0.12291666666666665,0.36891447773032066,0.0414825251943571,207.63707796184497,4.6130589984217725,0.02453719661887396,62.350808762013344,377.3683980548415,29.169871794871796,0.5184121826180041
replicator_capacity,train,1.567147734885226,8,0.12,1.2,1.2,1.2,1.5,1.0,0.4969755678663961,0.18990384615384612,0.3828029334688564,0.06692347160641834,212.94435336354078,6.889345733444079,0.038177921117563955,66.2798918117231,401.13340181588006,29.169871794871796,0.5071499979702565
bnn_capacity,train,1.5071737992216345,8,0.22,1.15,0.95,0.8,0.0,2.0,0.5191359147810922,0.12745726495726495,0.3326389959019835,0.03201564274850875,204.5103047091818,5.401431253510885,0.02977388121493768,58.15804967931413,351.9241846449935,29.169871794871796,0.4997211553228016
bnn_capacity,train,1.6105909131797598,8,0.14,1.3,1.25,1.2,0.0,1.6,0.5095983775455303,0.11987179487179486,0.39027935042539214,0.04993792617291399,209.60398833604683,4.097075480089905,0.021900609371724097,65.1131973095045,393.79946774343534,29.169871794871796,0.5138201918154477
bnn_capacity,train,1.5962313902120695,8,0.1,1.3,1.25,1.2,1.5,1.6,0.49451919231265135,0.1824252136752137,0.39568251633921936,0.07202580336378464,214.07054941253918,6.366354839562102,0.03548145632099575,68.01916957378795,411.80160889194946,29.169871794871796,0.5155833276102129
smith_capacity,train,1.5298561845306262,8,0.18,1.45,1.0,1.2,0.0,1.15,0.5197470293437357,0.11495726495726494,0.34255629803360604,0.031864214020580504,205.1428081717345,4.086161648617726,0.022441063591195833,60.124278347140695,363.9523607038786,29.169871794871796,0.4879471148925427
smith_capacity,train,1.651997834057022,8,0.1,1.55,1.35,1.45,0.0,1.0,0.5048309044224095,0.10988247863247863,0.406451965370752,0.059209882636529154,211.84416335123709,3.76812978978023,0.019178408089624358,68.33532108899931,413.36334560851463,29.169871794871796,0.4996573735321036
smith_capacity,train,1.607241951737648,8,0.08,1.55,1.35,1.45,2.0,1.0,0.49096001280044776,0.1813568376068376,0.3976065442067085,0.07758528456802793,215.2295423343018,6.094497688602463,0.0348063120144541,69.70673383684401,421.97527465427834,29.169871794871796,0.48969775842777336
primal_dual_capacity,train,1.5401366254033937,8,0.15,1.55,1.1,1.35,0.0,,0.5218327996890971,0.10694444444444444,0.34634227972071535,0.03130292736566203,204.8819956698919,3.6533465435315158,0.019562580756808817,61.11907421543767,369.7792619002338,29.169871794871796,1.4201182717582783
primal_dual_capacity,train,1.6429267357554118,8,0.08,1.55,1.55,1.55,0.0,,0.5075323455487265,0.11639957264957264,0.4065601043308302,0.056732741394325076,211.2059640352449,3.5482695491186904,0.017898563262108154,68.33616581533899,413.76464581062686,29.169871794871796,1.4651064128161242
primal_dual_capacity,train,1.6060702116921293,8,0.06,1.55,1.55,1.55,2.0,,0.4953995093326468,0.17847222222222223,0.4004320633063459,0.07293680226493461,214.19839949579247,4.932662190323001,0.02905518061369919,70.12928162801094,424.50386014501083,29.169871794871796,1.4770141021402265
local_primal_dual_capacity,train,1.5981870080854061,8,0.14,1.55,1.1,1.35,0.0,,0.5059918539525365,0.10699786324786324,0.3608637248694408,0.06489376410653729,211.51416257327168,3.5062640546748662,0.020574941694275675,57.13310127387086,345.8354097502476,29.169871794871796,1.4321705153307471
local_primal_dual_capacity,train,1.674834180121891,8,0.08,1.55,1.55,1.55,0.0,,0.49426320733051454,0.11912393162393162,0.4073492090887059,0.08538743058227598,216.7558450142857,3.5133944584729555,0.019358692551901636,62.902444485400395,380.9318823676531,29.169871794871796,1.5128749995104347
local_primal_dual_capacity,train,1.6585981194226778,8,0.04,1.55,1.55,1.55,2.0,,0.4798961412730914,0.17280982905982908,0.40855421231383826,0.10498878629582098,220.39507877909787,4.439622317365686,0.028595999562399436,65.43964235807384,396.2885094072472,29.169871794871796,1.4117884640701306
