method,label,n,safe_docking_success,any_collision,timeout,docking_time_s,min_clearance_m,final_position_error_m,energy_wh,path_length_m,exec_barrier_violations,max_exec_barrier_residual,torque_saturation_events,final_kkt_residual,max_capacity_violation,messages,runtime_s
direct_hocbf,Directo + HOCBF,12,0.3333333333333333,0.08333333333333333,0.5833333333333334,82.82000000000001,0.029797470897004495,0.8704069279677925,0.027531653328098208,16.937790377467177,0.0,6.459370017126928e-11,0.0,nan,0.0,0.0,21.2517678750058
priority_hocbf,Prioridad local + HOCBF,12,0.3333333333333333,0.0,0.6666666666666666,82.82000000000001,0.030709276091119064,0.8557207023309306,0.03137155527467684,16.967989724626705,0.0,4.087283059081768e-11,0.0,nan,0.0,2524.0,10.17079314996954
central_hocbf,Planificador central + HOCBF,12,0.75,0.0,0.25,40.199999999999996,0.044897207911097727,0.2363488654342931,0.06610306743905478,24.562982615359882,0.0,7.828990927771784e-12,0.0,nan,0.0,0.0,2.95726728332617
distributed_replicator_hocbf,Replicator distribuido + HOCBF,12,1.0,0.0,0.0,25.76,0.04933331025087621,0.07065513698279685,0.05590159389152969,25.077443053701206,0.0,1.441988889405721e-16,0.0,0.0,3.700743415417188e-17,2830.3333333333335,2.184767249991031
distributed_pd_hocbf,Juego PD distribuido + HOCBF,12,1.0,0.0,0.0,25.76,0.04933331025087621,0.07065513698284817,0.05590159389153112,25.077443053702222,0.0,1.441988889405721e-16,0.0,0.0,3.700743415417188e-17,2830.3333333333335,2.2050820250490992
