method,scenario,seed,n_robots,safe_docking_success,arrival_success,any_collision,timeout,docking_time_s,time_to_wrench_feasible_s,min_clearance_m,final_position_error_m,final_orientation_error_rad,energy_wh,path_length_m,guard_interventions,closure_interventions,guard_intervention_norm,raw_barrier_violations,exec_barrier_violations,max_exec_barrier_residual,torque_saturation_events,mean_kkt_residual,final_kkt_residual,max_simplex_error,max_capacity_violation,consensus_error,messages,runtime_s,steps
distributed_replicator_hocbf,symmetric_deadlock,886002,4,1,1,0,0,17.4,17.4,0.03446472955383134,0.07937813596292646,0.11134872702019372,0.08002530832236833,34.018476175776094,20,0,62.193270028339555,13,0,1.1102230246251565e-16,0,0.0,0.0,0.0,0.0,0.0,580,0.5207740000914782,145
distributed_pd_hocbf,symmetric_deadlock,886002,4,1,1,0,0,17.4,17.4,0.03446472955383134,0.07937813596292646,0.11134872702019372,0.08002530832236833,34.018476175776094,20,0,62.193270028339555,13,0,1.1102230246251565e-16,0,0.0,0.0,0.0,0.0,0.0,580,0.5192882001865655,145
direct_hocbf,actuator_limited,886002,4,1,1,0,0,10.44,10.44,0.05121062977526686,0.07493319543192038,0.14151023210753744,0.021123754950240173,15.985902337515544,10,58,16.500708270378567,10,0,5.551115123125783e-17,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.4714822000823915,87
priority_hocbf,actuator_limited,886002,4,1,1,0,0,10.44,10.44,0.05121062977526686,0.07493319543192038,0.14151023210753744,0.021123754950240173,15.985902337515544,10,58,16.500708270378567,10,0,5.551115123125783e-17,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.4597189000342041,87
central_hocbf,actuator_limited,886002,4,1,1,0,0,11.16,11.16,0.05121062977526686,0.0710505467477842,0.1205708087084727,0.02198617037513693,16.07385367354975,12,71,17.61981058912502,12,0,5.551115123125783e-17,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.5158002998214215,93
distributed_replicator_hocbf,actuator_limited,886002,4,1,1,0,0,11.16,11.16,0.05121062977526686,0.0710505467477842,0.1205708087084727,0.02198617037513693,16.07385367354975,12,0,17.61981058912502,12,0,5.551115123125783e-17,0,0.0,0.0,0.0,0.0,0.0,372,0.5635194000788033,93
distributed_pd_hocbf,actuator_limited,886002,4,1,1,0,0,11.16,11.16,0.05121062977526686,0.0710505467477842,0.1205708087084727,0.02198617037513693,16.07385367354975,12,0,17.61981058912502,12,0,5.551115123125783e-17,0,0.0,0.0,0.0,0.0,0.0,372,0.57213079999201,93
direct_hocbf,cluttered_docking,886002,4,0,0,0,1,120.0,120.0,0.004738106942898224,1.5873317185716616,2.517710598951452,0.02704946148800676,18.50828470688332,148601,0,3321.645643760723,974,0,9.956571071084719e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,75.56956469989382,1000
priority_hocbf,cluttered_docking,886002,4,0,0,0,1,120.0,120.0,0.005000000000000171,1.4759171161678555,2.170904509773358,0.03393431334948071,19.155607836938707,2430,2831,489.1090946732781,963,0,9.923000615641442e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,7526,7.649163200054318,1000
central_hocbf,cluttered_docking,886002,4,1,1,0,0,16.56,16.56,0.04584257809696929,0.07490397373317231,0.09821404065808237,0.0782572930829501,33.826464582672706,22,46,56.307080034498405,22,0,2.220446049250313e-16,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.7977247999515384,138
distributed_replicator_hocbf,cluttered_docking,886002,4,1,1,0,0,61.32,61.32,0.040999971342207786,0.0739692499246212,0.10676593580042748,0.08580235688694594,33.204167603120325,73,0,100.71522123296637,73,0,2.220446049250313e-16,0,0.0,0.0,0.0,0.0,0.0,2044,2.348348799860105,511
distributed_pd_hocbf,cluttered_docking,886002,4,1,1,0,0,61.32,61.32,0.040999971342207786,0.0739692499246212,0.10676593580042748,0.08580235688694594,33.204167603120325,73,0,100.71522123296637,73,0,2.220446049250313e-16,0,0.0,0.0,0.0,0.0,0.0,2044,2.457721400074661,511
direct_hocbf,narrow_passage,886002,4,0,0,0,1,120.0,120.0,0.004999999986251835,0.5155218034990696,1.0582900959963253,0.03234149200766083,18.356232318707182,27261,946,1866.1646112695034,966,0,8.918715765915408e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,21.82580789993517,1000
priority_hocbf,narrow_passage,886002,4,0,0,0,1,120.0,120.0,0.00500000000000006,0.7187070331241192,0.795391161954592,0.036545330595269425,16.90512069701416,2792,986,1749.067817798691,949,0,1.9081958235744878e-16,0,nan,nan,1.1102230246251565e-16,0.0,0.0,78,7.710118099814281,1000
central_hocbf,narrow_passage,886002,4,0,0,0,1,120.0,120.0,0.004999999988338555,0.5084330622727453,0.9305259780897887,0.09399776467359003,18.30534418336482,30359,2849,893.7142953926574,921,0,9.394672539908555e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,19.584250200074166,1000
distributed_replicator_hocbf,narrow_passage,886002,4,1,1,0,0,39.24,39.24,0.05828863163167369,0.0785993467255769,0.08087782021893597,0.03993412188557192,23.308034327611406,11,0,22.253532301801766,11,0,2.220446049250313e-16,0,0.0,0.0,0.0,0.0,0.0,1308,7.599345399998128,327
distributed_pd_hocbf,narrow_passage,886002,4,1,1,0,0,39.24,39.24,0.05828863163167369,0.0785993467255769,0.08087782021893597,0.03993412188557192,23.308034327611406,11,0,22.253532301801766,11,0,2.220446049250313e-16,0,0.0,0.0,0.0,0.0,0.0,1308,7.589480800088495,327
