_grid,cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
protocolos,,,,,,,best_response,,,,0.0,234.54953980003484,3.8981783113459616,9.37143670635937,0,160.3199999999267,-0.12324494633059624,-0.2685043369336846,1031554,2,164.78577062159414,0,6,10,19303,True,160.33999999992668,2.044361148215618,0.08397627958157797
protocolos,,,,,,,best_response,,,,0.0,328.65409109997563,3.668760269312876,11.594785988321819,0,205.7199999998854,-0.11239692960376446,0.21975075223430096,1014873,2,164.21251082494666,0,6,22,16021,True,205.73999999988538,2.302729016080369,0.09184260608337702
protocolos,,,,,,,smith,,,,0.0,181.8664871000219,3.5286824415513705,8.480619989087442,0,142.29999999994308,-0.1410901587020249,0.3259248519099449,950931,2,164.39158327703177,0,6,4,15659,True,142.31999999994306,2.3291695277820565,0.09955411747308851
protocolos,,,,,,,smith,,,,0.0,359.4057693000068,2.4617768671665634,15.22185390097233,0,82.31999999999762,-0.23956235446362595,3.7677449172786854,1304222,1,164.27208058168665,0,18,16,100157,False,300.01999999979967,1.2431891359063283,0.14818129397431318
protocolos,,,,,,,smith,,,,0.0,171.13720499997726,3.5931204098794733,8.932384977446269,0,149.03999999993695,-0.30470603948129193,0.8406914262493554,985586,2,162.57580510857449,0,6,28,13382,True,149.05999999993693,1.8820187363503704,0.13373443645197547
protocolos,,,,,,,bnn,,,,0.0,222.16404339997098,3.1169946094790664,9.424790702574173,0,181.11999999990778,-0.08332689415595468,1.209525861750822,1021539,2,164.78577062159414,0,9,10,20009,True,181.13999999990776,1.6928931934247742,0.07691707473222031
protocolos,,,,,,,bnn,,,,0.0,362.05111390003003,4.038502586541817,16.201656587787337,0,276.95999999982064,-0.11239692960376446,0.6007547377110374,1665119,2,164.21251082494666,0,12,22,25046,True,276.9799999998206,2.936865846162746,0.11674889542757505
protocolos,,,,,,,logit,,,,9.81999999999988,277.5947365000029,4.312655399152186,14.085235024007648,0,224.69999999986814,-0.1355732571318855,-0.07550093252397772,1565461,2,164.39158327703177,0,6,4,28923,True,224.71999999986812,3.8070332852556397,0.09955411747308851
protocolos,,,,,,,logit,,,,0.0,347.27392949996283,3.6665584178969475,14.35327998861708,0,101.59999999998008,-0.29820799344608884,-0.055115951852309664,1629719,1,164.27208058168665,0,6,16,58516,False,300.01999999979967,1.9614237718329204,0.17916066313311774
protocolos,,,,,,,logit,,,,0.0,220.69414759997744,4.456124373428317,11.45986688125166,0,175.79999999991261,-0.09159189964969366,0.3074054738881813,1188178,2,162.57580510857449,0,6,28,29341,True,175.8199999999126,2.5282392474881883,0.14884419549174766
