_grid,cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
protocolos,,,,,,,best_response,,,,12.15999999999983,416.3928963000071,5.960952894336128,16.129493954122857,0,122.29999999996126,-0.09062019104994001,0.7899221880940512,1830139,1,164.82799323822968,0,9,8,62300,False,300.01999999979967,2.5714920232414684,0.199954584422257
protocolos,,,,,,,best_response,,,,0.0,384.94820810004603,2.52899980358657,15.308809218291094,0,118.23999999996495,-0.10441475506752287,5.526728785221286,1557728,1,164.4865489404765,0,18,20,28405,False,300.01999999979967,1.8443687659937387,0.14651295070330528
protocolos,,,,,,,smith,,,,0.0,258.26937789999647,3.704030004940321,12.001677715805236,0,239.41999999985475,-0.12816648078473025,-0.06429979609638803,1398402,2,164.48216171767052,0,9,2,10555,True,239.43999999985473,1.78024860353681,0.0816149356851561
protocolos,,,,,,,smith,,,,0.0,177.7215418999549,3.4935158626846645,8.375840898523292,0,163.23999999992404,-0.15244981418191905,0.07348119037456247,908584,2,155.53903812382,0,6,14,9819,True,163.25999999992402,1.5883524781678446,0.008903522722350843
protocolos,,,,,,,smith,,,,0.0,233.79203829995822,3.8487329853873398,10.911127379279295,0,190.47999999989926,-0.0699599337469669,1.3875217982217496,1035285,2,164.22530809440505,0,6,26,11049,True,190.49999999989925,2.0976291067568207,0.10110986036453973
protocolos,,,,,,,bnn,,,,0.0,335.0777030000463,2.7737865011998366,12.431208561269486,0,93.89999999998709,-0.3189909034528595,1.757511602789842,1628594,1,164.82799323822968,0,18,8,5192,False,300.01999999979967,1.6682666731667644,0.14938935898746308
protocolos,,,,,,,bnn,,,,0.0,200.04686349997064,2.9659485517432382,9.116464217402099,0,158.29999999992853,-0.08938091618084687,0.19390662736504982,1004639,2,164.4865489404765,0,6,20,17041,True,158.3199999999285,2.547284196994543,0.09693620946582371
protocolos,,,,,,,logit,,,,0.0,269.97643899999093,3.770067038685407,13.572134154487294,0,221.8799999998707,-0.0852165801046755,0.522189561083243,1240703,2,164.48216171767052,0,6,2,20936,True,221.8999999998707,2.8116067012015167,0.13370751424894856
protocolos,,,,,,,logit,,,,0.0,298.4876333999564,2.7775505945693597,12.61399398111661,0,266.83999999982984,-0.3114965733805679,0.6986282234927703,1248307,2,155.53903812382,0,15,14,16554,True,266.8599999998298,1.4725227278391746,0.046957911169393185
protocolos,,,,,,,logit,,,,0.0,235.5582804000005,4.80351083355258,11.923893316697205,0,197.07999999989326,-0.07260480123952501,0.9777379211415669,1196018,2,164.22530809440505,0,6,26,16473,True,197.09999999989324,2.3315415115429685,0.12464488041828403
protocolos,,,,,,,replicator,,,,0.0,240.890406099963,nan,10.000666666694134,0,300.01999999979967,1.8146610047920946,9.65956819061693,840056,0,164.82799323822968,0,0,8,0,False,300.01999999979967,nan,0.0
protocolos,,,,,,,replicator,,,,0.0,277.1773482999997,nan,10.000666666694134,0,300.01999999979967,1.2671140044281592,12.89316361882238,720048,0,164.4865489404765,0,0,20,0,False,300.01999999979967,nan,0.0
aptitud,,,,,vector,,smith,,,,0.0,278.86326710000867,3.704030004940321,12.001677715805236,0,239.41999999985475,-0.12816648078473025,-0.06429979609638803,1398402,2,164.48216171767052,0,9,2,10555,True,239.43999999985473,1.78024860353681,0.0816149356851561
aptitud,,,,,vector,,smith,,,,0.0,201.84905400004936,3.4935158626846645,8.375840898523292,0,163.23999999992404,-0.15244981418191905,0.07348119037456247,908584,2,155.53903812382,0,6,14,9819,True,163.25999999992402,1.5883524781678446,0.008903522722350843
aptitud,,,,,vector,,smith,,,,0.0,262.10273110005073,3.8487329853873398,10.911127379279295,0,190.47999999989926,-0.0699599337469669,1.3875217982217496,1035285,2,164.22530809440505,0,6,26,11049,True,190.49999999989925,2.0976291067568207,0.10110986036453973
aptitud,,,,,scalar,,smith,,,,0.0,461.9954922000179,3.203074719618768,14.056770891225757,0,132.89999999995163,-0.16081896587690786,1.902237308085601,1658246,1,136.82799323822968,0,18,8,23372,False,300.01999999979967,2.8151695886504524,0.36619259687187844
aptitud,,,,,scalar,,smith,,,,0.0,283.6237061000429,3.2741549567846384,11.647572129145662,0,212.2199999998795,-0.11231189634819863,0.3255701262890085,1171439,2,136.4865489404765,0,6,20,17897,True,212.23999999987947,3.032308165729626,0.06793557566516503
planificador,,,,,,waypoint,smith,,,,0.0,273.8716623999644,3.0833926517607493,16.832971461031097,0,300.01999999979967,-0.20792303355993957,9.589616754626038,1119137,0,164.48216171767052,0,21,2,112912,False,300.01999999979967,0.9005381691685671,0.15645359140252402
