scenario_generator,method,method_label,rank,active_control_messages_mean,assigned_robots_mean,attempted_messages_mean,base_connected_time_ratio_mean,coalition_connected_time_ratio_mean,collision_rate_mean,communication_outage_count_mean,completion_time_s_mean,control_packet_ratio_mean,delay_violation_rate_mean,delivered_messages_mean,direct_clique_time_ratio_mean,disconnected_time_ratio_mean,energy_proxy_wh_mean,final_orientation_error_deg_mean,final_position_error_m_mean,formation_broken_rate_mean,formation_integrity_rate_mean,idle_robots_mean,longest_outage_s_mean,mean_active_link_count_mean,mean_algebraic_connectivity_mean,mean_component_count_mean,mean_largest_component_ratio_mean,mean_link_delay_s_mean,mean_outage_duration_s_mean,method_communication_dependency,method_communication_pattern,method_comparison_group,method_execution_model,method_family,method_ownership,method_scope,method_trainable_parameters,method_training_type,method_tuned_parameters,method_uses_decoder,method_uses_neural_policy,method_variant,min_load_clearance_m_mean,min_mobile_group_clearance_m_mean,min_obstacle_clearance_m_mean,mobile_group_detection_rate_mean,n,network_quality_score_mean,network_severity_mean,obstacle_detection_rate_mean,optimality_gap_vs_reference_mean,packet_delivery_ratio_mean,pickup_success_mean,ranking_rule,relay_success_rate_mean,runtime_ms_mean,score_value_mean,selected_task_load_mean,sensor_coverage_rate_mean,target_reached_mean,temporal_coalition_connected_rate_mean,transport_network_score_mean,transport_success_mean,travel_distance_m_mean
ALL_SCENARIOS,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,1,4169.875,3.576923076923077,5347.057692307692,0.6586245226404801,0.6774140752864158,0.0,15.298076923076923,41.160576923076924,0.6663136577836719,0.22183190936095032,4723.807692307692,0.37720949263502457,0.32258592471358427,709.9382473262189,0.9123409538271823,3.5977000314910015,0.08725610790307868,0.9127438920969214,2.951923076923077,4.313076923076922,17.744148936170212,1.6103164422484118,2.8432078559738136,0.6983548145117294,0.1493233755713941,1.5897808226843502,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,0.2188127156589553,0.10292647649958274,0.5284840714563064,0.4828618013192481,104,0.732804214651235,0.2951179751325527,0.7093966295797312,0.03820531307963075,0.8257344879556645,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.3002045826513911,584.3740624998015,15.123571735482384,1.0,0.5961292154494896,0.1346153846153846,0.8931260229132569,0.429400843555911,0.1346153846153846,75.38859580407828
ALL_SCENARIOS,ours_delay_robust_repair,Ours delay-robust local repair,2,4011.980769230769,3.0,5076.0192307692305,0.6240040234588107,0.628150572831424,0.0,16.25,41.160576923076924,0.6647702671048697,0.2230304844544171,4508.903846153846,0.4025777414075286,0.3718494271685761,587.2853306817002,4.062199826545064,4.304092542599941,0.20538989491199702,0.7946101050880029,3.5288461538461537,6.429807692307692,17.072258592471357,1.5578015852803317,2.933878887070377,0.6831911483906166,0.1502350770199512,2.2349403393135274,low,event_triggered_local_repair_and_relay_selection,proposed_model_based_decentralized_local_low_communication,distributed_local_repair_with_delay_guard,model_based,proposed,decentralized_local,0,model_based_tuning_optional,12,False,False,delay_robust_wrench_repair_guard,0.245813253184641,0.1385772451673335,0.5853106235215738,0.4779670690738613,104,0.7120454075861802,0.2951179751325527,0.7106741301524444,0.06487419966037672,0.8241509754552409,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.2255728314238952,352.27102018745006,0.6858419083707177,1.0,0.5943205996131529,0.1346153846153846,0.8292144026186578,0.4075932046453765,0.1346153846153846,60.60951309063759
ALL_SCENARIOS,reference_full_communication,Reference full-communication controller,3,4252.442307692308,3.798076923076923,5534.423076923077,0.695902209492635,0.6772504091653028,0.0,14.076923076923077,41.31346153846153,0.665277803209897,0.22171322374682834,4860.278846153846,0.35601472995090017,0.32274959083469723,690.2200710538891,7.735687212253011,4.4711049124184195,0.4053098918040329,0.5946901081959671,2.730769230769231,4.794230769230769,18.095499181669393,1.6800302306197434,2.7606382978723407,0.7156222722313148,0.1489314993211893,2.6990912248758714,high,global_lossless_network,reference_model_based_reference_centralized_high_communication,centralized_reference_full_information,model_based_reference,reference,centralized,0,none,10,False,False,full_information_upper_reference,0.23866863372485675,0.12957030884433385,0.5696192183703502,0.47870052586756767,104,0.7326923181845477,0.2951179751325527,0.7093301363575504,0.0,0.8244163903566922,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.3212356792144026,400.2137855713954,-37.2304155905227,1.0,0.594015331112559,0.125,0.8986088379705403,0.35445811108796066,0.07692307692307693,71.89946107266044
ALL_SCENARIOS,classic_decentralized_sensor_apf,Classic decentralized sensor APF,4,4015.576923076923,2.4423076923076925,5062.711538461538,0.6032017184942717,0.6223404255319149,0.0,19.875,41.55865384615385,0.6654898479693732,0.2220151026312641,4510.538461538462,0.4883387888707038,0.3776595744680851,499.3082245827466,38.20695884301207,4.848914714700554,0.3891133607826507,0.6108866392173493,4.086538461538462,5.8967307692307696,17.087561374795417,1.6524293190482808,2.9116202945990177,0.6731311374795417,0.15008909794388797,1.3671800719593854,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,0.5612974873240106,0.3541851284414064,0.5476713360526547,0.4756510938824769,104,0.7099618912624819,0.2951179751325527,0.7037889928765543,0.1995683735355314,0.824894050478017,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.06513911620294599,308.4562432688052,-58.72810899135452,1.0,0.5897200433795156,0.04807692307692308,0.8257774140752865,0.31867498858998494,0.028846153846153848,49.234412428967254
ALL_SCENARIOS,sota_delay_tolerant_consensus,SOTA delay-tolerant consensus,5,4194.711538461538,3.5961538461538463,5432.2307692307695,0.6567161074740862,0.6614157119476268,0.0,15.971153846153847,41.67,0.6659355527086193,0.22123023556953617,4777.5192307692305,0.3900981996726678,0.3385842880523731,671.790691073763,10.152926108703507,4.399720621923016,0.4367782453486582,0.5632217546513417,2.9326923076923075,5.258076923076923,17.849836333878887,1.6554691688850758,2.7924713584288052,0.6991758728859794,0.1495185408291309,2.1030086249857343,medium,neighbor_consensus_packets,baseline_sota_decentralized_medium_communication,distributed_consensus_with_delay_margin,sota,baseline,decentralized,0,none,8,False,False,delay_tolerant_consensus_transport,0.20493885806283502,0.09363212144642154,0.4398230740229278,0.4773468541369524,104,0.7255146454280612,0.2951179751325527,0.7006074021223367,0.12265527462833734,0.824425971796421,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.2515139116202946,402.93405000724863,-58.372806620740626,1.0,0.5889771281296444,0.04807692307692308,0.876595744680851,0.3095721464887587,0.019230769230769232,70.34654999714931
ALL_SCENARIOS,sota_decentralized_cbba_relay,SOTA decentralized relay/CBBA,6,4206.028846153846,3.5961538461538463,5447.0,0.6622425668303328,0.6610883797054009,0.0,15.884615384615385,41.73923076923078,0.66603742337351,0.22035522615574793,4790.028846153846,0.38662029459901803,0.3389116202945991,653.366472124963,10.967934139896942,4.297650185970773,0.49703025033267517,0.5029697496673248,2.9326923076923075,5.0971153846153845,17.897995090016366,1.6557870444284908,2.7722995090016367,0.7018310147299509,0.14900308327938713,1.9252247340732889,medium,auction_bids_plus_neighbor_relay,baseline_sota_decentralized_medium_communication,distributed_cbba_relay_with_velocity_obstacle_transport,sota,baseline,decentralized,0,none,8,False,False,event_triggered_cbba_relay,0.18149882583956803,0.0948375594642889,0.4506705345464111,0.4749350273521714,104,0.7251223938182509,0.2951179751325527,0.7009023624056537,0.15042236132339637,0.8234588584322666,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.255278232405892,398.20604999281034,-66.43051297306138,1.0,0.5879186948789126,0.028846153846153848,0.8767184942716858,0.29199229508132707,0.009615384615384616,68.1678428906947
ALL_SCENARIOS,sota_centralized_cbf_networked,SOTA centralized CBF networked,7,4217.971153846154,3.5961538461538463,5486.538461538462,0.6595669667212221,0.6562193126022914,0.0,15.682692307692308,41.81711538461539,0.6657262157116948,0.22213091829850004,4820.432692307692,0.3879296235679215,0.3437806873977086,616.1175554995774,10.335449658283864,5.023886910894285,0.52556918717229,0.47443081282771005,2.9326923076923075,5.020961538461538,17.94881342062193,1.6529814864604229,2.778314238952537,0.7024352154937262,0.14976308767425406,2.255731822003755,high,all_robot_payload_traffic_streams,baseline_sota_centralized_high_communication,centralized_cbf_with_networked_state_estimation,sota,baseline,centralized,0,none,7,False,False,networked_cbf_with_global_traffic,0.2848866172922406,0.1477896093099817,0.5452180053562006,0.4735972728285536,104,0.7244239636566816,0.2951179751325527,0.6975986077646505,0.1685928726875769,0.8259519893606562,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.24803600654664487,391.7929932593744,-77.8822555108556,1.0,0.5855979402966021,0.009615384615384616,0.8779459901800327,0.27944366957975364,0.0,63.91226013562562
ALL_SCENARIOS,classic_centralized_global_mpc,Classic centralized global comms,8,4261.548076923077,3.5961538461538463,5534.7692307692305,0.6686194080741953,0.6638297872340425,0.0,16.028846153846153,41.847115384615385,0.6646205626708446,0.22353549599001696,4869.2692307692305,0.38895253682487724,0.3361702127659575,634.7261843008517,15.669431250843266,4.022702117903127,0.566591115817935,0.433408884182065,2.9326923076923075,4.996730769230769,18.13424713584288,1.7249764853743845,2.7535597381342067,0.7084230087288599,0.14980524895322708,2.221043351988027,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,0.2211902431000396,0.11708666775223284,0.47362925358989566,0.4726166896614933,104,0.7265300316215371,0.2951179751325527,0.6968975510051494,0.18603767501845375,0.8258761259356173,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.2542962356792144,336.4571432612138,-74.92551817290479,1.0,0.5847571203333214,0.009615384615384616,0.8839607201309329,0.2731750105115302,0.0,65.21958954374381
cargo_sensor_degradation,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,1,2253.8,3.0,3092.8,0.5719148936170212,0.6363829787234042,0.0,15.65,38.498999999999995,0.6751815321996604,0.21702223178091037,2649.45,0.4174468085106383,0.36361702127659573,571.2760631981112,0.008684717234599668,1.9953438402828247,0.14152609047784334,0.8584739095221566,2.0,5.814,9.59063829787234,1.2229843241023541,2.4023404255319147,0.7004680851063829,0.14829053478572565,1.5639662884840404,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,0.22700778094150326,nan,0.5528888035714344,0.0,20,0.7036695161825997,0.29472520634920635,0.9018611955420466,0.11807502773195147,0.8298966946381349,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.21893617021276596,216.6608749947045,122.4260397548052,1.0,0.4509305977710233,0.45,0.8231914893617021,0.6058695577891091,0.45,60.76997746939264
cargo_sensor_degradation,ours_delay_robust_repair,Ours delay-robust local repair,2,2250.3,3.0,3092.8,0.5701702127659575,0.6317021276595745,0.0,15.1,38.498999999999995,0.6739831254806365,0.21521480748829078,2636.9,0.41978723404255314,0.3682978723404256,571.2760631981112,0.008684717234599668,1.9953438402828247,0.14152609047784334,0.8584739095221566,2.0,6.093,9.575744680851065,1.224368114067527,2.39063829787234,0.7040425531914893,0.1482766754265423,1.6220022350521894,low,event_triggered_local_repair_and_relay_selection,proposed_model_based_decentralized_local_low_communication,distributed_local_repair_with_delay_guard,model_based,proposed,decentralized_local,0,model_based_tuning_optional,12,False,False,delay_robust_wrench_repair_guard,0.22700778094150326,nan,0.5528888035714344,0.0,20,0.7021991265234921,0.29472520634920635,0.9084683383991894,0.11807502773195147,0.8251928740277193,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.21191489361702126,216.19400500203483,122.4260397548052,1.0,0.4542341691995947,0.45,0.8268085106382979,0.605663703236834,0.45,60.76997746939264
