experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,rates_valid,finite_metrics,speed_valid,message,gap_valid
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,direct_to_target,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,priority_yield,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,apf_obstacle_avoidance,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,velocity_obstacle_proxy,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,cbf_safety_filter,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,replicator_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,logit_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,bnn_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,primal_dual_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,pid_safety_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,tensor_flow_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,explicit_vgne_cbf_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,smith_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,energy_aware_smith_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5600,reference_time_expanded_cbf,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,direct_to_target,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,priority_yield,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,apf_obstacle_avoidance,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,velocity_obstacle_proxy,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,cbf_safety_filter,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,replicator_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,logit_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,bnn_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,primal_dual_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,pid_safety_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,tensor_flow_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,explicit_vgne_cbf_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,smith_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,energy_aware_smith_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5601,reference_time_expanded_cbf,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,direct_to_target,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,priority_yield,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,apf_obstacle_avoidance,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,velocity_obstacle_proxy,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,cbf_safety_filter,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,replicator_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,logit_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,bnn_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,primal_dual_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,pid_safety_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,tensor_flow_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,explicit_vgne_cbf_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,smith_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,energy_aware_smith_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5602,reference_time_expanded_cbf,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,direct_to_target,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,priority_yield,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,apf_obstacle_avoidance,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,velocity_obstacle_proxy,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,cbf_safety_filter,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,replicator_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,logit_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,bnn_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,primal_dual_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,pid_safety_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,tensor_flow_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,explicit_vgne_cbf_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,smith_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,energy_aware_smith_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5603,reference_time_expanded_cbf,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,direct_to_target,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,priority_yield,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,apf_obstacle_avoidance,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,velocity_obstacle_proxy,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,cbf_safety_filter,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,replicator_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,logit_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,bnn_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,primal_dual_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,pid_safety_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,tensor_flow_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,explicit_vgne_cbf_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,smith_motion_field,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,energy_aware_smith_motion,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5604,reference_time_expanded_cbf,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5605,direct_to_target,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5605,priority_yield,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5605,apf_obstacle_avoidance,True,True,True,True,,True
SP4_MC_motion_comparison_high_power,open_field_arrival,open_field_arrival_v00,5605,velocity_obstacle_proxy,True,True,True,True,,True
