scenario_generator,scenario_variant_id,seed,method,objective,status,video
scale_ladder,scale_64r_16l_seed9810,9810,classic_local_greedy,"Mesoscopic large-scale load transport with wrench/torque, static/mobile obstacles and assigned AMR coalitions.",ok,sp8_scale_ladder_scale_64r_16l_seed9810_classic_local_greedy_seed9810.mp4
scale_ladder,scale_64r_16l_seed9810,9810,ours_wrench_market_hierarchical,"Mesoscopic large-scale load transport with wrench/torque, static/mobile obstacles and assigned AMR coalitions.",ok,sp8_scale_ladder_scale_64r_16l_seed9810_ours_wrench_market_hierarchical_seed9810.mp4
