anchor_rank,anchor_candidate_id,anchor_openalex_id,title,year,families
1,C85B2ACA511C4,W3203000619,Multi-Robot Preemptive Task Scheduling with Fault Recovery: A Novel Approach to Automatic Logistics of Smart Factories,2021,coalition_or_allocation;fault_recovery
2,CD9E8C3865AB6,W3160217390,Spatially-Distributed Missions With Heterogeneous Multi-Robot Teams,2021,heterogeneous_teams;distributed_coordination
3,C3EF72778D75A,W4309818899,Multi-robot task allocation clustering based on game theory,2022,coalition_or_allocation;game_or_optimization
4,C7ACE3A84F8C2,W4297676257,DC-MRTA: Decentralized Multi-Robot Task Allocation and Navigation in Complex Environments,2022,coalition_or_allocation;distributed_coordination
5,C20FBE73D7292,W3005448462,A Distributed Approach to the Multi-Robot Task Allocation Problem Using the Consensus-Based Bundle Algorithm and Ant Colony System,2020,coalition_or_allocation;distributed_coordination
6,CD3F5AE83E98C,W2107469507,Exploring Bounded Optimal Coordination for Heterogeneous Teams with Cross-Schedule Dependencies,2018,heterogeneous_teams;distributed_coordination
7,C1E34C4925F5C,W4385155193,Optimization techniques for Multi-Robot Task Allocation problems: Review on the state-of-the-art,2023,coalition_or_allocation;game_or_optimization
8,C0C34B3D7DD20,W2995545179,Towards a Distributed Solution to the Multi-Robot Task Allocation Problem with Energetic and Spatiotemporal Constraints,2019,coalition_or_allocation;distributed_coordination
9,CE7932A8945FD,W2772804860,Distributed Consensus of Linear Multiagent Systems: Laplacian Spectra-Based Method,2017,distributed_coordination
10,C8620A2DF94BF,W3152770304,"Multi-Robot Coordination Analysis, Taxonomy, Challenges and Future Scope",2021,distributed_coordination
11,C48B0DC86870B,W4289374406,Pose consensus based on dual quaternion algebra with application to\n decentralized formation control of mobile manipulators,2018,distributed_coordination
12,CF6F8F5117640,W3162328095,A Survey on Long-Range Wide-Area Network Technology Optimizations,2021,game_or_optimization
13,CE3EC521638F5,W4413736352,Multi-agent reinforcement learning for resources allocation optimization: a survey,2025,game_or_optimization
14,CDB5890569C65,W2122277562,Distributed intelligence: overview of the field and its application in multi-robot systems,2008,distributed_coordination
15,CD4F0CFD7E495,W3134765885,Towards a formal analysis of the multi-robot task allocation problem using set theory,2021,coalition_or_allocation
16,CCFE8ABE83AD1,W4376108639,Minimum‐energy time‐varying formation of distributed multi‐agent systems with interaction constraints,2023,distributed_coordination
17,CCE288522BB14,W1589250512,Multi-robot task allocation using affect,2004,coalition_or_allocation
18,CB7989ECDF054,W7162730930,Design-for-Failure in Multi-Robot Systems through Integrated Architectures and Proactive Successor Allocation,2026,fault_recovery
19,CA9EA6431B5EC,W4406612975,Multi-UAV Task Assignment in Dynamic Environments: Current Trends and Future Directions,2025,coalition_or_allocation
20,C9A98F3EFEE56,W2591473830,Decentralized allocation of tasks with temporal and precedence constraints to a team of robots,2016,distributed_coordination
