anchor_rank,anchor_candidate_id,anchor_openalex_id,title,year,families
1,C5A3277764A58,W4410956649,Research on Composite Robot Scheduling and Task Allocation for Warehouse Logistics Systems,2025,coalition_or_allocation;distributed_coordination;game_or_optimization;industrial_context
2,CECDDA7DEC190,W2496475380,On Decentralized Coordination for Spatial Task Allocation and Scheduling in Heterogeneous Teams,2016,coalition_or_allocation;heterogeneous_teams;distributed_coordination
3,C0062B3C3E1C9,W1573413130,"Superstabilizing, fault-containing distributed combinatorial optimization",2005,distributed_coordination;fault_recovery;game_or_optimization
4,CDA494F606429,W3088990421,Decentralized Control of Multi-Robot System in Cooperative Object Transportation Using Deep Reinforcement Learning,2020,cooperative_transport;distributed_coordination
5,C8E065E4F2D01,W4387123530,Strictly Decentralized Approaches for Multi-Robot Grasp Coordination,2023,distributed_coordination;physical_contact
6,CA33AD7B68FB1,W2895990857,Distributed task allocation for multiple heterogeneous UAVs based on consensus algorithm and online cooperative strategy,2018,coalition_or_allocation;heterogeneous_teams;distributed_coordination
7,C8E901D1895BA,W7211966439,DODRL-HMRTA: A learning-based optimization framework for heterogeneous multi-robot task allocation with dynamic uncertainties,2026,coalition_or_allocation;heterogeneous_teams;game_or_optimization
8,CC66E9A6E37AB,W3000206786,Task Allocation for Multi-Agent Systems Based on Distributed Many-Objective Evolutionary Algorithm and Greedy Algorithm,2020,coalition_or_allocation;distributed_coordination;game_or_optimization
9,C981388000750,W3044361571,A Distributed Solution to the Multi-robot Task Allocation Problem Using Ant Colony Optimization and Bat Algorithm,2020,coalition_or_allocation;distributed_coordination;game_or_optimization
10,C614266B62F30,W3005764631,Particle Swarm Optimization for Cooperative Multi-Robot Task Allocation: A Multi-Objective Approach,2020,coalition_or_allocation;distributed_coordination;game_or_optimization
11,C55AEC4EE9876,W2756720074,Distributed Task Rescheduling With Time Constraints for the Optimization of Total Task Allocations in a Multirobot System,2017,coalition_or_allocation;distributed_coordination;game_or_optimization
12,C4BF0C9CC85AB,W2017590745,Decentralized Dynamic Task Allocation Using Overlapping Potential Games,2010,coalition_or_allocation;distributed_coordination;game_or_optimization
13,C48E5AD58A8E6,W2913775178,Distributed Resource Allocation Optimization in 5G Virtualized Networks,2019,coalition_or_allocation;distributed_coordination;game_or_optimization
14,C3B94FFBD89AD,W1999848667,Evolutionary Computation Approach to Decentralized Multi-robot Task Allocation,2009,coalition_or_allocation;distributed_coordination;game_or_optimization
15,C2A4C241C5C92,W7165400537,A Distributed Mivar Cooperative Decision-Making Model for Multi-Robot Task Allocation in Warehouses,2026,coalition_or_allocation;distributed_coordination;industrial_context
16,C25E04E2B42F4,W2072408647,Decentralized task allocation for heterogeneous teams with cooperation constraints,2010,coalition_or_allocation;heterogeneous_teams;distributed_coordination
17,C172CC5886222,W2136822103,Resource Allocation for Energy Efficiency Optimization in Heterogeneous Networks,2015,coalition_or_allocation;heterogeneous_teams;game_or_optimization
18,CF78CD428E991,W2146121432,A fast distributed auction and consensus process using parallel task allocation and execution,2011,coalition_or_allocation;distributed_coordination
19,C75DFD0C9D1EF,W1967670666,Consensus-Based Auction Approaches for Decentralized Task Assignment,2008,coalition_or_allocation;distributed_coordination
20,CD617355078E3,W2136613778,Centralized and distributed task allocation in multi-robot teams via a stochastic clustering auction,2012,coalition_or_allocation;distributed_coordination
