candidate_id,source,query,relation
C6EE92F92BEFD,openalex,Q2_sharedload_distributed,discovered
CF4784EA79B55,openalex,Q2_sharedload_distributed,discovered
C0B7B4699C41A,openalex,Q2_sharedload_distributed,possible_duplicate_100.0
CE38FD761C3AF,openalex,Q2_sharedload_distributed,discovered
CEDE1C525FB5E,crossref,Q3_physical_certificate,discovered
C3EA71B06CEFD,crossref,Q3_physical_certificate,discovered
CF86B622F56A8,crossref,Q3_physical_certificate,discovered
C77D0E1FAE38A,crossref,Q3_physical_certificate,discovered
CF86B622F56A8,crossref,Q3_physical_certificate,possible_duplicate_94.5
C180D350C3D39,crossref,Q3_physical_certificate,discovered
CF86B622F56A8,crossref,Q3_physical_certificate,possible_duplicate_94.5
CC3BC24C51955,crossref,Q3_physical_certificate,discovered
CA0820F1F3594,crossref,Q3_physical_certificate,discovered
CB135DA8B0BB0,crossref,Q3_physical_certificate,exact_doi_merge
CA83EBBE5248C,crossref,Q3_physical_certificate,discovered
C84822EA8106C,crossref,Q3_physical_certificate,discovered
CB689422D07EE,crossref,Q3_physical_certificate,exact_doi_merge
C1CC9C84F2923,crossref,Q3_physical_certificate,discovered
C1E395479C419,crossref,Q3_physical_certificate,discovered
C1E92D88C2221,crossref,Q3_physical_certificate,discovered
C2FCE20776220,crossref,Q3_physical_certificate,discovered
C21AE965C1D08,crossref,Q3_physical_certificate,exact_doi_merge
C8195CBC30FE2,crossref,Q3_physical_certificate,discovered
CAFD7649B8C6B,crossref,Q3_physical_certificate,discovered
CFBE35740C7F0,crossref,Q3_physical_certificate,discovered
C562661782980,crossref,Q3_physical_certificate,discovered
C5423D5A19BA0,crossref,Q3_physical_certificate,exact_doi_merge
CDE40EBBE4028,crossref,Q3_physical_certificate,discovered
CCE5406D224AF,crossref,Q3_physical_certificate,discovered
CC523C0D48FF2,crossref,Q3_physical_certificate,discovered
C85442ACFB9A4,crossref,Q3_physical_certificate,discovered
CC6C42C6225A1,openalex,Q3_physical_certificate,discovered
C9F7D8B263B8C,crossref,Q4_recovery_replacement,discovered
C1E395479C419,crossref,Q4_recovery_replacement,exact_doi_merge
C21AE965C1D08,crossref,Q4_recovery_replacement,exact_doi_merge
CC44C2BE699C2,crossref,Q4_recovery_replacement,discovered
C824C187693EF,crossref,Q4_recovery_replacement,discovered
C81C4EBC5F38D,crossref,Q4_recovery_replacement,discovered
CEB6E822A55B8,crossref,Q4_recovery_replacement,discovered
CDC4738394910,crossref,Q4_recovery_replacement,discovered
C82AC458AF2EC,crossref,Q4_recovery_replacement,exact_doi_merge
CEF38139B8CDE,crossref,Q4_recovery_replacement,discovered
C3A725981F459,crossref,Q4_recovery_replacement,exact_doi_merge
C9805FB4FB594,crossref,Q4_recovery_replacement,discovered
C9AB086F4D3FD,crossref,Q4_recovery_replacement,discovered
C4F5F4BAE6DDF,crossref,Q4_recovery_replacement,exact_doi_merge
C322F7AE4DFE0,crossref,Q4_recovery_replacement,discovered
C6472DA864A83,crossref,Q4_recovery_replacement,discovered
C5C227E8B1C7F,crossref,Q4_recovery_replacement,discovered
CE044CF9A86EA,crossref,Q4_recovery_replacement,discovered
CC375E3157D9F,crossref,Q4_recovery_replacement,discovered
CC92204905BE0,crossref,Q4_recovery_replacement,discovered
C9D327269DD93,crossref,Q4_recovery_replacement,discovered
C0DFEF2DDE3E6,crossref,Q4_recovery_replacement,discovered
C7C4B3F758B85,crossref,Q4_recovery_replacement,discovered
CA96697F41316,crossref,Q4_recovery_replacement,discovered
C9ECC32B85296,crossref,Q4_recovery_replacement,discovered
CB7989ECDF054,openalex,Q4_recovery_replacement,discovered
CF96D637026B4,crossref,Q5_heterogeneous_local,exact_doi_merge
C7ACE3A84F8C2,crossref,Q5_heterogeneous_local,discovered
C56E7119D304C,crossref,Q5_heterogeneous_local,discovered
CD58E548508B0,crossref,Q5_heterogeneous_local,discovered
C1758BD935FD5,crossref,Q5_heterogeneous_local,exact_doi_merge
C24185FFD0683,crossref,Q5_heterogeneous_local,discovered
CE36492A28569,crossref,Q5_heterogeneous_local,discovered
C90D31E8AFA02,crossref,Q5_heterogeneous_local,discovered
C9B14DC8CEC46,crossref,Q5_heterogeneous_local,discovered
C0A9C8E38BE27,crossref,Q5_heterogeneous_local,discovered
C06533AF1CA5D,crossref,Q5_heterogeneous_local,discovered
C12B4ECA22A84,crossref,Q5_heterogeneous_local,discovered
C467911FC59C7,crossref,Q5_heterogeneous_local,discovered
C8A17DA683B94,crossref,Q5_heterogeneous_local,discovered
C96F294D621AC,crossref,Q5_heterogeneous_local,exact_doi_merge
CC1697E0C2E40,crossref,Q5_heterogeneous_local,exact_doi_merge
C7A244E16373D,crossref,Q5_heterogeneous_local,discovered
CB0E0B5DC7869,crossref,Q5_heterogeneous_local,discovered
CA8C1701D70AB,crossref,Q5_heterogeneous_local,discovered
C91DAA10AB052,crossref,Q5_heterogeneous_local,discovered
CEB58FC14F568,crossref,Q5_heterogeneous_local,discovered
CB010FC862245,crossref,Q5_heterogeneous_local,discovered
CD73E34F5903F,crossref,Q5_heterogeneous_local,discovered
CD4736931A564,crossref,Q5_heterogeneous_local,discovered
CC365410253DF,crossref,Q5_heterogeneous_local,discovered
CDB5890569C65,openalex,Q5_heterogeneous_local,discovered
C1E34C4925F5C,openalex,Q5_heterogeneous_local,discovered
C8620A2DF94BF,openalex,Q5_heterogeneous_local,discovered
C3EF72778D75A,openalex,Q5_heterogeneous_local,discovered
C2A3DD50E6830,openalex,Q5_heterogeneous_local,discovered
CC1697E0C2E40,openalex,Q5_heterogeneous_local,exact_doi_merge
C1FED6B0DC6B4,openalex,Q5_heterogeneous_local,discovered
C20FBE73D7292,openalex,Q5_heterogeneous_local,discovered
CD9E8C3865AB6,openalex,Q5_heterogeneous_local,discovered
C9A98F3EFEE56,openalex,Q5_heterogeneous_local,discovered
CD3F5AE83E98C,openalex,Q5_heterogeneous_local,discovered
CF1331F6D8F85,openalex,Q5_heterogeneous_local,exact_doi_merge
CCE288522BB14,openalex,Q5_heterogeneous_local,discovered
C85B2ACA511C4,openalex,Q5_heterogeneous_local,discovered
CA9EA6431B5EC,openalex,Q5_heterogeneous_local,discovered
C46EB2C3DF5F6,openalex,Q5_heterogeneous_local,exact_doi_merge
C2929EFAEA5D5,openalex,Q5_heterogeneous_local,discovered
C7ACE3A84F8C2,openalex,Q5_heterogeneous_local,possible_duplicate_100.0
C9552C4CABB54,openalex,Q5_heterogeneous_local,discovered
C0C34B3D7DD20,openalex,Q5_heterogeneous_local,discovered
C92E355D0FFAD,openalex,Q5_heterogeneous_local,discovered
C4E676F926E1D,openalex,Q5_heterogeneous_local,discovered
C578CEE39B1B2,openalex,Q5_heterogeneous_local,discovered
CD4F0CFD7E495,openalex,Q5_heterogeneous_local,discovered
C1C4136C35D33,openalex,Q5_heterogeneous_local,discovered
C321A5B5AEA69,openalex,Q5_heterogeneous_local,discovered
C0BAB5E96593B,crossref,Q6_network_imperfect,discovered
CA16DF834DDE7,crossref,Q6_network_imperfect,discovered
CE8AA9D7499C9,crossref,Q6_network_imperfect,discovered
C22E958FDA806,crossref,Q6_network_imperfect,discovered
C91A4294CAB8E,crossref,Q6_network_imperfect,discovered
C1E395479C419,crossref,Q6_network_imperfect,exact_doi_merge
CFA3ED1756E20,crossref,Q6_network_imperfect,discovered
C09E45479F99C,crossref,Q6_network_imperfect,discovered
C5BE5CF60CE14,crossref,Q6_network_imperfect,discovered
CADFC0AC6330F,crossref,Q6_network_imperfect,discovered
C818178BED766,crossref,Q6_network_imperfect,discovered
C41F7C8CC14A1,crossref,Q6_network_imperfect,discovered
CE5E97DAA1583,crossref,Q6_network_imperfect,discovered
C16F859BABFB3,crossref,Q6_network_imperfect,discovered
C3690F30F61FD,crossref,Q6_network_imperfect,discovered
CA492F36EE5EB,crossref,Q6_network_imperfect,discovered
C9F7D8B263B8C,crossref,Q6_network_imperfect,exact_doi_merge
C198BA04A2E3E,crossref,Q6_network_imperfect,discovered
C980AAB7A17C7,crossref,Q6_network_imperfect,discovered
C579B64A45269,crossref,Q6_network_imperfect,discovered
C56246723FE6E,crossref,Q6_network_imperfect,discovered
C3C0DDA383C6E,crossref,Q6_network_imperfect,discovered
C3BF2A99B0DC5,crossref,Q6_network_imperfect,discovered
C6AC6BA3A5DD5,crossref,Q6_network_imperfect,discovered
C639C30C86C3C,crossref,Q6_network_imperfect,discovered
C367C3E76B3D0,openalex,Q6_network_imperfect,discovered
C50DEEC6018D6,openalex,Q6_network_imperfect,discovered
C3A38B6F9A149,openalex,Q6_network_imperfect,discovered
C095BFE0E2C0D,openalex,Q6_network_imperfect,discovered
C2B6004D05A06,openalex,Q6_network_imperfect,discovered
C7FAE40D44DC1,openalex,Q6_network_imperfect,discovered
CE3EC521638F5,openalex,Q6_network_imperfect,discovered
C1CFFB8743D82,openalex,Q6_network_imperfect,discovered
C30FFB251C7D6,openalex,Q6_network_imperfect,discovered
C9EB1691A1878,openalex,Q6_network_imperfect,discovered
CFC5E4FDC7058,openalex,Q6_network_imperfect,discovered
C12FE7F5876C1,openalex,Q6_network_imperfect,discovered
C8A05DE4EFEBD,openalex,Q6_network_imperfect,discovered
C33AC3BEE0DA8,openalex,Q6_network_imperfect,discovered
CB1A11959DD1E,openalex,Q6_network_imperfect,discovered
C29875636CA8F,openalex,Q6_network_imperfect,discovered
CD573371442B8,openalex,Q6_network_imperfect,discovered
CCFE8ABE83AD1,openalex,Q6_network_imperfect,discovered
CAAEF2AD810C4,openalex,Q6_network_imperfect,discovered
CEDEA7E0AF2EB,openalex,Q6_network_imperfect,discovered
C04A83D345E8A,openalex,Q6_network_imperfect,discovered
CE7932A8945FD,openalex,Q6_network_imperfect,discovered
C88001BA5D097,openalex,Q6_network_imperfect,discovered
CF6F8F5117640,openalex,Q6_network_imperfect,discovered
C45F5123CB722,openalex,Q6_network_imperfect,discovered
C64E3848C7D11,crossref,Q7_counterexample_full_conjunction,exact_doi_merge
C810711330731,crossref,Q7_counterexample_full_conjunction,discovered
CAE6314B742CD,crossref,Q7_counterexample_full_conjunction,discovered
CBDFC6904FFF5,crossref,Q7_counterexample_full_conjunction,exact_doi_merge
CCEDEBBEF2649,crossref,Q7_counterexample_full_conjunction,discovered
CBCE740BEC0FD,crossref,Q7_counterexample_full_conjunction,discovered
C7BCBEFF96FB9,crossref,Q7_counterexample_full_conjunction,discovered
CED945C1731C7,crossref,Q7_counterexample_full_conjunction,discovered
C16A38E1DD34B,crossref,Q7_counterexample_full_conjunction,discovered
C7936287BFACF,crossref,Q7_counterexample_full_conjunction,discovered
C4502B5FCC564,crossref,Q7_counterexample_full_conjunction,discovered
CC1DE2BCE2CA9,crossref,Q7_counterexample_full_conjunction,discovered
CCCC4800B1DB7,crossref,Q7_counterexample_full_conjunction,discovered
CB475AB66D923,crossref,Q7_counterexample_full_conjunction,discovered
C0FEBC6972B65,crossref,Q7_counterexample_full_conjunction,discovered
C3C0716914F63,crossref,Q7_counterexample_full_conjunction,discovered
CC0188B0E5110,crossref,Q7_counterexample_full_conjunction,discovered
C6AB7B07FCE77,crossref,Q7_counterexample_full_conjunction,discovered
C6EFE20F092AD,crossref,Q7_counterexample_full_conjunction,discovered
CB577975552DE,crossref,Q7_counterexample_full_conjunction,discovered
C69FD4B70334B,crossref,Q7_counterexample_full_conjunction,discovered
CE4485592FADC,crossref,Q7_counterexample_full_conjunction,discovered
CA969994974B8,crossref,Q7_counterexample_full_conjunction,discovered
CE61E915284A0,crossref,Q7_counterexample_full_conjunction,discovered
C1CCC53BE5D98,crossref,Q7_counterexample_full_conjunction,discovered
C46EB2C3DF5F6,crossref;openalex,Q1_coalition_transport;Q5_heterogeneous_local,possible_duplicate_100.0
C0B7B4699C41A,openalex,Q2_sharedload_distributed,possible_duplicate_100.0
CF86B622F56A8,crossref,Q3_physical_certificate,possible_duplicate_94.5
CF86B622F56A8,crossref,Q3_physical_certificate,possible_duplicate_94.5
C7ACE3A84F8C2,openalex,Q5_heterogeneous_local,possible_duplicate_100.0
