candidate_id,title,original_doi,recovered_doi,status,method,observations
CCE288522BB14,Multi-robot task allocation using affect,,,not_recovered,,"[{""accepted"": false, ""doi"": ""10.12681/eadd/40981"", ""reason"": ""title_below_threshold"", ""score"": 61.66666666666667, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/icnc.2008.42"", ""reason"": ""title_below_threshold"", ""score"": 70.47619047619047, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/gcon69192.2026.11648381"", ""reason"": ""title_below_threshold"", ""score"": 56.060606060606055, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1201/9781003026686-1"", ""reason"": ""title_below_threshold"", ""score"": 53.73134328358209, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.5220/0006197305670574"", ""reason"": ""title_below_threshold"", ""score"": 46.95652173913043, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1016/s0921-8890(02)00372-x"", ""reason"": ""title_below_threshold"", ""score"": 35.44303797468354, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1093/nsr/nwx105"", ""reason"": ""title_below_threshold"", ""score"": 45.945945945945944, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1007/s10514-019-09828-5"", ""reason"": ""title_below_threshold"", ""score"": 57.6271186440678, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1016/j.robot.2013.09.004"", ""reason"": ""title_below_threshold"", ""score"": 36.7816091954023, ""source"": ""openalex""}]"
C15D384364403,Multi-robot cooperation coalition formation based on genetic algorithm,,10.1109/icmlc.2006.258820,recovered,crossref;openalex,"[{""accepted"": true, ""doi"": ""10.1109/icmlc.2006.258820"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1145/1543834.1543874"", ""reason"": ""title_below_threshold"", ""score"": 48.529411764705884, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/smc.2016.7844232"", ""reason"": ""title_below_threshold"", ""score"": 66.28571428571428, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1007/4-431-35881-1_23"", ""reason"": ""title_below_threshold"", ""score"": 54.385964912280706, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/lra.2025.3592080/mm1"", ""reason"": ""title_below_threshold"", ""score"": 47.61904761904761, ""source"": ""crossref""}, {""accepted"": true, ""doi"": ""10.1109/icmlc.2006.258820"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/smc.2016.7844232"", ""reason"": ""title_below_threshold"", ""score"": 66.28571428571428, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1016/j.eswa.2021.114660"", ""reason"": ""title_below_threshold"", ""score"": 42.028985507246375, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/comst.2016.2610578"", ""reason"": ""title_below_threshold"", ""score"": 48.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1016/j.robot.2023.104492"", ""reason"": ""title_below_threshold"", ""score"": 44.84848484848485, ""source"": ""openalex""}]"
C96992034C2F2,Multi-robot task allocation with tightly coordinated tasks and deadlines using market-based methods,,10.5220/0001635800540063,recovered,crossref,"[{""accepted"": true, ""doi"": ""10.5220/0001635800540063"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1016/j.robot.2021.103905"", ""reason"": ""title_below_threshold"", ""score"": 58.36909871244635, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.2316/journal.206.2012.4.206-3651"", ""reason"": ""title_below_threshold"", ""score"": 52.57142857142857, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.15607/rss.2013.ix.033"", ""reason"": ""title_below_threshold"", ""score"": 47.337278106508876, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.12681/eadd/40981"", ""reason"": ""title_below_threshold"", ""score"": 52.513966480446925, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1016/j.robot.2023.104492"", ""reason"": ""title_below_threshold"", ""score"": 46.391752577319586, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/jproc.2006.876939"", ""reason"": ""title_below_threshold"", ""score"": 44.5859872611465, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1016/j.robot.2010.03.011"", ""reason"": ""title_below_threshold"", ""score"": 39.24050632911392, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1145/3611652"", ""reason"": ""title_below_threshold"", ""score"": 37.41935483870967, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/access.2020.3001277"", ""reason"": ""title_below_threshold"", ""score"": 39.62264150943396, ""source"": ""openalex""}]"
CBC21E5156E47,Multi-robot Cooperative Pursuit Based on Task Bundle Auctions,,10.1007/978-3-540-88513-9_26,recovered,crossref;openalex,"[{""accepted"": true, ""doi"": ""10.1007/978-3-540-88513-9_26"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/mrs.2017.8250928"", ""reason"": ""title_below_threshold"", ""score"": 52.17391304347826, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.22541/au.172483255.51915007/v1"", ""reason"": ""title_below_threshold"", ""score"": 45.070422535211264, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.2139/ssrn.4578054"", ""reason"": ""title_below_threshold"", ""score"": 54.64480874316939, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.21203/rs.3.rs-10804325/v1"", ""reason"": ""title_below_threshold"", ""score"": 38.095238095238095, ""source"": ""crossref""}, {""accepted"": true, ""doi"": ""10.1007/978-3-540-88513-9_26"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/jproc.2006.876939"", ""reason"": ""title_below_threshold"", ""score"": 50.42016806722689, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1155/2016/5192423"", ""reason"": ""title_below_threshold"", ""score"": 51.33689839572193, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1007/s10846-023-02011-0"", ""reason"": ""title_below_threshold"", ""score"": 40.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.3390/robotics14070093"", ""reason"": ""title_below_threshold"", ""score"": 37.5, ""source"": ""openalex""}]"
C12FE7F5876C1,Analysis of Energy-Delay Performance in Multi-hop Wireless Sensor Networks,,,not_recovered,,"[{""accepted"": false, ""doi"": ""10.3724/sp.j.1087.2010.00134"", ""reason"": ""title_below_threshold"", ""score"": 65.57377049180329, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.5772/13973"", ""reason"": ""title_below_threshold"", ""score"": 59.25925925925925, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.2139/ssrn.4852996"", ""reason"": ""title_below_threshold"", ""score"": 65.15151515151516, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/ewsn.2005.1461997"", ""reason"": ""title_below_threshold"", ""score"": 71.94244604316546, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1007/0-306-47311-9_5"", ""reason"": ""title_below_threshold"", ""score"": 56.73758865248226, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1145/313451.313529"", ""reason"": ""title_below_threshold"", ""score"": 60.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/jsac.2022.3156632"", ""reason"": ""title_below_threshold"", ""score"": 45.88235294117647, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1145/356989.356998"", ""reason"": ""title_below_threshold"", ""score"": 41.269841269841265, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1145/863955.863960"", ""reason"": ""title_below_threshold"", ""score"": 42.64705882352941, ""source"": ""openalex""}]"
CDD4E0C14B5AF,Quantum Evolutionary Algorithm for Multi-Robot Coalition Formation,,10.1145/1543834.1543874,recovered,crossref;openalex,"[{""accepted"": true, ""doi"": ""10.1145/1543834.1543874"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.4304/jsw.8.12.2991-2995"", ""reason"": ""title_below_threshold"", ""score"": 76.51006711409396, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/icmlc.2006.258820"", ""reason"": ""title_below_threshold"", ""score"": 48.529411764705884, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/lra.2025.3592080/mm1"", ""reason"": ""title_below_threshold"", ""score"": 47.5609756097561, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1007/1-4020-3389-3_2"", ""reason"": ""title_below_threshold"", ""score"": 67.28971962616824, ""source"": ""crossref""}, {""accepted"": true, ""doi"": ""10.1145/1543834.1543874"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/twc.2019.2935201"", ""reason"": ""title_below_threshold"", ""score"": 44.75524475524476, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/access.2021.3061149"", ""reason"": ""title_below_threshold"", ""score"": 45.12195121951219, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/access.2020.2971585"", ""reason"": ""title_below_threshold"", ""score"": 38.775510204081634, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1016/j.artint.2015.02.004"", ""reason"": ""title_below_threshold"", ""score"": 48.484848484848484, ""source"": ""openalex""}]"
CDB8A76C6538C,A Fast Distributed Auction and Consensus Process Using Parallel Task Allocation and Execution,,,ambiguous,,"[{""accepted"": true, ""doi"": ""10.1109/iros.2011.6094948"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.32657/10356/160001"", ""reason"": ""title_below_threshold"", ""score"": 49.673202614379086, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/tase.2026.3722233/mm1"", ""reason"": ""title_below_threshold"", ""score"": 44.64285714285714, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1016/j.jpdc.2024.104939"", ""reason"": ""title_below_threshold"", ""score"": 48.86363636363637, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/pdp.2014.87"", ""reason"": ""title_below_threshold"", ""score"": 54.87804878048781, ""source"": ""crossref""}, {""accepted"": true, ""doi"": ""10.1109/iros.2011.6094948"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": true, ""doi"": ""10.1109/iros.2011.6048635"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1145/174666.174668"", ""reason"": ""title_below_threshold"", ""score"": 36.76470588235294, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1016/j.robot.2010.03.011"", ""reason"": ""title_below_threshold"", ""score"": 44.73684210526315, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/access.2019.2896108"", ""reason"": ""title_below_threshold"", ""score"": 49.16201117318436, ""source"": ""openalex""}]"
C1CDA94DCAF56,Bio-inspired Decentralized Self-coordination Algorithms for Multi-heterogeneous Specialized Tasks Distribution in Multi-Robot Systems,,,not_recovered,,"[{""accepted"": false, ""doi"": ""10.1007/978-3-642-21344-1_4"", ""reason"": ""first_author_incompatible"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.20868/upm.thesis.14922"", ""reason"": ""title_below_threshold"", ""score"": 69.0909090909091, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.5772/5481"", ""reason"": ""title_below_threshold"", ""score"": 35.78947368421053, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.5220/0001634100140023"", ""reason"": ""title_below_threshold"", ""score"": 37.569060773480665, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.5772/13104"", ""reason"": ""title_below_threshold"", ""score"": 54.82233502538071, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1007/978-3-642-21344-1_4"", ""reason"": ""first_author_incompatible"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/access.2020.3030190"", ""reason"": ""title_below_threshold"", ""score"": 38.76651982378855, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1007/s10846-021-01378-2"", ""reason"": ""title_below_threshold"", ""score"": 41.379310344827594, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.3390/s23073625"", ""reason"": ""title_below_threshold"", ""score"": 43.80952380952381, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/comst.2016.2610578"", ""reason"": ""title_below_threshold"", ""score"": 41.17647058823529, ""source"": ""openalex""}]"
CE994AEF55E2E,Multi-agent Coalition Formation for Distributed Area Coverage,,10.1007/978-3-642-22427-0_1,recovered,crossref;openalex,"[{""accepted"": false, ""doi"": ""10.1109/wi-iat.2010.277"", ""reason"": ""title_below_threshold"", ""score"": 83.56164383561644, ""source"": ""crossref""}, {""accepted"": true, ""doi"": ""10.1007/978-3-642-22427-0_1"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/race.2015.7097274"", ""reason"": ""title_below_threshold"", ""score"": 85.1063829787234, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/aero66936.2026.11520127"", ""reason"": ""title_below_threshold"", ""score"": 40.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.70675/62ce1b4dzb594z487az87f8z50d07462d5d8"", ""reason"": ""title_below_threshold"", ""score"": 51.65562913907284, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/wi-iat.2010.277"", ""reason"": ""title_below_threshold"", ""score"": 83.56164383561644, ""source"": ""openalex""}, {""accepted"": true, ""doi"": ""10.1007/978-3-642-22427-0_1"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/twc.2019.2935201"", ""reason"": ""title_below_threshold"", ""score"": 49.27536231884058, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.14198/jopha.2008.2.1.02"", ""reason"": ""title_below_threshold"", ""score"": 36.0, ""source"": ""openalex""}]"
CEA16573FF54C,Multi-Robot Assignment Algorithm for Tasks with Set Precedence Constraints,,10.1109/icra.2011.5980500,recovered,crossref;openalex,"[{""accepted"": true, ""doi"": ""10.1109/icra.2011.5980500"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1080/01691864.2017.1396922"", ""reason"": ""title_below_threshold"", ""score"": 67.5, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.23919/ccc63176.2024.10661715"", ""reason"": ""title_below_threshold"", ""score"": 53.16455696202531, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.1109/smc42975.2020.9283215"", ""reason"": ""title_below_threshold"", ""score"": 64.73988439306359, ""source"": ""crossref""}, {""accepted"": false, ""doi"": ""10.2514/6.2018-1859"", ""reason"": ""title_below_threshold"", ""score"": 48.453608247422686, ""source"": ""crossref""}, {""accepted"": true, ""doi"": ""10.1109/icra.2011.5980500"", ""reason"": ""accepted_metadata_match"", ""score"": 100.0, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1007/s11042-020-10139-6"", ""reason"": ""title_below_threshold"", ""score"": 50.39370078740157, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/tase.2022.3175040"", ""reason"": ""title_below_threshold"", ""score"": 45.945945945945944, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/icra.2013.6630994"", ""reason"": ""title_below_threshold"", ""score"": 50.314465408805034, ""source"": ""openalex""}, {""accepted"": false, ""doi"": ""10.1109/lra.2021.3074883"", ""reason"": ""title_below_threshold"", ""score"": 44.57831325301205, ""source"": ""openalex""}]"
