source,request_kind,request_fingerprint,status,http_status,attempts,error,cache_file,url,params,elapsed_ms,retry_number,retrieved_at_utc
crossref,discovery,19c3921971869170a9c794a1b89ba137291fb345889f918bc8b2c45276e25013,cache_hit,,0,,cache\crossref\19c3921971869170a9c794a1b89ba137291fb345889f918bc8b2c45276e25013.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(\""population game\"" OR \""evolutionary game\"" OR \""potential game\"" OR replicator OR logit) AND (\""multi-robot\"" OR MRTA OR coalition)"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.636507+00:00
openalex,discovery,352e3d783f34ab596f18aa05db20788db7854dd3f89b5c36a83d60a0d44aedac,cache_hit,,0,,cache\openalex\352e3d783f34ab596f18aa05db20788db7854dd3f89b5c36a83d60a0d44aedac.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""population game evolutionary game potential game replicator logit multi-robot MRTA coalition""}",0,0,2026-09-12T20:56:47.638133+00:00
crossref,discovery,c96be41f0ee631118c70c32f1c321de78ba05bf32dfcd139b168a67a41b06366,cache_hit,,0,,cache\crossref\c96be41f0ee631118c70c32f1c321de78ba05bf32dfcd139b168a67a41b06366.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(\""multi-robot\"" OR \""mobile robot\"") AND (\""cooperative transport\"" OR payload) AND (\""collision avoidance\"" OR \""control barrier function\"" OR CBF OR safety)"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.638852+00:00
openalex,discovery,e0e2ba71e008a2b77b132ad6866ec0396b845b98d0b224b6750777d115b5b145,cache_hit,,0,,cache\openalex\e0e2ba71e008a2b77b132ad6866ec0396b845b98d0b224b6750777d115b5b145.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""multi-robot mobile robot cooperative transport payload collision avoidance control barrier function CBF safety""}",0,0,2026-09-12T20:56:47.646391+00:00
crossref,discovery,a03b7844b584f239893e143137bff2933fc19513e714fc80f38fccef2f6cd9d9,cache_hit,,0,,cache\crossref\a03b7844b584f239893e143137bff2933fc19513e714fc80f38fccef2f6cd9d9.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(\""multi-robot\"" OR AMR OR AGV) AND (warehouse OR intralogistics OR \""industrial logistics\"" OR factory) AND (transport OR \""task allocation\"" OR coalition)"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.649526+00:00
openalex,discovery,0341546ca2a01b307927dba3ada8d1f977b9d28c08528d40ffb39ec9303f9d1c,cache_hit,,0,,cache\openalex\0341546ca2a01b307927dba3ada8d1f977b9d28c08528d40ffb39ec9303f9d1c.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""multi-robot AMR AGV warehouse intralogistics industrial logistics factory transport task allocation coalition""}",0,0,2026-09-12T20:56:47.651277+00:00
crossref,discovery,ef4dfbea798f9c4be208a91ddc268485eafe949656643c26866f0d90366e6fb2,cache_hit,,0,,cache\crossref\ef4dfbea798f9c4be208a91ddc268485eafe949656643c26866f0d90366e6fb2.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(\""multi-robot\"" OR \""mobile robot\"") AND (formation OR docking OR \""cooperative motion\"") AND (transport OR payload)"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.652717+00:00
openalex,discovery,e01f7779ff547f597eeb91024790e4116fbb218b1d8f7a5afdbf150047a85bc1,cache_hit,,0,,cache\openalex\e01f7779ff547f597eeb91024790e4116fbb218b1d8f7a5afdbf150047a85bc1.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""multi-robot mobile robot formation docking cooperative motion transport payload""}",0,0,2026-09-12T20:56:47.664824+00:00
crossref,discovery,f8a4c49323208e9e400ff286ccf15c6e1394e4ee8dc92f0e5d95a9298b4dff1a,cache_hit,,0,,cache\crossref\f8a4c49323208e9e400ff286ccf15c6e1394e4ee8dc92f0e5d95a9298b4dff1a.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(\""multi-agent robotic\"" OR \""multi-agent robot\"" OR \""multiagent robot\"") AND (coordination OR allocation OR cooperation)"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.666801+00:00
openalex,discovery,df23f3f1398cb71bca60ccc63413eed4984f3a3c8c188ede40bcf03a5dcedb35,cache_hit,,0,,cache\openalex\df23f3f1398cb71bca60ccc63413eed4984f3a3c8c188ede40bcf03a5dcedb35.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""multi-agent robotic multi-agent robot multiagent robot coordination allocation cooperation""}",0,0,2026-09-12T20:56:47.674461+00:00
crossref,discovery,8e43a70c6f3b0c10136d6cc8de7f3acd222e8435eb1cda5e74e3b49c442471dc,cache_hit,,0,,cache\crossref\8e43a70c6f3b0c10136d6cc8de7f3acd222e8435eb1cda5e74e3b49c442471dc.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(\""collective transport\"" OR \""cooperative object transport\"" OR \""shared payload\"" OR \""shared load\"") AND (robot OR \""multi-robot\"")"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.676599+00:00
openalex,discovery,a6c657cd35d1aef8545763da43b3f2a722a7776c166098ad90b6320b92e2d42b,cache_hit,,0,,cache\openalex\a6c657cd35d1aef8545763da43b3f2a722a7776c166098ad90b6320b92e2d42b.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""collective transport cooperative object transport shared payload shared load robot multi-robot""}",0,0,2026-09-12T20:56:47.686700+00:00
crossref,discovery,d07f86d4e20d1c49bf6296f12428bce2d39e186feb299db2c41156dd409d66d5,cache_hit,,0,,cache\crossref\d07f86d4e20d1c49bf6296f12428bce2d39e186feb299db2c41156dd409d66d5.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(\""multi-robot\"" OR \""mobile robot\"") AND (\""force allocation\"" OR wrench OR \""force closure\"" OR \""contact feasibility\"")"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.688849+00:00
openalex,discovery,149dbb89e8f935689ce7bd50705598273cfca2986e28dd84e354d6d13180a635,cache_hit,,0,,cache\openalex\149dbb89e8f935689ce7bd50705598273cfca2986e28dd84e354d6d13180a635.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""multi-robot mobile robot force allocation wrench force closure contact feasibility""}",0,0,2026-09-12T20:56:47.695783+00:00
crossref,discovery,581d17120bd52a6dd9d69c3e7ef656359747c2f11e91afab16d4ee256fde2262,cache_hit,,0,,cache\crossref\581d17120bd52a6dd9d69c3e7ef656359747c2f11e91afab16d4ee256fde2262.json,https://api.crossref.org/works,"{""mailto"": ""[REDACTED]"", ""query.bibliographic"": ""(AMR OR AGV OR \""autonomous mobile robot\"") AND (warehouse OR intralogistics OR logistics) AND (task OR transport OR fleet)"", ""rows"": 25, ""select"": ""DOI,title,author,published-print,published-online,issued,container-title,type,is-referenced-by-count,abstract""}",0,0,2026-09-12T20:56:47.700314+00:00
openalex,discovery,62bc5b1a8268bd127b8be4ff2fcf03544d4aa3b3cbafbc0518e6a4e7acfeeb4b,cache_hit,,0,,cache\openalex\62bc5b1a8268bd127b8be4ff2fcf03544d4aa3b3cbafbc0518e6a4e7acfeeb4b.json,https://api.openalex.org/works,"{""per-page"": 25, ""search"": ""AMR AGV autonomous mobile robot warehouse intralogistics logistics task transport fleet""}",0,0,2026-09-12T20:56:47.710233+00:00
openalex,stage1b_anchor_detail,74403324f5b15ca59d6d37220af93b93c65c92037da8e97803f155f1d3bc0117,cache_hit,,0,,cache\openalex\74403324f5b15ca59d6d37220af93b93c65c92037da8e97803f155f1d3bc0117.json,https://api.openalex.org/works/W4410956649,{},0,0,2026-09-12T20:56:49.625685+00:00
openalex,stage1b_recall_backward,6fbad68cd32026b4f578a892af7297e66546949176b25963762b8611e48fcc1e,cache_hit,,0,,cache\openalex\6fbad68cd32026b4f578a892af7297e66546949176b25963762b8611e48fcc1e.json,https://api.openalex.org/works,"{""filter"": ""openalex:W1430617670|W1707207708|W2021506744|W2061990382|W2076422387|W2083960593|W2122846259|W2129799459|W2142544818|W2151408086|W2293292238|W2345888804|W2997111539|W3005448462|W3013247350|W3041866381|W3104757324|W3150974680|W3161816291|W3172861927|W3198723631|W4200033681|W4283311409|W4283582575|W4296743852|W4379382635|W4387307873|W4391130952|W4391143932|W4393036705|W4401161932|W4404996572|W4405184566|W4405248305|W4405394907|W4405933429|W4406137826|W4407568051|W4410515905"", ""per-page"": 100}",0,0,2026-09-12T20:56:49.636619+00:00
