capacity_mode,milp_feasible_float_n,milp_feasible_float_mean,milp_feasible_float_median,milp_feasible_float_p05,milp_feasible_float_p95,milp_optimal_float_n,milp_optimal_float_mean,milp_optimal_float_median,milp_optimal_float_p05,milp_optimal_float_p95,milp_total_excess_kg_n,milp_total_excess_kg_mean,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_n,milp_assigned_robot_count_mean,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95
extreme,20,1.0,1.0,1.0,1.0,20,0.7,1.0,0.0,1.0,20,79.96813368609209,84.83010598794274,16.77031309549344,157.4715620802402,20,60.0,58.5,20.0,100.70000000000002
high,20,1.0,1.0,1.0,1.0,20,0.55,1.0,0.0,1.0,20,45.625268154760356,43.99278661390409,16.043955236717913,82.04053834792524,20,69.8,67.5,24.95,119.05
homogeneous,20,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,1.0,20,81.72174069995997,74.3852150389968,29.71607877305567,141.07171535971648,20,100.0,100.0,40.0,160.0
low,20,1.0,1.0,1.0,1.0,20,0.5,0.5,0.0,1.0,20,46.661370132458956,43.43009374763664,12.527247106801148,86.2784555674019,20,91.2,90.0,35.0,149.05
moderate,2360,0.565677966101695,1.0,0.0,1.0,2360,0.44364406779661014,0.0,0.0,1.0,1335,19.871093657587572,13.721816463924212,2.368768260007924,54.233418139423414,2360,26.071186440677966,12.0,0.0,107.04999999999973
