arm,N,K,observed_time_seconds_n,observed_time_seconds_mean,observed_time_seconds_median,observed_time_seconds_p05,observed_time_seconds_p95,optimal_float_n,optimal_float_mean,optimal_float_median,optimal_float_p05,optimal_float_p95,censored_float_n,censored_float_mean,censored_float_median,censored_float_p05,censored_float_p95,binary_variable_count_n,binary_variable_count_mean,binary_variable_count_median,binary_variable_count_p05,binary_variable_count_p95,explicit_model_bytes_n,explicit_model_bytes_mean,explicit_model_bytes_median,explicit_model_bytes_p05,explicit_model_bytes_p95
fixed_demand,120,40,3,5.034681966666667,5.033381,5.0308196899999995,5.03945492,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,4800.0,4800.0,4800.0,4800.0,3,212484.0,212484.0,212484.0,212484.0
fixed_demand,160,40,3,4.7282858,5.0311117,4.2093973,5.035196170000001,3,0.3333333333333333,0.0,0.0,0.8999999999999999,3,0.6666666666666666,1.0,0.1,1.0,3,6400.0,6400.0,6400.0,6400.0,3,283044.0,283044.0,283044.0,283044.0
fixed_demand,220,40,3,5.051574666666667,5.0516633,5.04938504,5.053702250000001,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,8800.0,8800.0,8800.0,8800.0,3,388884.0,388884.0,388884.0,388884.0
fixed_demand,300,40,3,4.1109738,3.7480454,3.55364486,4.92235262,3,0.6666666666666666,1.0,0.1,1.0,3,0.3333333333333333,0.0,0.0,0.8999999999999999,3,12000.0,12000.0,12000.0,12000.0,3,530004.0,530004.0,530004.0,530004.0
fixed_demand,400,40,3,4.957872533333333,5.0774806,4.70349442,5.128525,3,0.3333333333333333,0.0,0.0,0.8999999999999999,3,0.6666666666666666,1.0,0.1,1.0,3,16000.0,16000.0,16000.0,16000.0,3,706404.0,706404.0,706404.0,706404.0
fixed_demand,550,40,3,5.136431966666667,5.1503423,5.1092924,5.1538343,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,22000.0,22000.0,22000.0,22000.0,3,971004.0,971004.0,971004.0,971004.0
fixed_demand,750,40,3,5.224746,5.1783752,5.1671948599999995,5.314756699999999,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,30000.0,30000.0,30000.0,30000.0,3,1323804.0,1323804.0,1323804.0,1323804.0
fixed_demand,1000,40,3,5.3615299,5.3135938,5.30666803,5.4499470400000005,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,40000.0,40000.0,40000.0,40000.0,3,1764804.0,1764804.0,1764804.0,1764804.0
fixed_demand,1400,40,3,5.347213633333333,5.3667086,5.29557071,5.385210079999999,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,56000.0,56000.0,56000.0,56000.0,3,2470404.0,2470404.0,2470404.0,2470404.0
fixed_demand,1900,40,3,5.728148866666667,5.5687263,5.437677030000001,6.1302165,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,76000.0,76000.0,76000.0,76000.0,3,3352404.0,3352404.0,3352404.0,3352404.0
fixed_demand,2600,40,3,5.835263866666668,5.8155933,5.656269,6.02802813,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,104000.0,104000.0,104000.0,104000.0,3,4587204.0,4587204.0,4587204.0,4587204.0
fixed_demand,3500,40,3,8.419485,7.6033155,6.13657353,11.27371512,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,140000.0,140000.0,140000.0,140000.0,3,6174804.0,6174804.0,6174804.0,6174804.0
fixed_demand,4800,40,3,17.464213166666667,16.5988887,10.88097621,24.65317725,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,192000.0,192000.0,192000.0,192000.0,3,8468004.0,8468004.0,8468004.0,8468004.0
joint_growth,60,13,3,0.7888770666666667,0.7748864,0.46714121,1.1204063899999999,3,1.0,1.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,780.0,780.0,780.0,780.0,3,34824.0,34824.0,34824.0,34824.0
joint_growth,90,20,3,2.1599421,2.4895641,0.80239836,3.28675044,3,1.0,1.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,1800.0,1800.0,1800.0,1800.0,3,79964.0,79964.0,79964.0,79964.0
joint_growth,135,30,3,3.4194866000000004,3.379374,2.00210805,4.864943970000001,3,0.6666666666666666,1.0,0.1,1.0,3,0.3333333333333333,0.0,0.0,0.8999999999999999,3,4050.0,4050.0,4050.0,4050.0,3,179344.0,179344.0,179344.0,179344.0
joint_growth,195,43,3,5.064140633333333,5.0685903,5.05569717,5.06946933,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,8385.0,8385.0,8385.0,8385.0,3,370584.0,370584.0,370584.0,370584.0
joint_growth,285,63,3,5.1439815,5.1299313,5.11631223,5.181485909999999,3,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,1.0,3,17955.0,17955.0,17955.0,17955.0,3,792424.0,792424.0,792424.0,792424.0
