method,target_pressure,n_worlds,closed_mean,closed_ci95_low,closed_ci95_high,completed_value_ratio_mean,completed_value_ratio_ci95_low,completed_value_ratio_ci95_high,partial_robot_fraction_mean,partial_robot_fraction_ci95_low,partial_robot_fraction_ci95_high,normalized_excess_mean,normalized_excess_ci95_low,normalized_excess_ci95_high,runtime_ms_median
greedy_q,0.75,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16814999980852008
greedy_q,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11300000187475234
greedy_q,1.25,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27129999944008887
milp_q,0.75,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70225000026403
milp_q,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6810499946586788
milp_q,1.25,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.389599991962314
smith_linear_qr,0.75,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002000062726438
smith_linear_qr,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08370000432478264
smith_linear_qr,1.25,2,1.0,1.0,1.0,0.8916060098556029,0.8267245050983075,0.9564875146128982,0.0,0.0,0.0,0.0,0.0,0.0,0.1427000024705194
smith_qr,0.75,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10309999925084412
smith_qr,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09885000326903537
smith_qr,1.25,2,1.0,1.0,1.0,0.8916060098556029,0.8267245050983075,0.9564875146128982,0.0,0.0,0.0,0.0,0.0,0.0,0.15810001059435308
smith_raw,0.75,2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.625,39.12865000165766
smith_raw,1.0,2,0.0,0.0,0.0,0.17448183413928675,0.0,0.3489636682785735,0.0625,0.0,0.125,0.3125,0.125,0.5,40.10364999703597
smith_raw,1.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.5,0.625,53.27740000211634
smith_raw_no_excess,0.75,2,0.5,0.0,1.0,0.6792652078350158,0.3585304156700316,1.0,0.125,0.0,0.25,0.0625,0.0,0.125,37.95085000456311
smith_raw_no_excess,1.0,2,0.0,0.0,0.0,0.37566899276748555,0.3489636682785735,0.40237431725639766,0.0625,0.0,0.125,0.125,0.125,0.125,41.000749995873775
smith_raw_no_excess,1.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.5,0.625,49.35694999585394
