id,candidate,reference,metric,n_pairs,mean_paired_difference,ci95_low,ci95_high,wilcoxon_p_two_sided
C-SP1-QR,smith_qr,smith_raw,partial_robot_fraction,2,0.0,0.0,0.0,1.0
C-SP1-BETA,smith_qr,smith_linear_qr,completed_value_ratio,2,0.0,0.0,0.0,1.0
C-SP1-GREEDY,smith_qr,greedy_q,completed_value_ratio,2,-0.10839399014439716,-0.17327549490169247,-0.04351248538710184,0.5
C-SP1-EXCESS,smith_raw,smith_raw_no_excess,normalized_excess,2,0.0,0.0,0.0,1.0
