experiment_id,world_id,seed,replicate,n_robots,n_loads,total_demand,target_pressure,demand_pressure,regime,quota_mixture,geometry,min_quota,max_quota,method,stage,closed,completed_loads,completed_value,completed_value_ratio,deficit,normalized_deficit,excess,normalized_excess,partial_robots,partial_robot_fraction,idle_robots,social_cost,objective,objective_gap,iterations,evaluations,runtime_s,converged,residual
SP1_QUORUM_v1_SMOKE,3b9bffccedf5ccf413a0,2026071602,0,8,3,8,1.0,1.0,critical,mixed,uniform,1,4,smith_linear_qr,CLOSED,True,3,4.322989356724193,1.0,0,0.0,0,0.0,0,0.0,0,2.829059543959468,3.898630425130273,0.012374155814822707,3,35,9.339999814983457e-05,True,
SP1_QUORUM_v1_SMOKE,3b9bffccedf5ccf413a0,2026071602,0,8,3,8,1.0,1.0,critical,mixed,uniform,1,4,smith_raw_no_excess,RAW,False,1,1.7394598909185708,0.40237431725639766,1,0.125,1,0.125,0,0.0,0,2.6099822397586214,1.3479625549547776,2.563042025990318,250,32000,0.03920719999587163,False,0.004900714148473599
SP1_QUORUM_v1_SMOKE,df52fd8ce98213995c52,2026071603,1,8,3,8,1.0,1.0,critical,mixed,uniform,2,3,milp_q,ORACLE,True,3,3.7822227570657043,1.0,0,0.0,0,0.0,0,0.0,0,1.510419882161995,3.555659774741405,0.0,1,27,0.0015508999931626022,True,
SP1_QUORUM_v1_SMOKE,df52fd8ce98213995c52,2026071603,1,8,3,8,1.0,1.0,critical,mixed,uniform,2,3,greedy_q,CLOSED,True,3,3.7822227570657043,1.0,0,0.0,0,0.0,0,0.0,0,1.510419882161995,3.555659774741405,0.0,3,36,0.00012250000145286322,True,
SP1_QUORUM_v1_SMOKE,df52fd8ce98213995c52,2026071603,1,8,3,8,1.0,1.0,critical,mixed,uniform,2,3,smith_raw,RAW,False,1,1.319858327552348,0.3489636682785735,1,0.125,1,0.125,1,0.125,0,1.417277999577365,1.1072666276157435,2.4483931471256617,250,32000,0.0363260000012815,False,0.005462571202268821
SP1_QUORUM_v1_SMOKE,df52fd8ce98213995c52,2026071603,1,8,3,8,1.0,1.0,critical,mixed,uniform,2,3,smith_qr,CLOSED,True,3,3.7822227570657043,1.0,0,0.0,0,0.0,0,0.0,0,1.510419882161995,3.555659774741405,0.0,3,36,8.590001380071044e-05,True,
SP1_QUORUM_v1_SMOKE,df52fd8ce98213995c52,2026071603,1,8,3,8,1.0,1.0,critical,mixed,uniform,2,3,smith_linear_qr,CLOSED,True,3,3.7822227570657043,1.0,0,0.0,0,0.0,0,0.0,0,1.510419882161995,3.555659774741405,0.0,3,36,7.40000104997307e-05,True,
SP1_QUORUM_v1_SMOKE,df52fd8ce98213995c52,2026071603,1,8,3,8,1.0,1.0,critical,mixed,uniform,2,3,smith_raw_no_excess,RAW,False,1,1.319858327552348,0.3489636682785735,1,0.125,1,0.125,1,0.125,0,1.417277999577365,1.1072666276157435,2.4483931471256617,250,32000,0.04279429999587592,False,0.005495931168020448
SP1_QUORUM_v1_SMOKE,01303b4f64192484404e,2026071604,0,8,5,10,1.25,1.25,scarcity,mixed,uniform,1,4,milp_q,ORACLE,True,4,5.910844124483434,1.0,4,0.4,0,0.0,0,0.0,2,0.7992461945651941,5.790957195298655,0.0,1,45,0.009327099993242882,True,
SP1_QUORUM_v1_SMOKE,01303b4f64192484404e,2026071604,0,8,5,10,1.25,1.25,scarcity,mixed,uniform,1,4,greedy_q,CLOSED,True,4,5.910844124483434,1.0,4,0.4,0,0.0,0,0.0,2,0.9681703041077249,5.765618578867276,0.025338616431379357,4,86,0.0002199000009568408,True,
