experiment_id,scenario_generator,scenario_variant_id,seed,method,time_s,entity,entity_id,x,y,theta_rad,phase,formation_error_m,wrench_residual_norm
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.0,payload,load-01,-7.8132577543758455,-4.402408365680162,-0.3141592653589793,0,7.099902066619287,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.0,robot,amr-01,-10.56,-5.800876156852868,,0,7.099902066619287,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.0,robot,amr-02,-10.56,-4.218111109738402,,0,7.099902066619287,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.0,robot,amr-03,-9.39473017762094,-5.511145184064419,,0,7.099902066619287,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.0,robot,amr-04,-9.02256184909578,-4.0821066989525665,,0,7.099902066619287,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.0,robot,amr-05,5.846993469702342,0.7453062437016618,,0,7.099902066619287,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.0,robot,amr-06,0.5031893877965257,-6.636877474008159,,0,7.099902066619287,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.9800000000000001,payload,load-01,-7.8132577543758455,-4.402408365680162,-0.3141592653589793,0,6.463714480633912,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.9800000000000001,robot,amr-01,-10.56,-5.800876156852868,,0,6.463714480633912,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.9800000000000001,robot,amr-02,-10.032052547167906,-3.883129070352642,,0,6.463714480633912,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.9800000000000001,robot,amr-03,-9.39473017762094,-5.511145184064419,,0,6.463714480633912,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.9800000000000001,robot,amr-04,-9.02256184909578,-4.0821066989525665,,0,6.463714480633912,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.9800000000000001,robot,amr-05,5.846993469702342,0.7453062437016618,,0,6.463714480633912,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,0.9800000000000001,robot,amr-06,-0.10171728811858095,-6.439843065857613,,0,6.463714480633912,1.0
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,classic_decentralized_apf_push,1.9600000000000002,payload,load-01,-7.8132577543758455,-4.402408365680162,-0.3141592653589793,0,5.827526894648536,1.0
