experiment_id,scenario_generator,scenario_variant_id,seed,method,method_family,method_scope,method_ownership,robot_id,robot_index,assigned_to_selected_load,assigned_load_label,assigned_slot_label,start_x,start_y,final_x,final_y,path_length_m,battery_fraction,max_speed_mps,force_limit_n,payload_kg,method_variant,method_comparison_group
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_push,sota,decentralized,baseline,amr-03,3,True,1,3,-9.39473017762094,-5.511145184064419,4.982562270945259,5.720936370346175,21.61772762607092,0.8660956384402602,0.7744241296852965,88.34742237868977,32.65013435734187,velocity_obstacle_push_drag,baseline_sota_decentralized_push_drag
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_push,sota,decentralized,baseline,amr-04,4,True,1,1,-9.02256184909578,-4.0821066989525665,2.9776758907641314,4.262652336241998,20.696200105255077,0.7543216415678167,0.8191259997319655,95.03619375228182,35.12207160410415,velocity_obstacle_push_drag,baseline_sota_decentralized_push_drag
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_push,sota,decentralized,baseline,amr-05,5,False,0,0,5.846993469702342,0.7453062437016618,5.810844212245852,1.1244325945719957,0.3871482956655013,0.944522509190613,0.7004034304935651,87.96600979907339,32.50917753444016,velocity_obstacle_push_drag,baseline_sota_decentralized_push_drag
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_push,sota,decentralized,baseline,amr-06,6,True,1,4,0.5031893877965257,-6.636877474008159,4.738975283946086,6.998629499827119,25.20792412489791,0.9692548282138105,0.7376943251221885,97.72957142438635,36.11745030901235,velocity_obstacle_push_drag,baseline_sota_decentralized_push_drag
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_cargo,sota,decentralized,baseline,amr-01,1,True,1,2,-10.56,-5.800876156852868,4.136208929366187,2.784558420324976,22.914100939448,0.8975968855981106,0.8606360216087781,91.89460447439775,33.96104947966874,velocity_obstacle_cargo,baseline_sota_decentralized_cargo
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_cargo,sota,decentralized,baseline,amr-02,2,False,2,1,-10.56,-4.218111109738402,-10.56,-4.218111109738402,0.0,0.7364622294680678,0.7250173830869037,103.02939099852026,38.07607928206183,velocity_obstacle_cargo,baseline_sota_decentralized_cargo
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_cargo,sota,decentralized,baseline,amr-03,3,True,1,3,-9.39473017762094,-5.511145184064419,6.836028946080866,3.3670775943247393,23.811812632728827,0.8660956384402602,0.7744241296852965,88.34742237868977,32.65013435734187,velocity_obstacle_cargo,baseline_sota_decentralized_cargo
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_cargo,sota,decentralized,baseline,amr-04,4,True,1,1,-9.02256184909578,-4.0821066989525665,4.798646371943578,1.9248377580768206,22.052047335851093,0.7543216415678167,0.8191259997319655,95.03619375228182,35.12207160410415,velocity_obstacle_cargo,baseline_sota_decentralized_cargo
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_cargo,sota,decentralized,baseline,amr-05,5,False,0,0,5.846993469702342,0.7453062437016618,5.810844212245852,1.1244325945719957,0.3871482956655013,0.944522509190613,0.7004034304935651,87.96600979907339,32.50917753444016,velocity_obstacle_cargo,baseline_sota_decentralized_cargo
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6650,sota_decentralized_vo_cargo,sota,decentralized,baseline,amr-06,6,True,1,4,0.5031893877965257,-6.636877474008159,6.599506127098155,4.607445389258578,26.456206899769235,0.9692548282138105,0.7376943251221885,97.72957142438635,36.11745030901235,velocity_obstacle_cargo,baseline_sota_decentralized_cargo
