scenario_generator,method,n,assignment_cost_mean,assignment_cost_std,coalition_success_rate_mean,coalition_success_rate_std,communication_messages_mean,communication_messages_std,demand_satisfaction_ratio_mean,demand_satisfaction_ratio_std,optimality_gap_vs_oracle_mean,optimality_gap_vs_oracle_std,priority_regret_mean,priority_regret_std,robots_overassigned_mean,robots_overassigned_std,robots_underassigned_mean,robots_underassigned_std,runtime_ms_mean,runtime_ms_std,served_load_rate_mean,served_load_rate_std
balanced_demand,centralized_coalition_milp,12,38.800024549610264,12.293695839673168,0.8888888888888888,0.16412198797244365,21.0,3.1333978072025612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18505834062428525,0.09245310918073216,0.8888888888888888,0.16412198797244365
balanced_demand,greedy_nearest,12,40.472138714244764,13.523352436295857,0.8888888888888888,0.16412198797244365,21.0,3.1333978072025612,1.0,0.0,0.04789157740613275,0.07590772490251572,0.022500000000000003,0.07794228634059948,0.0,0.0,0.0,0.0,0.09629165288060904,0.02724707290488484,0.8888888888888888,0.16412198797244365
balanced_demand,imitation_oracle,12,34.07794341673168,10.298121580923825,0.75,0.20719385350268704,21.0,3.1333978072025612,0.9375,0.07845573930760597,0.22333830294309073,0.2572514699480276,0.8383333333333333,0.9449370670082006,0.0,0.0,0.4166666666666667,0.5149286505444373,0.6036583460324133,0.13070695325058074,0.75,0.20719385350268704
balanced_demand,mappo_recruitment,12,38.86844936613155,12.245728237994502,0.8888888888888888,0.16412198797244365,21.0,3.1333978072025612,1.0,0.0,0.0010139946789812346,0.002895218939890332,0.0,0.0,0.0,0.0,0.0,0.0,2.7819499907006198,0.4661312143775865,0.8888888888888888,0.16412198797244365
balanced_demand,oracle_reference,12,38.800024549610264,12.293695839673168,0.8888888888888888,0.16412198797244365,21.0,3.1333978072025612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17790833953768015,0.036416730351931874,0.8888888888888888,0.16412198797244365
balanced_demand,primal_dual_cardinality_capacity,12,40.92471011577782,13.68583804373354,0.861111111111111,0.22285264114050715,21.0,3.1333978072025612,1.0,0.0,0.15803542970105147,0.3092349528184496,0.2291666666666667,0.5237879226163848,0.0,0.0,0.0,0.0,0.54228334435417,0.3218913737562941,0.861111111111111,0.22285264114050715
balanced_demand,primal_dual_wrench_market,12,41.42937308251051,13.348077026659224,0.861111111111111,0.22285264114050715,21.0,3.1333978072025612,1.0,0.0,0.1659196088616561,0.30891109273598727,0.2291666666666667,0.5237879226163848,0.0,0.0,0.0,0.0,0.49015000695362687,0.21274251936701719,0.861111111111111,0.22285264114050715
monte_carlo,centralized_coalition_milp,3,40.940552195829035,24.1821733124752,0.8666666666666667,0.23094010767585033,30.0,26.153393661244042,0.9333333333333332,0.11547005383792512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7320508075688772,0.2809999859891832,0.29176997851786624,0.8666666666666667,0.23094010767585033
monte_carlo,greedy_nearest,3,41.38620142343682,24.77281455213962,0.8666666666666667,0.23094010767585033,8.333333333333334,5.686240703077327,0.9333333333333332,0.11547005383792512,0.004720657767175402,0.006095698443255769,0.0,0.0,0.0,0.0,1.0,1.7320508075688772,0.1005666369261841,0.03758116827902161,0.8666666666666667,0.23094010767585033
monte_carlo,imitation_oracle,3,41.32913660821854,24.776817737653563,0.8666666666666667,0.23094010767585033,8.333333333333334,5.686240703077327,0.9333333333333332,0.11547005383792512,0.0038674999715319594,0.0066987064489645405,0.0,0.0,0.0,0.0,1.0,1.7320508075688772,0.5824000108987093,0.24647327809771552,0.8666666666666667,0.23094010767585033
