rank,method,method_family,safe_docking_success_mean,any_collision_mean,timeout_mean,runtime_s_mean
1,replicator_primitives,population,0.2685185185185185,0.0,0.7314814814814815,2.250452283323588
2,cbf_qp,safety,0.1759259259259259,0.0,0.8240740740740741,1.5984198962946214
3,direct_to_slot,classic_local,0.1666666666666666,0.8333333333333334,0.0,0.0251931750142291
4,rvo_proxy,classic_local,0.1666666666666666,0.8333333333333334,0.0,0.0281295398082066
5,apf_navigation,classic_local,0.1111111111111111,0.7592592592592593,0.1296296296296296,0.1364773583287994
6,central_potential_reference,model_based_reference,0.037037037037037,0.0,0.9629629629629628,2.939254493530219
7,nash_pd_exact,nash_seeking,0.0277777777777777,0.0,0.9722222222222222,1.766697392585532
8,nash_pd_exact_raw,nash_seeking,0.0277777777777777,0.0,0.9722222222222222,1.84282669721223
9,smith_primitives,population,0.0092592592592592,0.0,0.9907407407407408,2.164095663885948
10,nash_pd_ring,nash_seeking,0.0092592592592592,0.0,0.9907407407407408,2.0380116648157127
11,erv_bnn_primitives,population,0.0,0.0,1.0,2.157251402774515
