group,label,value
family,Coalición,18
family,Transporte compartido,23
family,Red/seguridad,15
family,Fundacional,6
coverage,Transporte compartido,23
coverage,Reclutamiento,18
coverage,Certificación física,13
coverage,Transporte + distribuido,10
coverage,Heterogéneo + coalición variable,9
coverage,Transporte + reemplazo,2
coverage,Heterogéneo + transporte,0
coverage,Físico + distribuido + reemplazo,0
authority_ordinal_0_100,Reclutar,14.167
authority_ordinal_0_100,Certificar,40.000
authority_ordinal_0_100,Acoplar,16.667
authority_ordinal_0_100,Transportar,13.333
authority_ordinal_0_100,Recuperar,42.500
snapshot,corpus,59
snapshot,dated_window,54
