scene,robots,racks,humans,loads,frames,min_playback_pair_distance,has_top_camera,has_oblique_camera
h12_nominal_smith_qr,15,18,2,3,90,0.02139018466493444,True,True
h12_r3_smith,15,18,2,3,90,0.010555093557140951,True,True
h12_r3_smith_qr,15,18,2,3,90,0.03627037358506258,True,True
h12_robot_failure,15,18,2,3,90,0.022588713996153396,True,True
h12_human_crossing,15,18,6,3,90,0.03588997074392811,True,True
h12_sensor_degraded,15,18,4,3,90,0.030783274679605253,True,True
h12_predictive_density_bottleneck,46,18,4,3,90,0.005748912940721148,True,True
h12_rectangular_wrench,18,16,2,3,90,0.03080990100600768,True,True
h12_battery_return,15,18,2,3,90,0.05234548691148075,True,True
h12_integrated_full,24,20,6,3,90,0.011240106761058502,True,True
