N,K,binary_variables,time_limit_s,runs,certified_count,certified_rate,certified_ci_low,certified_ci_high,incumbent_rate,runtime_p50,runtime_p95,censored_gap_median,censored_gap_max
20,6,120,1.0,15,15,1.0,0.7961166989641515,1.0,1.0,0.123839899955783,0.5644079399935434,,
20,6,120,5.0,15,15,1.0,0.7961166989641515,1.0,1.0,0.1494263999629765,0.5418925000005401,,
30,9,270,1.0,15,10,0.6666666666666666,0.41713547738519774,0.8482367556028526,1.0,0.711185000021942,1.0070403800113126,0.0279916019472735,0.0509616131105481
30,9,270,5.0,15,15,1.0,0.7961166989641515,1.0,1.0,0.6731165000237525,3.0306950499885716,,
40,12,480,1.0,15,7,0.4666666666666667,0.24809535365737387,0.698830199745016,1.0,1.0027977999998257,1.0088018399954308,0.01753610100508585,0.0549828862024776
40,12,480,5.0,15,14,0.9333333333333333,0.7018347012621998,0.9881331045067315,1.0,1.1580491000204347,4.837577070022235,0.0196667205584672,0.0196667205584672
50,15,750,1.0,15,0,0.0,0.0,0.20388330103584862,1.0,1.0049927000072785,1.012271100009093,0.0196149126322243,0.0530726648791926
50,15,750,5.0,15,10,0.6666666666666666,0.41713547738519774,0.8482367556028526,1.0,2.829225299996324,5.011215690011158,0.0133968406651124,0.0295728749229047
60,18,1080,1.0,15,0,0.0,0.0,0.20388330103584862,1.0,1.0081237999838777,1.0182229299738539,0.0304219617188681,0.1173093790572302
60,18,1080,5.0,15,5,0.3333333333333333,0.1517632443971473,0.5828645226148023,1.0,5.007046099985018,5.009056320018135,0.03231612320502615,0.0522040075124631
80,24,1920,1.0,15,0,0.0,0.0,0.20388330103584862,1.0,1.0103767000255175,1.0182355999888386,0.0406034243141212,0.1119503025359361
80,24,1920,5.0,15,4,0.26666666666666666,0.10897453325692374,0.5195043405598057,1.0,5.009652799984906,5.0190058599924665,0.0312853222985824,0.0763528958132409
