pressure,capacity_cv,worlds,resolved,feasible_count,feasible_rate,feasible_ci_low,feasible_ci_high,infeasible_count,censored_count,certified_count,excess_median,coalition_median,objective_median
0.6,0.0,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,18.000000000000007,18.0,429.2585365930708
0.6,0.15,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,10.009587078576816,16.0,414.04531156391477
0.6,0.35,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,7.730140829774612,14.999999999999353,357.61615520720204
0.6,0.65,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,10.214261212515122,12.999999999999995,313.599145754906
0.6,1.0,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,14.152201094979624,11.999999999999996,317.2137584749612
0.75,0.0,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,20.0,22.0,601.174801860964
0.75,0.15,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,7.484436245726737,19.0,472.86491467073006
0.75,0.35,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,5.424638465453766,17.999999999999936,465.6648383105853
0.75,0.65,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,7.108776035798367,16.0,416.3540409939932
0.75,1.0,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,9.158721991310667,14.999999999980623,413.3003404843978
0.85,0.0,60,60,31,0.5166666666666667,0.39307810032592494,0.6382495046026722,29,0,31,17.999999999999996,24.0,737.239627393718
0.85,0.15,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,6.9400338970205215,21.499999999933678,600.9442386800538
0.85,0.35,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,0,60,4.325969660683465,20.000000000000025,556.8892547645971
0.85,0.65,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,1,59,5.110252550958124,18.000000000016207,514.3986165137953
0.85,1.0,60,60,58,0.9666666666666667,0.886362257256914,0.9908106807438021,2,0,58,6.177043688996713,18.0,487.9708856441064
0.92,0.0,60,60,0,0.0,0.0,0.06017185214208986,60,0,0,,,
0.92,0.15,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,2,58,5.410488367289828,23.0,701.4314102977205
0.92,0.35,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,2,58,3.707137034147166,21.99999999999999,657.1045895694779
0.92,0.65,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,1,59,3.717049687210945,21.00000000000002,652.9212468347233
0.92,1.0,60,60,59,0.9833333333333333,0.9114487027240993,0.9970518402052136,1,1,58,3.706048565544828,19.99999999999999,590.9095748136127
0.97,0.0,60,60,0,0.0,0.0,0.06017185214208986,60,0,0,,,
0.97,0.15,60,60,54,0.9,0.7985053527602123,0.9533571655261158,6,0,54,3.599999999999953,23.999999999999986,785.7128808176038
0.97,0.35,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,6,54,3.5999999999999877,23.999999999999982,724.3632106654868
0.97,0.65,60,60,60,1.0,0.93982814785791,0.9999999999999998,0,10,50,2.2065194363937968,23.00000000000003,694.8955067957637
0.97,1.0,60,60,55,0.9166666666666666,0.8193105798166558,0.9638795433982692,5,6,49,2.2826218891071663,22.999999999999467,697.0818916870192
1.02,0.0,60,60,0,0.0,0.0,0.06017185214208986,60,0,0,,,
1.02,0.15,60,60,0,0.0,0.0,0.06017185214208986,60,0,0,,,
1.02,0.35,60,60,0,0.0,0.0,0.06017185214208986,60,0,0,,,
1.02,0.65,60,60,0,0.0,0.0,0.06017185214208986,60,0,0,,,
1.02,1.0,60,60,0,0.0,0.0,0.06017185214208986,60,0,0,,,
