N,K,worlds,status_agreement,max_absolute_error,milp_runtime_median
8,2,150,1.0,2.103206497849897e-12,0.00235775002511215
8,3,150,1.0,3.694822225952521e-13,0.003148899966618
10,2,150,1.0,1.7053025658242404e-12,0.0035973000049125
10,3,150,1.0,1.3073986337985845e-12,0.0052143500070087005
11,3,150,1.0,4.149569576838985e-12,0.005705649993615201
