N,mean_rms_error,std_rms_error,n_seeds,fit_slope,fit_intercept
6,0.1323587405968985,0.014435074305940928,40.0,-0.9294341733553091,-0.3624888957544903
12,0.07036390742842857,0.008145180858246547,40.0,-0.9294341733553091,-0.3624888957544903
24,0.03528437899143287,0.0016915636072662348,40.0,-0.9294341733553091,-0.3624888957544903
48,0.018673517294721182,0.0018276082181313319,40.0,-0.9294341733553091,-0.3624888957544903
96,0.010253608007376642,0.0015469446259285756,40.0,-0.9294341733553091,-0.3624888957544903
