left,right,metric,worlds,median_difference,ci_low,ci_high,wilcoxon_p,holm_p
geo_qpg_c3,geo_qpg_u,optimality_gap,12,-0.5834427463446648,-0.964130347198294,-0.4649558944605881,0.00048828125,0.001953125
geo_qpg_smith,geo_qpg_u,optimality_gap,12,0.24112290785486784,0.0019462490807649058,0.4512822551635757,0.0341796875,0.1025390625
geo_qpg_lll,geo_qpg_u,optimality_gap,12,0.1935742862082414,-0.02934501758064156,0.5915337049983751,0.06396484375,0.1279296875
geo_qpg_d,geo_qpg_cf,optimality_gap,12,0.0,0.0,0.0,1.0,1.0
geo_qpg_d,geo_qpg_cf,bytes_per_agent,12,1206.75,1124.25,1362.25,0.00048828125,
geo_qpg_d,geo_qpg_cf,runtime_ms,12,-24.57074999983889,-46.74994999368208,-4.832349994103424,0.01220703125,
