method,N,K,runs,feasibility,runtime_ms_median,bytes_per_agent_median,rounds_median
geo_qpg_d,16,4,1,1.0,128.18369999877177,5511.25,18.0
geo_qpg_d,32,8,1,1.0,1485.6895999982953,16326.5,24.0
geo_qpg_u,16,4,1,1.0,6.225100019946694,606.0,45.0
geo_qpg_u,32,8,1,1.0,25.14959999825805,1273.5,83.0
