method,label,worlds,feasibility,feasibility_low,feasibility_high,gap_median,gap_low,gap_high,runtime_ms_median,bytes_per_agent_median,rounds_median
capacity_cbba_rb,CBBA-RB,12,0.75,0.46769466506643426,0.9110583316059453,0.143976200510874,0.0985100394916654,0.7480542135220095,23.975599979166873,8302.34375,24.5
weighted_grape,GRAPE,12,1.0,0.7575059933447592,1.0,0.03956501813163605,0.032911119336452355,0.16220299230614346,131.07530001434498,20675.625,233.0
weighted_pair_grape,Pair-GRAPE,12,1.0,0.7575059933447592,1.0,6.080337663938241e-17,0.0,2.6914681018745083e-16,264.6190499945078,24730.5,289.0
geo_qpg_u,Geo-QPG-BR,12,1.0,0.7575059933447592,1.0,0.5834427463446648,0.46495589446058827,1.0171937280470973,8.961899991845712,517.875,29.5
geo_qpg_smith,Geo-Smith atómico,12,1.0,0.7575059933447592,1.0,1.0334734647632549,0.7184834406075165,1.2068767277469585,6.778699986170977,520.5,32.0
geo_qpg_lll,Geo-LLL atómico,12,1.0,0.7575059933447592,1.0,1.0174565007282603,0.6525803031018171,1.2551448095214475,26.349199994001538,4989.75,151.5
geo_qpg_p,Geo-QPG-2BR,12,1.0,0.7575059933447592,1.0,0.013671953924477849,1.3491698206331797e-16,0.1366948077692156,160.79290000197943,3778.5,291.5
geo_qpg_c3,Geo-QPG-C3,12,1.0,0.7575059933447592,1.0,0.0,-5.674714123994042e-17,1.5227251702129282e-16,2105.1107499952195,13234.375,765.5
geo_qpg_cf,Geo-QPG-CF (global),12,1.0,0.7575059933447592,1.0,6.080337663938241e-17,0.0,2.998125739299788e-16,147.2473500034539,2964.25,14.5
geo_qpg_d,Geo-QPG-DMIS+TX,12,1.0,0.7575059933447592,1.0,6.080337663938241e-17,0.0,2.9981257392997883e-16,129.7416500019608,4314.875,14.5
