method,label,n,safe_docking_success,safe_docking_success_ci_low,safe_docking_success_ci_high,arrival_success,arrival_success_ci_low,arrival_success_ci_high,any_collision,any_collision_ci_low,any_collision_ci_high,timeout,timeout_ci_low,timeout_ci_high,docking_time_s,docking_time_s_ci_low,docking_time_s_ci_high,time_to_wrench_feasible_s,time_to_wrench_feasible_s_ci_low,time_to_wrench_feasible_s_ci_high,min_clearance_m,min_clearance_m_ci_low,min_clearance_m_ci_high,energy_wh,energy_wh_ci_low,energy_wh_ci_high,guard_intervention_norm,guard_intervention_norm_ci_low,guard_intervention_norm_ci_high,closure_interventions,closure_interventions_ci_low,closure_interventions_ci_high,exec_barrier_violations,exec_barrier_violations_ci_low,exec_barrier_violations_ci_high,final_kkt_residual,final_kkt_residual_ci_low,final_kkt_residual_ci_high,messages,messages_ci_low,messages_ci_high,runtime_s,runtime_s_ci_low,runtime_s_ci_high
direct_to_slot,Directo al contacto,18,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,1.0,0.0,0.0,0.0,30.126666666666665,25.244444444444444,35.0,30.11777777777778,25.200000000000003,35.0,-0.008616779038944878,-0.05458445890318285,0.0445329191869807,0.03184621961199703,0.024299459151459778,0.03995665629636615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.023843249978704587,0.017158778013092364,0.031500530110982555
apf_navigation,APF,18,0.1111111111111111,0.0,0.2777777777777778,0.1111111111111111,0.0,0.2777777777777778,0.7777777777777778,0.5555555555555556,0.9444444444444444,0.1111111111111111,0.0,0.2777777777777778,31.75111111111111,26.88666666666667,35.0,31.75111111111111,26.886666666666667,35.0,0.02200920736673302,-0.01277469321654821,0.06169181728127995,0.12067320266878975,0.08086780086412164,0.16580434976161157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.15294751667210627,0.08786610831513018,0.23729493027591764
rvo_proxy,RVO proxy,18,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3888888888888889,0.8333333333333334,0.6666666666666666,1.0,0.0,0.0,0.0,30.126666666666665,25.226666666666667,35.0,30.11777777777778,25.21777777777778,35.0,-0.0210909565807901,-0.06578691100450461,0.03432671035833034,0.032926734962138146,0.025412822695081026,0.04152230838830732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.028087711116919916,0.019566038647058626,0.03754738930082465
cbf_qp,Proyeccion CBF,18,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,1.0,30.126666666666665,25.235555555555557,35.0,28.88444444444444,23.133333333333336,33.38444444444445,0.05216797998607811,0.018528776187243957,0.08683334529498954,0.22081027491443442,0.14733869971674904,0.30762984949349853,98.08349038931439,65.5841504286083,132.89242967482875,0.0,0.0,0.0,93.27777777777777,64.10972222222223,123.78194444444442,nan,nan,nan,0.0,0.0,0.0,1.7382369277507275,1.1883330988354928,2.3650189287184427
central_potential_reference,PD central (70 iter.),18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,35.0,35.0,35.0,35.0,35.0,0.08916686567570897,0.059928798444684434,0.12244856471879478,0.0883107512555052,0.06598980663405708,0.11240927827448693,13.480441881231776,10.264586174334053,16.760895433067482,0.6111111111111112,0.2222222222222222,1.1111111111111112,6.333333333333333,3.1666666666666665,10.056944444444436,0.0014152850591467449,2.8134182506146245e-05,0.0036716845032771332,18349150.888888888,9409875.527777778,29809492.311111096,2.7529905722217842,2.1020673101619143,3.574673460263228
nash_pd_exact_raw,Nash-PD RAW,18,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.9444444444444444,0.8333333333333334,1.0,33.62444444444444,30.873333333333335,35.0,32.00888888888889,27.40222222222222,35.0,0.09372287476569278,0.058253241699688714,0.13379244560187742,0.092640410526661,0.06467957649912351,0.1240293880344338,14.0989876722979,10.286955890287405,18.40818343030351,0.0,0.0,0.0,7.111111111111111,3.6666666666666665,11.11111111111111,0.03598166523064909,0.00031276892179827687,0.10263220975909654,7262631.555555556,4072466.7611111114,11025963.75555555,1.7916262444212205,1.2839883446699887,2.330155793590044
nash_pd_exact,Nash-PD exacto,18,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.9444444444444444,0.8333333333333334,1.0,33.62444444444444,30.873333333333335,35.0,32.00888888888889,27.402222222222225,35.0,0.09260724416174239,0.05714599403806565,0.13093381340541804,0.09327202891371317,0.06673477094851217,0.12234362266327097,14.412514364598442,10.052238430518754,19.662139261729457,1.6111111111111112,0.8333333333333334,2.611111111111111,6.944444444444445,3.2222222222222223,11.5,0.006240737629069353,0.00016201429702885682,0.015697150036505965,7087805.333333333,3689987.533333333,10785207.688888887,1.9682958166296076,1.4408721812286078,2.58857485103104
nash_pd_ring,Nash-PD anillo,18,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.9444444444444444,0.8333333333333334,1.0,33.62444444444444,30.873333333333335,35.0,33.62444444444444,30.873333333333335,35.0,0.21293512024157568,0.08604054410397378,0.37343802212593113,0.089034064727793,0.05776959890923024,0.12346852053255435,17.20165980056707,11.466448399858647,23.404353636628386,2.0555555555555554,0.8333333333333334,3.6680555555555476,3.3333333333333335,1.3888888888888888,5.5,0.40464096523463783,0.2739563389177247,0.5348464262875953,20484764.444444444,12955208.888888888,28125196.444444444,2.1972843777750515,1.7621183441482977,2.602137402955041
smith_primitives,Smith + CBF,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,35.0,35.0,35.0,35.0,35.0,0.09502700321230796,0.06040029059817499,0.1334253588276961,0.09671945182451723,0.069081695295346,0.12820796284376798,15.485246835071889,10.940208118663882,20.056330482114927,1.5555555555555556,0.7777777777777778,2.4444444444444446,9.38888888888889,3.5555555555555554,17.16805555555555,0.012861547270375822,0.003033689602769264,0.029152543814171903,9764244.444444444,5648673.555555556,14091165.999999998,2.4120752111129047,1.896432649043143,3.028067190952586
replicator_primitives,Replicator + CBF,18,0.2777777777777778,0.1111111111111111,0.5,0.2777777777777778,0.05555555555555555,0.5,0.0,0.0,0.0,0.7222222222222222,0.5,0.9444444444444444,29.09111111111111,23.99777777777778,33.86,28.951111111111118,23.417111111111108,33.62466666666667,0.05843087172302562,0.03820248510062318,0.08077829552677619,0.17263851064029032,0.10844363043551715,0.24307389744940536,41.51088451464255,23.6050761859728,62.04032981204059,22.944444444444443,11.054166666666667,36.55833333333332,44.44444444444444,21.71527777777778,69.88888888888889,1.4658209061583467,1.2435986839361246,1.6420193992280028,7166524.444444444,3686801.1111111115,11065129.666666666,2.3620999222103922,1.609989866923489,3.1868616515353394
erv_bnn_primitives,ERV-BNN + CBF,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,35.0,35.0,35.0,35.0,35.0,0.09223293480160429,0.06458377513160184,0.12436567541145041,0.08997612273615276,0.06525695663137124,0.116882495479054,12.9786528310472,9.807316701612597,16.431782340304192,2.3333333333333335,1.1111111111111112,3.7222222222222223,5.888888888888889,2.2777777777777777,10.277777777777779,0.07347646272042578,0.04204552469066556,0.11400743237031072,10162133.333333334,5890799.555555555,14930491.999999998,2.317348605552171,1.797827719313015,2.8888525614023415
