block,factor,factor_value,category,count,total,proportion,ci95_low,ci95_high
frozen_main,overall,all,2,24,24,1.0,0.8620237953250198,1.0
frozen_main,overall,all,3,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
frozen_main,overall,all,>3,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
frozen_main,capacity_cv,capacity_cv=0.0,2,6,6,1.0,0.6096657120978346,1.0
frozen_main,capacity_cv,capacity_cv=0.0,3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,capacity_cv,capacity_cv=0.0,>3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,capacity_cv,capacity_cv=0.35,2,6,6,1.0,0.6096657120978346,1.0
frozen_main,capacity_cv,capacity_cv=0.35,3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,capacity_cv,capacity_cv=0.35,>3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,capacity_cv,capacity_cv=0.65,2,6,6,1.0,0.6096657120978346,1.0
frozen_main,capacity_cv,capacity_cv=0.65,3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,capacity_cv,capacity_cv=0.65,>3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,capacity_cv,capacity_cv=1.0,2,6,6,1.0,0.6096657120978346,1.0
frozen_main,capacity_cv,capacity_cv=1.0,3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,capacity_cv,capacity_cv=1.0,>3,0,6,0.0,2.7755575615628914e-17,0.3903342879021653
frozen_main,pressure,pressure=0.7,2,12,12,1.0,0.7575059933447592,1.0
frozen_main,pressure,pressure=0.7,3,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
frozen_main,pressure,pressure=0.7,>3,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
frozen_main,pressure,pressure=0.85,2,12,12,1.0,0.7575059933447592,1.0
frozen_main,pressure,pressure=0.85,3,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
frozen_main,pressure,pressure=0.85,>3,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
frozen_main,scenario,scenario=clustered,2,5,5,1.0,0.5655175352168251,1.0
frozen_main,scenario,scenario=clustered,3,0,5,0.0,0.0,0.43448246478317476
frozen_main,scenario,scenario=clustered,>3,0,5,0.0,0.0,0.43448246478317476
frozen_main,scenario,scenario=corridor,2,5,5,1.0,0.5655175352168251,1.0
frozen_main,scenario,scenario=corridor,3,0,5,0.0,0.0,0.43448246478317476
frozen_main,scenario,scenario=corridor,>3,0,5,0.0,0.0,0.43448246478317476
frozen_main,scenario,scenario=ring,2,5,5,1.0,0.5655175352168251,1.0
frozen_main,scenario,scenario=ring,3,0,5,0.0,0.0,0.43448246478317476
frozen_main,scenario,scenario=ring,>3,0,5,0.0,0.0,0.43448246478317476
frozen_main,scenario,scenario=separated,2,4,4,1.0,0.5101091635454027,1.0
frozen_main,scenario,scenario=separated,3,0,4,0.0,0.0,0.4898908364545973
frozen_main,scenario,scenario=separated,>3,0,4,0.0,0.0,0.4898908364545973
frozen_main,scenario,scenario=uniform,2,5,5,1.0,0.5655175352168251,1.0
frozen_main,scenario,scenario=uniform,3,0,5,0.0,0.0,0.43448246478317476
frozen_main,scenario,scenario=uniform,>3,0,5,0.0,0.0,0.43448246478317476
frozen_main,cv_pressure,capacity_cv=0.0 | pressure=0.7,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=0.0 | pressure=0.7,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.0 | pressure=0.7,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.0 | pressure=0.85,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=0.0 | pressure=0.85,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.0 | pressure=0.85,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.35 | pressure=0.7,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=0.35 | pressure=0.7,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.35 | pressure=0.7,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.35 | pressure=0.85,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=0.35 | pressure=0.85,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.35 | pressure=0.85,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.65 | pressure=0.7,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=0.65 | pressure=0.7,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.65 | pressure=0.7,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.65 | pressure=0.85,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=0.65 | pressure=0.85,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=0.65 | pressure=0.85,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=1.0 | pressure=0.7,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=1.0 | pressure=0.7,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=1.0 | pressure=0.7,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=1.0 | pressure=0.85,2,3,3,1.0,0.4385029682449546,1.0
frozen_main,cv_pressure,capacity_cv=1.0 | pressure=0.85,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
frozen_main,cv_pressure,capacity_cv=1.0 | pressure=0.85,>3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
ratio_sensitivity,overall,all,2,6,8,0.75,0.40927543031016883,0.9285207872478909
ratio_sensitivity,overall,all,3,0,8,0.0,0.0,0.32440756488388023
ratio_sensitivity,overall,all,>3,2,8,0.25,0.071479212752109,0.5907245696898311
ratio_sensitivity,capacity_cv,capacity_cv=0.0,2,2,4,0.5,0.15003898915214947,0.8499610108478506
ratio_sensitivity,capacity_cv,capacity_cv=0.0,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,capacity_cv,capacity_cv=0.0,>3,2,4,0.5,0.15003898915214947,0.8499610108478506
ratio_sensitivity,capacity_cv,capacity_cv=1.0,2,4,4,1.0,0.5101091635454027,1.0
ratio_sensitivity,capacity_cv,capacity_cv=1.0,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,capacity_cv,capacity_cv=1.0,>3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,pressure,pressure=0.85,2,6,8,0.75,0.40927543031016883,0.9285207872478909
ratio_sensitivity,pressure,pressure=0.85,3,0,8,0.0,0.0,0.32440756488388023
ratio_sensitivity,pressure,pressure=0.85,>3,2,8,0.25,0.071479212752109,0.5907245696898311
ratio_sensitivity,scenario,scenario=corridor,2,3,4,0.75,0.30064184258240184,0.9544127391902995
ratio_sensitivity,scenario,scenario=corridor,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,scenario,scenario=corridor,>3,1,4,0.25,0.04558726080970055,0.6993581574175981
ratio_sensitivity,scenario,scenario=uniform,2,3,4,0.75,0.30064184258240184,0.9544127391902995
ratio_sensitivity,scenario,scenario=uniform,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,scenario,scenario=uniform,>3,1,4,0.25,0.04558726080970055,0.6993581574175981
ratio_sensitivity,robots_per_load,robots_per_load=2.0,2,3,4,0.75,0.30064184258240184,0.9544127391902995
ratio_sensitivity,robots_per_load,robots_per_load=2.0,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,robots_per_load,robots_per_load=2.0,>3,1,4,0.25,0.04558726080970055,0.6993581574175981
ratio_sensitivity,robots_per_load,robots_per_load=3.0,2,3,4,0.75,0.30064184258240184,0.9544127391902995
ratio_sensitivity,robots_per_load,robots_per_load=3.0,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,robots_per_load,robots_per_load=3.0,>3,1,4,0.25,0.04558726080970055,0.6993581574175981
ratio_sensitivity,cv_pressure,capacity_cv=0.0 | pressure=0.85,2,2,4,0.5,0.15003898915214947,0.8499610108478506
ratio_sensitivity,cv_pressure,capacity_cv=0.0 | pressure=0.85,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,cv_pressure,capacity_cv=0.0 | pressure=0.85,>3,2,4,0.5,0.15003898915214947,0.8499610108478506
ratio_sensitivity,cv_pressure,capacity_cv=1.0 | pressure=0.85,2,4,4,1.0,0.5101091635454027,1.0
ratio_sensitivity,cv_pressure,capacity_cv=1.0 | pressure=0.85,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,cv_pressure,capacity_cv=1.0 | pressure=0.85,>3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,ratio_pressure,robots_per_load=2.0 | pressure=0.85,2,3,4,0.75,0.30064184258240184,0.9544127391902995
ratio_sensitivity,ratio_pressure,robots_per_load=2.0 | pressure=0.85,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,ratio_pressure,robots_per_load=2.0 | pressure=0.85,>3,1,4,0.25,0.04558726080970055,0.6993581574175981
ratio_sensitivity,ratio_pressure,robots_per_load=3.0 | pressure=0.85,2,3,4,0.75,0.30064184258240184,0.9544127391902995
ratio_sensitivity,ratio_pressure,robots_per_load=3.0 | pressure=0.85,3,0,4,0.0,0.0,0.4898908364545973
ratio_sensitivity,ratio_pressure,robots_per_load=3.0 | pressure=0.85,>3,1,4,0.25,0.04558726080970055,0.6993581574175981
