study,seed,N,N_original,K,M,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,milp_feasible,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,hungarian_feasible,hungarian_coverage,hungarian_assigned_robot_count,hungarian_total_distance,hungarian_mean_distance_per_slot,hungarian_normalized_distance_p95,hungarian_solver_wall_ns,hungarian_total_wall_ns,hungarian_matrix_bytes,both_feasible,same_capacity_model,milp_to_hungarian_distance_ratio,milp_minus_hungarian_assigned_robots,milp_to_hungarian_solver_ratio,base_milp_total_distance,relative_distance_increase,assignment_churn,central_logical_messages,central_communication_bytes,retry_messages
scaling,612757153,4,4,3,10,-0.4,-0.42857142857142855,-0.3694810779049949,symmetric,uniform,moderate,none,0,False,20.0,43.439809018091445,5.0,0.8185348438546066,0.16370696877092134,3.6127544017923237,5.700014472046779,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=43.440.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,169.1106379327761,42.27765948319402,0.4624916262146603,9200,167800,320,False,False,nan,nan,nan,nan,nan,nan,4,447,0
scaling,2569144697,4,4,3,10,-0.4,-0.42857142857142855,-0.4004422341642699,symmetric,uniform,moderate,none,0,False,20.0,46.715840039605794,5.0,1.7145734530234988,0.34291469060469976,2.9244755800966176,7.007266199763582,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=46.716.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,80.72548826868172,20.18137206717043,0.1803825721434391,9600,297500,320,False,False,nan,nan,nan,nan,nan,nan,4,452,0
scaling,2409520928,4,4,3,10,-0.4,-0.42857142857142855,-0.31916204791401276,symmetric,uniform,moderate,none,0,False,20.0,38.75113142186902,5.0,1.3020543131252162,0.26041086262504326,3.3171576934453233,6.522360505662702,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=38.751.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,109.21663976918396,27.30415994229599,0.3130628770307649,3400,108100,320,False,False,nan,nan,nan,nan,nan,nan,4,452,0
scaling,155533046,4,4,3,10,-0.4,-0.42857142857142855,-0.3642564000022458,symmetric,uniform,moderate,none,0,False,20.0,42.918446996778734,5.0,1.1984266869950149,0.23968533739900297,3.5991391819329466,6.895173788950897,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.918.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,109.07987154539278,27.269967886348194,0.2659660138288513,3300,100300,320,False,False,nan,nan,nan,nan,nan,nan,4,451,0
scaling,3990538031,4,4,3,10,-0.4,-0.42857142857142855,-0.36253214168879955,symmetric,uniform,moderate,none,0,False,20.0,42.748261702118185,5.0,0.9876696037084071,0.1975339207416814,3.6946345200496036,6.398363976125178,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.748.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,100.53069534412455,25.132673836031138,0.223257511745899,3300,117500,320,False,False,nan,nan,nan,nan,nan,nan,4,452,0
scaling,1020075116,4,4,3,10,-0.4,-0.42857142857142855,-0.37794983236674246,symmetric,uniform,moderate,none,0,False,20.0,44.30349525053552,5.0,0.8512097439262211,0.1702419487852442,4.346409888464498,6.454265140787872,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=44.303.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,165.98735000506107,41.49683750126527,0.38325959367603296,3200,102800,320,False,False,nan,nan,nan,nan,nan,nan,4,447,0
scaling,523148818,4,4,3,10,-0.4,-0.42857142857142855,-0.37723401944238893,symmetric,uniform,moderate,none,0,False,20.0,44.229584223892374,5.0,0.3854724404626765,0.0770944880925353,4.40702606595934,5.486911636865451,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=44.230.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,99.12820893550001,24.782052233875003,0.21662023909841707,3000,99200,320,False,False,nan,nan,nan,nan,nan,nan,4,449,0
scaling,3652199492,4,4,3,10,-0.4,-0.42857142857142855,-0.3644835349224061,symmetric,uniform,moderate,none,0,False,20.0,42.940934181958866,4.999999999999999,1.5073396218455288,0.3014679243691058,3.278812945087801,7.407883126701176,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.941.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,122.52512330407286,30.631280826018216,0.25403996433528436,3000,98800,320,False,False,nan,nan,nan,nan,nan,nan,4,450,0
scaling,447399933,4,4,3,10,-0.4,-0.42857142857142855,-0.3565426008011844,symmetric,uniform,moderate,none,0,False,20.0,42.164177534992945,5.0,1.4999688309129173,0.29999376618258344,3.2374184704077087,6.964812517209041,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=42.164.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,251.4111676839118,62.85279192097795,0.47424710241618956,2900,99900,320,False,False,nan,nan,nan,nan,nan,nan,4,452,0
scaling,1647039047,4,4,3,10,-0.4,-0.42857142857142855,-0.3747628051980155,symmetric,uniform,moderate,none,0,False,20.0,43.97572046664336,5.000000000000001,1.0491036051909017,0.2098207210381803,4.1364080117313895,6.786767653363022,0.1414213562373095,False,False,-1,"Capacidad total insuficiente para cargas obligatorias: capacidad=20.000, demanda=43.976.",nan,0,0,4,0.0,nan,nan,nan,nan,nan,nan,nan,0,12,10,nan,nan,nan,False,0.4,4,94.75242888246878,23.688107220617194,0.21388802599310094,3600,111500,320,False,False,nan,nan,nan,nan,nan,nan,4,449,0
