M,requested_delta,treatment,replicates,milp_feasibility_rate,hungarian_feasibility_rate,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,hungarian_feasible_mean,hungarian_feasible_std,hungarian_feasible_median,hungarian_feasible_p05,hungarian_feasible_p95,hungarian_coverage_mean,hungarian_coverage_std,hungarian_coverage_median,hungarian_coverage_p05,hungarian_coverage_p95,hungarian_total_distance_mean,hungarian_total_distance_std,hungarian_total_distance_median,hungarian_total_distance_p05,hungarian_total_distance_p95,hungarian_solver_wall_ns_mean,hungarian_solver_wall_ns_std,hungarian_solver_wall_ns_median,hungarian_solver_wall_ns_p05,hungarian_solver_wall_ns_p95,milp_to_hungarian_distance_ratio_mean,milp_to_hungarian_distance_ratio_std,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_mean,milp_to_hungarian_solver_ratio_std,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
160,0.0,critical_assigned_failure,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1429.994895160618,108.70018047825279,1427.2677617557797,1280.6764223972461,1609.1586107399178,0.16402067043690088,0.023831885377979603,0.15816941066073084,0.1432751240637325,0.2041859418535816,53.057478862176865,6.149075338945196,55.22899631519952,43.93641947477592,61.402017037962366,141.1,2.4269322199023193,141.0,137.35,144.0,5052586040.0,8386927.473538805,5052184150.0,5040860580.0,5065619690.0,5064254870.0,8705316.330157107,5062441000.0,5051398995.0,5076627100.0,372488.0,0.0,372488.0,372488.0,372488.0,0.0,0.0,0.0,0.0,0.0,0.99375,0.0,0.99375,0.99375,0.99375,1807.8313149761937,190.42780714562784,1749.31590438563,1571.2612338508382,2133.9120921007675,691030.0,175125.05274802918,644900.0,503685.0,981345.0,nan,nan,nan,nan,nan,7754.936385023681,1779.2977183723178,7852.243063670195,5155.717584882478,10037.578020048826,0.27798742138364785,0.09991096071602812,0.3113207547169811,0.1119496855345912,0.4044025157232704,0.04586678502491411,0.04127124999266597,0.04080231711058962,-0.0014564713348455254,0.11263579763441167,0.34160282448817947,0.01904631615421357,0.3425099504938812,0.31320745839552283,0.36548626444385984
160,0.0,idle_robot_failure,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1394.8045639129598,134.80262911200535,1355.5071431259164,1236.5920243338417,1638.8960257087854,0.16559814625711136,0.026444677072086278,0.15984471112002474,0.1359579230293837,0.2123607538680023,56.454763305056176,7.910075956353433,56.20517629716727,46.03831690471072,68.08358473767956,140.1,2.6248809496813377,141.0,135.45,143.1,5049419700.0,4539547.74333303,5048251400.0,5045031500.0,5057294530.0,5061269820.0,5069640.065487884,5060921650.0,5055422500.0,5069749700.0,372488.0,0.0,372488.0,372488.0,372488.0,0.0,0.0,0.0,0.0,0.0,0.99375,0.0,0.99375,0.99375,0.99375,1781.1598211136159,181.33775602979927,1745.9510876574486,1549.3206817213209,2088.2913776004157,676920.0,199042.16538211194,648450.0,392405.0,969719.9999999998,nan,nan,nan,nan,nan,8330.058328822726,3261.776299383603,7789.298839256096,5258.413223521274,13834.726232213223,0.25974842767295603,0.12445999015729718,0.25471698113207547,0.10314465408805032,0.4477987421383646,0.018592181875926265,0.043262769057942414,0.008237946837617492,-0.02739912401787856,0.09619021282032117,0.3599237205958353,0.01771948275030975,0.3583805590562968,0.3341131021593322,0.38217574022754114
160,0.0,no_failure,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1370.2489929855963,129.20900249793686,1356.4167898609912,1219.9215204156346,1591.5042722498538,0.16443747905965406,0.027545351908116092,0.15942397902983285,0.1359469050950918,0.2117095490407458,56.207244745313666,8.811985542914826,53.75835441522901,45.721939139190276,69.06405831729565,139.6,2.9051678092667896,140.0,135.0,143.0,5051691290.0,9304749.567446724,5054021100.0,5036399850.0,5063548120.0,5063293050.0,10613054.95446528,5065759050.0,5046150405.0,5077786555.0,374824.0,0.0,374824.0,374824.0,374824.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1837.65977382241,186.86094251592112,1805.7879577686058,1586.3254196758799,2145.2486780399267,638460.0,185131.13838573996,593950.0,404020.0,938299.9999999999,0.7470606726692675,0.034398922647528744,0.7369874013558919,0.6983530268922464,0.7990380039851513,8619.550166970239,2565.83627117681,8554.365545291432,5403.227983403418,12713.740687509327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35988749782976337,0.017808235696474467,0.3604046039800063,0.33299609569806693,0.3812387607900135
160,0.0,random_10_percent,10,0.2,0.0,0.2,0.4000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1562.780810505426,11.144278421194826,1562.780810505426,1552.7509599263506,1572.8106610845011,0.1955322274217302,0.004372673400087346,0.1955322274217302,0.1915968213616516,0.19946763348180882,48.59080746693059,6.049077655501208,48.59080746693059,43.14663757697951,54.034977356881676,27.5,55.00409075696098,0.0,0.0,137.65,5040906700.0,2695800.0,5040906700.0,5038480480.0,5043332920.0,5049990500.0,3535000.0,5049990500.0,5046809000.0,5053172000.0,67489.6,134979.2,0.0,0.0,337448.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.9,1385.9912250918883,155.40716956368288,1324.60954274711,1209.1748786596838,1655.8062165218962,354090.0,109377.72579460591,337000.0,241085.0,542184.9999999998,nan,nan,nan,nan,nan,15273.388885988905,2046.0023137360868,15273.388885988905,13431.986803626427,17114.790968351383,0.45833333333333337,0.0069444444444444475,0.45833333333333337,0.45208333333333334,0.46458333333333335,0.1521343976090107,0.007494042224988451,0.1521343976090107,0.1453897596065211,0.15887903561150032,0.35751394656261076,0.017532097657416614,0.35067759712323104,0.33588523313667834,0.384522630022471
160,0.0,random_20_percent,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.8,1136.5950815382373,105.1971631156828,1108.7992677880648,1000.3264359844363,1312.4896494602494,212390.0,74967.98583395449,174600.0,151825.0,345184.99999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3665973521211267,0.021124962630108268,0.36566631020985435,0.3370706997148086,0.3988991345916306
160,0.0,random_30_percent,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.7,939.3254359232662,91.52412454415526,941.3035120808606,827.9470513101375,1052.900978872567,159650.0,57716.88227893118,129200.0,101850.0,232035.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3609051800803997,0.019921371904939245,0.36633685942922267,0.32905855192173017,0.38268980686744924
160,0.0,random_5_percent,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1503.7028438814218,133.3206960347762,1504.509023659747,1310.8233593955526,1721.9126694717797,0.1847160770011153,0.027359158318082086,0.18281339377820408,0.15125187799232015,0.22500765482022844,53.0886603150964,3.7181173483592054,53.524571735200155,48.35410024580407,58.54796473081289,140.1,2.467792535850613,140.0,136.35,143.0,5049936520.0,10472317.509109434,5048064500.0,5038309130.0,5067993685.0,5061719410.0,11266221.638104765,5060883050.0,5048080320.0,5080349495.0,356136.0,0.0,356136.0,356136.0,356136.0,0.0,0.0,0.0,0.0,0.0,0.9499999999999998,1.1102230246251565e-16,0.95,0.95,0.95,1598.9318194679863,201.60897299274131,1495.1458520610267,1410.5774403485823,1948.582062227261,525310.0,125983.97080581322,522650.0,331620.0,714974.9999999999,nan,nan,nan,nan,nan,10269.620813008336,2865.5422874297133,9677.572117407348,7084.12852348795,15432.391986047247,0.325,0.07338991982833862,0.3125,0.23848684210526316,0.4490131578947367,0.09880913873895444,0.04852108220819296,0.08027825121271082,0.047059445928765764,0.1754396980462219,0.3598643796458993,0.01838677092129059,0.3589509098400063,0.3317699572960949,0.3827342346204517
160,0.0,random_assigned_failure,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1401.8638613847074,126.31401245992096,1382.121229996863,1241.0297239593979,1623.5815991189554,0.17425263362166094,0.022973939947430348,0.17054679090760438,0.14210538749982418,0.2110023326604513,58.35011444488051,8.016997740073577,57.36056030910476,46.52924456722954,69.78115922240798,140.6,2.973213749463701,141.5,136.0,144.65,5049538350.0,8960495.276629524,5052047650.0,5036737980.0,5059940225.0,5061455940.0,10566043.194138475,5066207600.0,5046390185.0,5073197640.0,372488.0,0.0,372488.0,372488.0,372488.0,0.0,0.0,0.0,0.0,0.0,0.99375,0.0,0.99375,0.99375,0.99375,1800.7382934482437,180.33624561780525,1784.2688202950606,1564.514957120189,2102.6142793673116,573360.0,169672.13206652412,569850.0,363490.0,842014.9999999997,nan,nan,nan,nan,nan,9534.301347854187,2667.1987712307096,8848.175061493355,6252.561092675537,14030.168090270281,0.22389937106918242,0.08774430202060521,0.2358490566037736,0.09465408805031447,0.34842767295597477,0.023672168963449973,0.0249499843555305,0.01455465154049427,-0.002529056889457542,0.06322286039817739,0.36017749105073255,0.01816571005478344,0.3595586415574423,0.3329443250359485,0.3819148149996775
160,0.2,critical_assigned_failure,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,0.30000000000000004,0.0,0.0,0.5499999999999989,886.4531837300162,61.09389272872143,862.7087962740243,814.7780629247108,972.5340800844936,0.09977395371214984,0.006681200353368372,0.09858574289260895,0.09141332201107497,0.11064410234199742,63.383886741401774,6.759992720445031,63.96386813933631,53.31215664226617,71.27102772853492,133.7,3.925557285278104,133.0,129.0,140.1,5057913810.0,12120972.870149491,5057745500.0,5039396160.0,5073161905.0,5073051860.0,13360568.477890452,5073516550.0,5053569940.0,5092097750.0,559368.0,0.0,559368.0,559368.0,559368.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1053.1477913953893,66.00410704758035,1042.569924845378,973.4211487446377,1173.1430369159618,539040.0,131732.06291560153,510150.0,379250.0,752619.9999999998,0.84265055514136,0.04715538936597866,0.8392344806849157,0.7745056040973296,0.9167540847333533,9898.96100262601,2220.9428383358436,9927.884069281954,6882.607528034324,13400.50272082185,0.05397489539748954,0.023849372384937235,0.05230125523012552,0.019665271966527197,0.08786610878661087,0.014172497875207083,0.01097074246783656,0.012209079117622229,-8.741581782274591e-05,0.0278315212134792,0.3512079887629508,0.025170449097805733,0.33990341674091806,0.3224665223483899,0.3901306761983799
160,0.2,idle_robot_failure,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.4000000000000001,0.0,0.0,1.0,874.2191457144021,62.92610555077007,852.9689302610034,802.1412206014269,957.4462286622543,0.10129487618942286,0.009448151624604708,0.10008269528838204,0.09060448881274974,0.11587998720170371,65.84808295368514,6.980661057815766,68.51816725919468,55.09483304184219,73.73581441822564,133.0,3.7416573867739413,132.0,127.45,138.65,4976160460.0,212560199.60057998,5063851650.0,4584755445.0,5091818580.0,4992056740.0,213237224.41991782,5079191300.0,4598923180.0,5109248610.0,559368.0,0.0,559368.0,559368.0,559368.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1049.9074751230887,65.41653997439217,1041.354168731925,968.9017375648259,1166.785207731709,663140.0,191954.7144510913,700150.0,375940.0,919835.0,0.8334521884546563,0.04784086071546433,0.8320351646360948,0.7655429031379296,0.9127982035975107,8283.992877456847,2806.5616488419505,6822.327853128624,5505.87220837486,13171.451376042036,0.046025104602510455,0.03011389826852984,0.04811715481171548,0.0,0.08786610878661087,-9.51327598667645e-05,0.004104730976917016,0.0,-0.005755623743372318,0.005677493024929431,0.36256419256569844,0.024266620229376288,0.3503239612216551,0.3370307215525522,0.40196775816004343
