study,seed,N,N_original,K,M,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,milp_feasible,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,hungarian_feasible,hungarian_coverage,hungarian_assigned_robot_count,hungarian_total_distance,hungarian_mean_distance_per_slot,hungarian_normalized_distance_p95,hungarian_solver_wall_ns,hungarian_total_wall_ns,hungarian_matrix_bytes,both_feasible,same_capacity_model,milp_to_hungarian_distance_ratio,milp_minus_hungarian_assigned_robots,milp_to_hungarian_solver_ratio,base_milp_total_distance,relative_distance_increase,assignment_churn,central_logical_messages,central_communication_bytes,retry_messages
capacity,3876221785,60,60,13,40,0.2,0.2,0.2791542282515447,moderate,uniform,homogeneous,none,0,False,300.0,169.05993565774344,5.0,0.0,0.0,5.0,5.0,0.5623610939600996,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,473.5855031828661,11.839637579571653,0.08371888019306198,11.839637579571653,0.1774787430630015,30.940064342256555,481.36051926843027,34824,780,86,9869000,11469600,15625000,True,1.0,40,473.5855031828661,11.839637579571653,0.1774787430630015,53400,1715200,19200,True,True,1.0,0,184.81273408239701,nan,nan,nan,100,7463,0
capacity,4088021539,60,60,13,40,0.2,0.2,0.3007319306996254,moderate,uniform,homogeneous,none,0,False,300.0,161.27875070867037,5.0,0.0,0.0,5.0,5.0,0.6041522986797285,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,486.1155091233403,12.152887728083508,0.08593389323526623,12.152887728083508,0.1627450575092658,38.721249291329634,495.83582144617276,34824,780,86,10382400,11662700,15625000,True,1.0,40,486.1155091233403,12.152887728083508,0.1627450575092658,49800,1162100,19200,True,True,1.0,0,208.48192771084337,nan,nan,nan,100,7457,0
capacity,1649337733,60,60,13,40,0.2,0.2,0.28081707493825303,moderate,uniform,homogeneous,none,0,False,300.0,168.4509691041755,5.0,0.0,0.0,5.0,5.0,0.51720402163943,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,603.0721474005721,15.076803685014303,0.10660910124291942,15.076803685014303,0.18599814287520952,31.54903089582449,610.9994051245283,34824,780,86,10062200,11676600,15625000,True,1.0,40,603.0721474005721,15.076803685014303,0.18599814287520952,50400,1618300,19200,True,True,1.0,0,199.6468253968254,nan,nan,nan,100,7464,0
capacity,915104899,60,60,13,40,0.2,0.2,0.29297153664590786,moderate,uniform,homogeneous,none,0,False,300.0,164.04733823952344,5.0,0.0,0.0,5.0,5.0,0.45,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,455.81388069285447,11.395347017321361,0.08057727149921833,11.395347017321361,0.14987485783631774,35.95266176047655,464.8420461329736,34824,780,86,9891600,11376500,31250000,True,1.0,40,455.81388069285447,11.395347017321361,0.14987485783631774,47400,1595900,19200,True,True,1.0,0,208.68354430379748,nan,nan,nan,100,7472,0
capacity,1845336625,60,60,13,40,0.2,0.2,0.29273916847334974,moderate,uniform,homogeneous,none,0,False,300.0,164.13075014085427,5.0,0.0,0.0,5.0,5.0,0.45,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,453.29312634142883,11.33232815853572,0.08013166087531869,11.33232815853572,0.1612783637562055,35.86924985914573,462.3004388062153,34824,780,86,6047800,7153900,0,True,1.0,40,453.29312634142883,11.33232815853572,0.1612783637562055,33300,972600,19200,True,True,1.0,0,181.6156156156156,nan,nan,nan,100,7455,0
capacity,3616073600,60,60,13,40,0.2,0.2,0.28948019546829445,moderate,uniform,homogeneous,none,0,False,300.0,165.30377287578335,5.0,0.0,0.0,5.0,5.0,0.44999999999999996,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,498.0348934542092,12.45087233635523,0.08804096260724775,12.45087233635523,0.14443554269735134,34.69622712421665,506.7489502352634,34824,780,86,5443700,6453000,31250000,True,1.0,40,498.0348934542092,12.45087233635523,0.14443554269735134,29900,814300,19200,True,True,1.0,0,182.06354515050168,nan,nan,nan,100,7466,0
capacity,3652269770,60,60,13,40,0.2,0.2,0.30861465540581484,moderate,uniform,homogeneous,none,0,False,300.0,158.50013792939973,5.0,0.0,0.0,5.0,5.0,0.39210967853395307,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,502.50273733599965,12.562568433399992,0.08883077328377197,12.562568433399992,0.20099888249953698,41.49986207060028,512.9177028536496,34824,780,86,7608800,8642900,15625000,True,1.0,40,502.50273733599965,12.562568433399992,0.20099888249953698,37300,817300,19200,True,True,1.0,0,203.98927613941018,nan,nan,nan,100,7457,0
capacity,2351241927,60,60,13,40,0.2,0.2,0.2787251767000204,moderate,uniform,homogeneous,none,0,False,300.0,169.21731966551843,5.0,0.0,0.0,5.0,5.0,0.6174544517614233,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,555.126803917069,13.878170097926724,0.09813348186704358,13.878170097926724,0.17042113018095428,30.78268033448158,562.8624740006893,34824,780,86,9362200,10573900,0,True,1.0,40,555.126803917069,13.878170097926724,0.17042113018095428,38400,877600,19200,True,True,1.0,0,243.80729166666666,nan,nan,nan,100,7466,0
capacity,1138498889,60,60,13,40,0.2,0.2,0.26670234610700866,moderate,uniform,homogeneous,none,0,False,300.0,173.67086817514516,5.0,0.0,0.0,5.0,5.0,0.324037034920393,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,577.7710911643213,14.444277279108032,0.10213646413396063,14.444277279108032,0.21824774857370746,26.32913182485484,584.393374120535,34824,780,86,9979300,11569600,0,True,1.0,40,577.7710911643213,14.444277279108032,0.21824774857370746,71100,1787700,19200,True,True,1.0,0,140.35583684950774,nan,nan,nan,100,7486,0
capacity,3280814212,60,60,13,40,0.2,0.2,0.27630881725776196,moderate,uniform,homogeneous,none,0,False,300.0,170.10566086124956,5.0,0.0,0.0,5.0,5.0,0.5012484413940855,True,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,40,20,0.6666666666666666,625.8698083104301,15.646745207760754,0.11063919639905744,15.646745207760754,0.19894497488702859,29.89433913875045,633.3833930951178,34824,780,86,10260200,12170000,0,True,1.0,40,625.8698083104301,15.646745207760754,0.19894497488702859,114000,2721000,19200,True,True,1.0,0,90.00175438596492,nan,nan,nan,100,7445,0
