M,requested_delta,replicates,milp_feasibility_rate,hungarian_feasibility_rate,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,hungarian_feasible_mean,hungarian_feasible_std,hungarian_feasible_median,hungarian_feasible_p05,hungarian_feasible_p95,hungarian_coverage_mean,hungarian_coverage_std,hungarian_coverage_median,hungarian_coverage_p05,hungarian_coverage_p95,hungarian_total_distance_mean,hungarian_total_distance_std,hungarian_total_distance_median,hungarian_total_distance_p05,hungarian_total_distance_p95,hungarian_solver_wall_ns_mean,hungarian_solver_wall_ns_std,hungarian_solver_wall_ns_median,hungarian_solver_wall_ns_p05,hungarian_solver_wall_ns_p95,milp_to_hungarian_distance_ratio_mean,milp_to_hungarian_distance_ratio_std,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_mean,milp_to_hungarian_solver_ratio_std,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
20,-0.05,10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,489.9191638140034,110.2435170589242,443.99801763308216,388.8403053281072,680.0168805145718,0.39057888066697677,0.09994949691755232,0.3590809611164566,0.2601236799356268,0.5312874954564504,4.177446631296252,1.6918415483327194,4.0655987216873815,2.2736209218048478,6.956919715082316,17.1,0.8306623862918073,17.0,16.0,18.0,497629510.0,760646889.0857196,179072450.0,43193210.0,1911524464.9999983,498521640.0,760707220.1493531,180107500.0,43851345.0,1912633509.9999983,5760.0,0.0,5760.0,5760.0,5760.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.9,462.1510969584773,88.97120778378068,437.0157543311582,361.0953492206792,599.956552814659,17710.0,3512.392347104748,16200.0,13895.0,23910.0,nan,nan,nan,nan,nan,25108.653833411892,36757.287953754385,10790.796840958606,2820.8705387931036,91076.1900303685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3584600821548446,0.06195815539935693,0.3767735763174257,0.2585339454876708,0.42037877735325857
20,-0.1,10,0.2,0.0,0.2,0.4000000000000001,0.0,0.0,1.0,0.2,0.4000000000000001,0.0,0.0,1.0,494.2388773760621,85.48687154347905,494.2388773760621,417.300692986931,571.1770617651932,0.4067192085611577,0.0577032990141193,0.4067192085611577,0.3547862394484503,0.458652177673865,2.4045161454072574,0.11295275071041155,2.4045161454072574,2.302858669767887,2.506173621046628,3.1,6.20403094769844,0.0,0.0,15.549999999999999,918889550.0,768955550.0,918889550.0,226829555.0,1610949545.0,919727150.0,769030750.0,919727150.0,227599475.0,1611854825.0,1027.2,2054.4,0.0,0.0,5136.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.8,387.4465725401716,56.481452644253174,385.491324146259,321.89194087720256,484.59707771235713,15050.0,6320.166137056842,13850.0,10490.0,25189.99999999998,nan,nan,nan,nan,nan,83347.01851851853,72934.9351851852,83347.01851851853,17705.576851851853,148988.4601851852,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3708836187790216,0.07201629118460698,0.36158506081050756,0.28376323320821517,0.4752101346533212
20,-0.15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,398.0519511340711,105.21673021069637,360.6766521154216,280.8130581987985,560.3433231216759,9530.0,2004.5198926426249,9800.0,6250.0,12165.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3208036794869706,0.04683520455595399,0.3226118199471537,0.25471752092018735,0.38523407880969784
20,-0.2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500000000000001,1.1102230246251565e-16,0.65,0.65,0.65,281.41216484353606,40.28308750286858,289.1406984623602,210.63754914339057,323.949237706112,8820.0,1444.852933692561,8700.0,7040.0,11024.999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3338325998576947,0.08266780817248179,0.33651229647139125,0.20508136124335732,0.46005488806908534
20,-0.25,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999999,1.1102230246251565e-16,0.6,0.6,0.6,305.01141605939813,41.858818020793336,305.08340115358607,246.74227904900192,363.89752559563027,10810.0,1093.1148155614762,10600.0,9615.0,12574.999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35281758634823684,0.07219807428008589,0.36560726487660067,0.2570825140997684,0.45819992045683783
20,-0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,0.55,0.55,277.6438072240923,101.50472525551636,253.4997996290798,157.03866066405917,453.78652792800943,10140.0,2007.5856146127367,9800.0,7890.0,13010.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3076607814244514,0.06802525229608836,0.295742518253556,0.22998195989127038,0.4020479802935598
20,-0.35,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,256.1221081085298,53.53787441722708,246.98926170524777,191.67331320456398,328.8429728879109,8750.0,830.9632964216892,8450.0,7790.0,9920.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32608646344637665,0.11900103008205802,0.277145877226596,0.20771545750308573,0.5280501011968597
20,-0.4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,162.60190392925279,20.443452251499888,168.4186150010737,129.79294085357182,187.7790738338379,7660.0,687.3136110975834,7650.0,6845.0,8840.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33431625176888297,0.06016141785202409,0.34477157841630635,0.22861242762440484,0.40793845281116886
20,-0.45,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,164.12047269296048,42.35599687310471,153.9272526275659,126.59360057270767,241.98753736054402,6740.0,878.8629017087933,6500.0,5725.0,8169.999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35840525771330367,0.0998009513049825,0.33612689403911145,0.2108448088002968,0.4888722488187918
20,-0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,162.83841671073407,52.36834594608805,162.43131207395126,93.43288475462057,237.60948555271113,6180.0,426.14551505325034,6000.0,5800.0,6910.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34888250062531184,0.07703281714254544,0.33221626376234364,0.2628331321478102,0.4872810493008858
