experiment_id,world_seed,world_hash,replicate,n_robots,n_loads,quorum,geometry,graph,lambda2,method,step,potential
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,0,-2.8827004148415774
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,1,-2.8419344100724655
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,2,-2.831535661123025
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,3,-2.822106707039439
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,4,-2.812853359418798
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,5,-2.803741524129279
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,6,-2.794767757814364
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,7,-2.7859300167935723
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,8,-2.777226345336836
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,9,-2.76865481118459
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,10,-2.7602135025310637
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,11,-2.751900527433383
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,12,-2.743714013074664
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,13,-2.7356521055611043
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,14,-2.727712969653184
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,15,-2.7198947887111538
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,16,-2.7121957645712023
SP1_HOMOGENEOUS_v1,320000,51e527db386f26163d8a,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,17,-2.704614117335322
