checkpoint,scenario_family,max_ci95_width,threshold,decision,reason
100,nominal_rotation,,,not_applicable,fixed_n_no_optional_stopping
100,scarcity_capacity,,,not_applicable,fixed_n_no_optional_stopping
100,torque_complementarity,,,not_applicable,fixed_n_no_optional_stopping
100,obstacle_network_dropout,,,not_applicable,fixed_n_no_optional_stopping
