world_key,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified
E3:corridor:p0.85:cv0.65:r17,OPTIMAL,438.05307190122346,438.0530719012235,0.0,0.08393710001837462,True,True
E3:corridor:p0.85:cv0.65:r18,OPTIMAL,368.82249326378945,368.82249326378945,0.0,0.6116853000130504,True,True
E3:corridor:p0.85:cv0.65:r19,OPTIMAL,271.2536495587771,271.2536495587771,0.0,0.06025080004474148,True,True
E3:corridor:p0.85:cv0.65:r20,OPTIMAL,373.16965745451836,373.16965745451836,0.0,0.04927199997473508,True,True
E3:corridor:p0.85:cv0.65:r21,OPTIMAL,232.2010966170403,232.20109661704032,0.0,0.06330809998326004,True,True
E3:corridor:p0.85:cv0.65:r22,OPTIMAL,220.17217822954467,220.17217822954464,0.0,0.020532800001092255,True,True
E3:corridor:p0.85:cv0.65:r23,OPTIMAL,316.82996224728913,316.82996224728913,0.0,0.4906405000365339,True,True
E3:corridor:p0.85:cv0.65:r24,OPTIMAL,216.13536851136308,216.13536851136308,0.0,0.1247014999971725,True,True
E3:corridor:p0.85:cv0.65:r25,OPTIMAL,198.25231626378906,198.25231626378906,0.0,0.061240000010002404,True,True
E3:corridor:p0.85:cv0.65:r26,OPTIMAL,189.65999798372934,189.65999798372934,0.0,0.24846390000311658,True,True
E3:corridor:p0.85:cv0.65:r27,OPTIMAL,272.89388185396416,272.89388185396416,0.0,0.17270080000162125,True,True
E3:corridor:p0.85:cv0.65:r28,OPTIMAL,274.11531908564837,274.1153190856483,0.0,0.3609287000144832,True,True
E3:corridor:p0.85:cv0.65:r29,OPTIMAL,244.37483304491343,244.37483304491343,0.0,0.07283499999903142,True,True
